datetime,low,open,close,high,volume,total_turnover,open_interest
2023-07-21 09:01:00,224232.34458259327,235420.71047957373,227139.18294849023,236919.3605683836,4529.0,1045749500.0,2815.0
2023-07-21 09:02:00,225062.0985691574,227211.0810810811,226633.386327504,228946.04133545308,1641.0,374207100.0,3145.0
2023-07-21 09:03:00,225931.73216885008,226555.47307132455,226899.79621542935,227970.4657933042,1151.0,261702600.0,3435.0
2023-07-21 09:04:00,225151.1946308725,226455.1140939597,225484.75167785236,226665.71812080537,955.0,215977300.0,3725.0
2023-07-21 09:05:00,223143.9841230464,225199.0945174895,224377.66063011665,225501.63731084095,1107.0,249220900.0,4031.0
2023-07-21 09:06:00,222867.16167664676,224365.28143712576,223300.7664670659,224868.7784431138,643.0,144809900.0,4175.0
2023-07-21 09:07:00,223322.98359140285,223324.2315692166,224993.95655188357,225183.8802865727,874.0,196851350.0,4327.0
2023-07-21 09:08:00,224791.9178388033,224833.72404554588,225671.92453672693,225754.04108059837,785.0,177172800.0,4479.0
2023-07-21 09:09:00,224772.26672439923,225714.81922494047,224926.30439489067,225780.9807317601,522.0,117813500.0,4619.0
2023-07-21 09:10:00,224415.8028347789,224871.1021789719,224882.51533742333,225249.8519145336,532.0,120426550.0,4727.0
2023-07-21 09:11:00,224724.27184466025,225003.38772980796,224842.0987399298,225247.77938442476,344.0,78073200.0,4841.0
2023-07-21 09:12:00,224562.5075957059,224811.1707514685,224987.90763621635,225214.72554182704,308.0,69355100.0,4937.0
2023-07-21 09:13:00,224540.51261672957,224956.904430757,224711.64315517584,225036.41963043908,258.0,58339550.0,5033.0
2023-07-21 09:14:00,223155.5654761905,224642.46031746035,223230.5654761905,224717.46031746035,538.0,121352250.0,5040.0
2023-07-21 09:15:00,223026.3157894737,223026.3157894737,223026.3157894737,224201.1513157895,390.0,87416500.0,5168.0
2023-07-21 09:16:00,219705.50611790875,223072.3303670745,220689.8220244716,223110.08527994063,1392.0,311618450.0,5394.0
2023-07-21 09:17:00,217237.75546472365,220629.83827972275,217870.8636929092,220667.66483028256,1777.0,391193550.0,5627.0
2023-07-21 09:18:00,217872.3716381418,217907.64931889623,218260.4261264408,218953.63255326584,918.0,202156800.0,5726.0
2023-07-21 09:19:00,218085.3942494267,218085.3942494267,220505.9710707356,220528.6382077968,877.0,194435300.0,5669.0
2023-07-21 09:20:00,218839.79466479467,220532.15163215165,218839.79466479467,221020.73534573536,774.0,171629900.0,5698.0
2023-07-21 09:21:00,218362.08725406328,218709.35842600508,219553.77245508975,219606.33019674933,603.0,132758950.0,5845.0
2023-07-21 09:22:00,219298.31834831837,219501.54845154844,220015.63436563435,220357.15950715952,507.0,112427200.0,6006.0
2023-07-21 09:23:00,218969.2509855453,220174.49080157687,219804.6649145861,220174.49080157687,356.0,78838200.0,6088.0
2023-07-21 09:24:00,219349.9024548854,219746.12258169404,219425.17476833035,220347.25247927167,321.0,71004900.0,6151.0
2023-07-21 09:25:00,217851.61904761905,219493.92063492065,218492.87301587305,219569.50793650796,739.0,162452650.0,6300.0
2023-07-21 09:26:00,218440.0296921394,218467.4558524769,218708.98577902795,219468.0028129395,376.0,82712000.0,6399.0
2023-07-21 09:27:00,217945.88037839485,218581.0955141898,218584.22337503813,218953.46353371983,556.0,121770050.0,6554.0
2023-07-21 09:28:00,215682.78945015644,218631.4707197139,216438.86157055575,218631.4707197139,1296.0,282820150.0,6711.0
2023-07-21 09:29:00,215558.3673469388,216509.89795918364,216738.26530612248,216738.26530612248,682.0,148344150.0,6860.0
2023-07-21 09:30:00,215425.08960573477,216802.1218637993,216228.35842293905,217146.3799283154,753.0,163922650.0,6975.0
2023-07-21 09:31:00,214976.20670073817,216434.1141396933,215551.69647927312,216434.1141396933,524.0,113588900.0,7044.0
2023-07-21 09:32:00,214637.6479706877,215598.9289740699,215522.0264937993,215944.99013528743,448.0,97004400.0,7096.0
2023-07-21 09:33:00,215607.0459946876,215607.0459946876,215953.8095903817,216570.278204949,482.0,104827100.0,7153.0
2023-07-21 09:34:00,215537.62500000003,215962.2708333333,215885.06250000003,216155.2916666667,212.0,46016600.0,7200.0
2023-07-21 09:35:00,215888.216957606,215888.216957606,216583.6034912718,216931.29675810476,421.0,91738450.0,7218.0
2023-07-21 09:36:00,216203.4340091022,216706.33016135707,216280.80264791063,216706.33016135707,247.0,53819250.0,7251.0
2023-07-21 09:37:00,215739.67937250584,216397.3854410348,215933.12233383788,216706.8941791661,310.0,67412050.0,7267.0
2023-07-21 09:38:00,215782.1497120921,215937.04414587328,216091.93857965447,216285.55662188097,158.0,34313700.0,7294.0
2023-07-21 09:39:00,216168.8,216168.8,216207.5186440678,216827.01694915252,325.0,70710650.0,7375.0
2023-07-21 09:40:00,216171.46519158123,216171.46519158123,216558.8774959525,217023.7722611981,306.0,66725800.0,7412.0
2023-07-21 09:41:00,216261.5878107458,216688.90002673084,216572.36033146217,216844.28628708905,235.0,51217800.0,7482.0
2023-07-21 09:42:00,216254.18294490097,216564.4618078944,216331.75266064933,216913.525528762,426.0,92815700.0,7423.0
2023-07-21 09:43:00,216334.8790322581,216334.8790322581,216645.36290322585,216917.0362903226,169.0,36855550.0,7440.0
2023-07-21 09:44:00,216474.24098025876,216627.76038121176,220164.6426140232,220636.3784887679,1634.0,358156200.0,7345.0
2023-07-21 09:45:00,218020.5997304582,219450.29649595683,218133.60512129375,220252.24393531,1057.0,231422900.0,7420.0
2023-07-21 09:46:00,217766.92939908375,218104.3990838049,218633.4074373484,219224.99326327132,627.0,137740800.0,7422.0
2023-07-21 09:47:00,217541.4689719877,218664.9242728857,217691.28803109503,218676.7323415092,409.0,89628750.0,7461.0
2023-07-21 09:48:00,216456.53162187457,217738.73512501677,217278.406204038,218067.6828453002,473.0,103270000.0,7479.0
2023-07-21 09:49:00,217128.4509305128,217203.15972687103,217800.8300977373,218327.2325612532,630.0,135853150.0,7469.0
2023-07-21 09:50:00,217488.77227722775,217710.99009900997,217748.0264026403,218140.65346534655,394.0,85109350.0,7575.0
2023-07-21 09:51:00,217518.776371308,217592.76107594935,218168.92141350213,218242.90611814347,249.0,53876650.0,7584.0
2023-07-21 09:52:00,217836.54802407743,218132.9102329233,218376.3739858676,218543.96754776235,225.0,49310700.0,7642.0
2023-07-21 09:53:00,218077.2994897292,218312.3380871386,218188.3030223734,218499.4373936936,174.0,38181250.0,7643.0
2023-07-21 09:54:00,217817.687343606,218208.73172659037,218059.8050836297,218494.32371921508,322.0,69736650.0,7593.0
2023-07-21 09:55:00,217886.92449355437,218085.49066035257,218035.7274401473,218185.01710076293,100.0,21699950.0,7602.0
2023-07-21 09:56:00,217301.72661870503,217972.5179856115,217376.25899280576,217972.5179856115,297.0,64981400.0,7645.0
2023-07-21 09:57:00,217107.18043135188,217442.07653866385,218112.29615991583,218112.29615991583,411.0,89338950.0,7604.0
2023-07-21 09:58:00,217559.2273557818,218129.57452362307,217800.86791960325,218438.72357086925,300.0,65435000.0,7662.0
2023-07-21 09:59:00,217613.5920436818,217848.70644825796,217868.38273530945,217942.38169526783,103.0,22467850.0,7692.0
2023-07-21 10:00:00,217704.4832041344,217828.70155038763,218314.85788113697,218402.0542635659,168.0,36703450.0,7740.0
2023-07-21 10:01:00,218125.925686173,218229.2270844122,218125.925686173,219064.88865872603,409.0,90031400.0,7724.0
2023-07-21 10:02:00,217637.91158931813,218120.89058854032,218047.0508166969,218134.20404459423,209.0,45749450.0,7714.0
2023-07-21 10:03:00,218003.05699481865,218113.80829015543,218408.62046632124,218408.62046632124,99.0,21764200.0,7720.0
2023-07-21 10:04:00,218080.21075769328,218375.73700543056,218617.33902249805,218778.4070338764,171.0,37626450.0,7734.0
2023-07-21 10:05:00,218401.8865486497,218633.1567385967,218475.79790670628,218707.0680966533,146.0,32120400.0,7739.0
2023-07-21 10:06:00,218159.56224173555,218438.1714876033,218549.0250516529,218585.97623966943,100.0,22024650.0,7744.0
2023-07-21 10:07:00,218251.8578040628,218618.08948315767,218288.8788891746,218729.15273849323,122.0,26893650.0,7778.0
2023-07-21 10:08:00,218213.23945473248,218330.88991769543,218287.26208847732,218367.9012345679,60.0,13214100.0,7776.0
2023-07-21 10:09:00,218053.3414728184,218282.0717131474,218463.21166945124,218611.29032258064,108.0,23771000.0,7781.0
2023-07-21 10:10:00,218447.41621898185,218558.73624968025,218646.06037349708,218807.59785111283,167.0,36707200.0,7818.0
2023-07-21 10:11:00,218489.00332650973,218674.616171955,218947.5371033777,219058.9048106449,158.0,34876650.0,7816.0
2023-07-21 10:12:00,218361.95693963865,218877.13699859031,218673.98436498785,218933.82673330768,167.0,36696250.0,7803.0
2023-07-21 10:13:00,218478.05033857163,218766.09173374216,218515.19739363744,218766.09173374216,106.0,23181550.0,7827.0
2023-07-21 10:14:00,218515.768297356,218515.768297356,218552.9186358411,218590.06897432625,40.0,8823800.0,7829.0
2023-07-21 10:15:00,218321.66453265044,218550.81306017927,218321.66453265044,218812.70806658128,133.0,29278150.0,7810.0
2023-07-21 10:31:00,217489.16625062405,218360.14727908137,217673.20269595605,218507.376435347,605.0,131654700.0,8012.0
2023-07-21 10:32:00,216147.2386463706,217650.7611020254,216513.95144043275,217760.77494024404,835.0,181983700.0,7949.0
2023-07-21 10:33:00,216484.66065614825,216521.3874279989,216705.02128725263,216998.83546205852,271.0,59243650.0,7986.0
2023-07-21 10:34:00,216019.9155699032,216719.73553513785,216388.24186739512,216719.73553513785,430.0,93733450.0,8054.0
2023-07-21 10:35:00,216138.6529201136,216323.15100629703,216323.15100629703,216544.54870971723,214.0,46651950.0,8099.0
2023-07-21 10:36:00,216327.72923076924,216401.6,216475.4707692308,216549.34153846157,125.0,27255400.0,8125.0
2023-07-21 10:37:00,216181.2507679076,216476.81533357908,216329.0330507433,216550.70647499693,249.0,54282700.0,8139.0
2023-07-21 10:38:00,215965.16373411537,216298.09995112417,216409.0786901271,216483.06451612903,251.0,54665050.0,8184.0
2023-07-21 10:39:00,216299.51165913805,216373.51971676227,216373.51971676227,216484.5318031986,102.0,22192950.0,8191.0
2023-07-21 10:40:00,216368.35334476843,216405.31732418525,216553.1732418525,216627.1012006861,223.0,48662800.0,8162.0
2023-07-21 10:41:00,216406.74281503315,216554.64259395725,216702.54237288132,216961.36698599847,217.0,47193200.0,8142.0
2023-07-21 10:42:00,216629.34902537696,216740.2905479956,216740.2905479956,216740.2905479956,71.0,15494950.0,8157.0
2023-07-21 10:43:00,216407.4659801397,216740.2905479956,216518.4075027584,216851.23207061415,88.0,19224200.0,8157.0
2023-07-21 10:44:00,216489.0081737221,216489.0081737221,216748.2737586922,216896.42552153228,118.0,25767350.0,8197.0
2023-07-21 10:45:00,216747.8036018496,216784.83816013628,216821.872718423,216858.90727670965,86.0,18818250.0,8218.0
2023-07-21 10:46:00,216753.0514438243,216864.26838146083,216790.12375636984,216901.34069400636,86.0,18804300.0,8242.0
2023-07-21 10:47:00,216787.92517006805,216824.9817784257,216824.9817784257,217232.6044703596,204.0,44640850.0,8232.0
2023-07-21 10:48:00,216676.4806031862,216824.69901495805,216824.69901495805,216861.75361790103,85.0,18556350.0,8223.0
2023-07-21 10:49:00,216534.9364021805,216868.8794669897,216609.14597213807,216868.8794669897,118.0,25777150.0,8255.0
2023-07-21 10:50:00,216492.03841011305,216603.22110125195,216529.0993071593,216751.4646894372,100.0,21833950.0,8227.0
2023-07-21 10:51:00,216490.99975675016,216490.99975675016,216676.2648990513,216676.2648990513,30.0,6551250.0,8222.0
2023-07-21 10:52:00,216530.3534556055,216641.56443580717,216567.42378233935,216641.56443580717,44.0,9599050.0,8233.0
2023-07-21 10:53:00,216565.9494286409,216603.0087527352,216788.30537320688,216825.3646973012,52.0,11360350.0,8226.0
2023-07-21 10:54:00,216793.35677051765,216793.35677051765,216941.73839253245,216978.83379803612,97.0,21215550.0,8249.0
2023-07-21 10:55:00,216942.66682814583,216942.66682814583,216979.7686811191,217016.87053409236,72.0,15737400.0,8257.0
2023-07-21 10:56:00,216830.25933107128,217015.72952011635,216867.35336888029,217238.29374697045,151.0,33043900.0,8252.0
2023-07-21 10:57:00,216790.53398058252,216864.68446601945,217087.1359223301,217161.286407767,130.0,28433900.0,8240.0
2023-07-21 10:58:00,217013.76135675347,217125.0030284676,217013.76135675347,217162.08358570564,55.0,11973100.0,8255.0
2023-07-21 10:59:00,216866.6344294004,217014.9903288201,216977.9013539652,217089.16827853,73.0,15957800.0,8272.0
2023-07-21 11:00:00,216866.7189763399,216903.80854659583,216940.89811685172,216977.98768710767,36.0,7849400.0,8284.0
2023-07-21 11:01:00,216900.8917811521,216937.96095444687,217086.237647626,217234.514340805,126.0,27508550.0,8298.0
2023-07-21 11:02:00,217011.25030113227,217048.3136593592,217048.3136593592,217085.3770175861,41.0,8955250.0,8302.0
2023-07-21 11:03:00,217009.94701348743,217047.0014450867,217195.2191714836,217195.2191714836,122.0,26708700.0,8304.0
2023-07-21 11:04:00,217195.92512338996,217195.92512338996,217307.1024437222,217788.8708318286,190.0,41657650.0,8307.0
2023-07-21 11:05:00,217298.94889452695,217298.94889452695,217557.9920260964,217669.01051105472,154.0,33809350.0,8277.0
2023-07-21 11:06:00,217407.7467343977,217592.7068214804,217407.7467343977,217592.7068214804,91.0,19971050.0,8268.0
2023-07-21 11:07:00,217259.13211652363,217370.0954913574,217370.0954913574,217444.07107458,44.0,9631450.0,8273.0
2023-07-21 11:08:00,217184.2439260244,217369.15266529677,217184.2439260244,217369.15266529677,60.0,13131450.0,8273.0
2023-07-21 11:09:00,216359.0328467153,217170.65085158148,216764.8418491484,217244.4343065693,195.0,42574600.0,8220.0
2023-07-21 11:10:00,216582.31862923809,216729.9428849192,216729.9428849192,216803.7550127597,94.0,20538400.0,8229.0
2023-07-21 11:11:00,216731.9312940034,216731.9312940034,216879.61277008985,216879.61277008985,42.0,9182900.0,8238.0
