factor_id,factor_name,lookahead_days,confidence_level,threshold,strategy_win_rate,baseline_win_rate,win_rate_diff,strategy_observation_max_drawdown
11,price_up_volume_oi_surge,3,ALL_CONFIDENCE,0.012580593511483208,0.5085034013605442,0.31287392635008393,0.19562947501046024,0.29516774511083976
11,price_up_volume_oi_surge,5,ALL_CONFIDENCE,0.012580593511483208,0.5306122448979592,0.3534080575653343,0.17720418733262494,0.29516774511083976
11,price_up_volume_oi_surge,10,ALL_CONFIDENCE,0.012589445563086317,0.5750853242320819,0.3953031910148002,0.1797821332172817,0.4233693403998165
12,price_up_speculation_up,3,ALL_CONFIDENCE,0.01238484374750216,0.4152671755725191,0.31287392635008393,0.10239324922243515,0.29516774511083976
12,price_up_speculation_up,5,ALL_CONFIDENCE,0.01238484374750216,0.4687022900763359,0.3534080575653343,0.11529423251100163,0.29516774511083976
12,price_up_speculation_up,10,ALL_CONFIDENCE,0.012391021180651288,0.5176110260336907,0.3953031910148002,0.12230783501889048,0.3560971856735657
13,price_up_oi_down,3,ALL_CONFIDENCE,0.012136906473064656,0.4184168012924071,0.31287392635008393,0.10554287494232317,0.157439594988893
13,price_up_oi_down,5,ALL_CONFIDENCE,0.012112586039971793,0.4473257698541329,0.3534080575653343,0.09391771228879864,0.2688689957539242
13,price_up_oi_down,10,ALL_CONFIDENCE,0.012138525288232367,0.496742671009772,0.3953031910148002,0.10143947999497177,0.3320718397749924
14,uptrend_crowded_chase,3,ALL_CONFIDENCE,0.012266978559054433,0.49907235621521334,0.31287392635008393,0.1861984298651294,0.13961760398527484
14,uptrend_crowded_chase,5,ALL_CONFIDENCE,0.012266978559054433,0.5287569573283859,0.3534080575653343,0.17534889976305162,0.2688689957539242
14,uptrend_crowded_chase,10,ALL_CONFIDENCE,0.012263949322912299,0.5738317757009346,0.3953031910148002,0.17852858468613436,0.3320718397749924
