factor_id,factor_name,segment_id,trend,reversal_segment_id,reversal_trend,realtime_trend,matched_segment_id,matched_segment_trend,matched_segment_source,signal_date,signal_close,factor_value,position_scale,is_reversal_window,is_effective_signal,end_date,end_close,end_signal_date,end_signal_close,reversal_start_date,reversal_end_date,days_to_trend_end
51,price_volume_up_oi_down_short_5d,16.0,up_trend,16.0,up_trend,down_trend,16.0,up_trend,reversal_segment_id,2024-04-26,110328.255441008,0.07580632662280354,-1.0,1,1,2024-04-29,115988.79717510032,2024-05-10,109118.61716716952,2024-04-24,2024-05-06,3.0
51,price_volume_up_oi_down_short_5d,28.0,up_trend,,,up_trend,28.0,up_trend,segment_id,2024-10-28,76418.08107386471,0.17123012570417057,-1.0,0,0,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,16.0
51,price_volume_up_oi_down_short_5d,28.0,up_trend,,,up_trend,28.0,up_trend,segment_id,2024-11-01,76922.33542754776,0.24464634201770064,-1.0,0,0,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,12.0
51,price_volume_up_oi_down_short_5d,28.0,up_trend,,,up_trend,28.0,up_trend,segment_id,2024-11-05,77801.46195448568,0.16049353258269827,-1.0,0,0,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,8.0
51,price_volume_up_oi_down_short_5d,28.0,up_trend,,,up_trend,28.0,up_trend,segment_id,2024-11-06,76414.65845473445,0.2770144496791282,-1.0,0,0,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,7.0
51,price_volume_up_oi_down_short_5d,28.0,up_trend,,,up_trend,28.0,up_trend,segment_id,2024-11-07,77375.34409743991,0.11710458271745705,-1.0,0,0,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,6.0
51,price_volume_up_oi_down_short_5d,29.0,down_trend,,,up_trend,29.0,down_trend,segment_id,2024-11-20,83069.64961439381,0.43072946808116885,-1.0,0,0,2024-12-19,75646.59865128386,2025-01-07,78238.59709504947,2024-12-16,2024-12-23,29.0
51,price_volume_up_oi_down_short_5d,30.0,up_trend,,,down_trend,30.0,up_trend,segment_id,2025-01-02,77011.20558874552,0.27885888648792134,-1.0,0,0,2025-01-20,80380.96737600217,2025-02-06,77450.23287346536,2025-01-15,2025-01-22,18.0
51,price_volume_up_oi_down_short_5d,30.0,up_trend,,,down_trend,30.0,up_trend,segment_id,2025-01-06,77081.17974621737,0.853742519559888,-1.0,0,0,2025-01-20,80380.96737600217,2025-02-06,77450.23287346536,2025-01-15,2025-01-22,14.0
51,price_volume_up_oi_down_short_5d,30.0,up_trend,,,up_trend,30.0,up_trend,segment_id,2025-01-07,78238.59709504947,0.4014366492476686,-1.0,0,0,2025-01-20,80380.96737600217,2025-02-06,77450.23287346536,2025-01-15,2025-01-22,13.0
