factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score
12,price_up_speculation_up,2018-03-02,3884.721416283507,1.834531487792656,0.0,0.0,0.004385674797589223,3884.055754816471,3863.381456195256,3804.6574173199688,1,159855.0,159152.2,156600.9,1,-0.6722908443595274,-0.8617092904564632,0.06964229963656055,1.834531487792656
12,price_up_speculation_up,2018-03-05,3804.170400582856,2.304425223758312,0.0,0.0,-0.020735339054946622,3864.3832163645975,3859.8448677555107,3809.3148707104906,1,153726.0,158295.4,155896.6,1,-0.4241785976502792,-0.8617092904564632,0.12806248006707321,2.304425223758312
12,price_up_speculation_up,2018-06-29,4140.727436928275,1.4579617925103703,0.0,0.0,0.017018815276995003,4096.540140934529,4086.199443319073,4031.708841345416,1,102978.0,102479.8,102181.7,1,-0.1301715532178228,-0.40764008964386,0.1283641072250819,1.4579617925103703
12,price_up_speculation_up,2018-10-11,4058.126010586469,2.9552460078871223,0.0,0.0,0.003269421078911261,3984.6704284817242,3919.793475112577,3867.585742658993,1,113919.0,106743.2,106431.3,1,0.2221405818435328,-0.42792773512541843,0.14836838342793357,2.9552460078871223
12,price_up_speculation_up,2018-10-15,4151.970478524095,3.3903663796581767,0.0,0.0,0.019620360410368853,4065.2969209272183,3973.2312016256283,3901.662322427523,1,118761.0,112630.2,108739.4,1,0.0756903322673111,-0.4841286788480221,0.11137225529365957,3.3903663796581767
12,price_up_speculation_up,2018-10-17,4199.929980518186,1.8978736816150903,0.0,0.0,0.022001323995510136,4118.323315199679,4032.429016278402,3939.582566645228,1,130378.0,117502.4,111039.2,1,0.1075088758700244,-0.3488699250038312,0.1621937682107415,1.8978736816150903
12,price_up_speculation_up,2019-02-21,3547.6474427361145,1.936711050239543,0.0,0.0,0.012388189277238837,3528.764806945929,3497.2100038032017,3479.6580860796544,1,127480.0,123732.6,121121.3,1,-0.4344463002923396,-0.7536350038398565,0.11116259756156188,1.936711050239543
12,price_up_speculation_up,2019-02-26,3508.846021137705,2.169634576899628,0.0,0.0,-0.01108369959986788,3532.2369948140754,3520.3587445905005,3485.3798785550134,1,128680.0,126376.4,124498.4,1,-0.3345623426375499,-0.7165277595175206,0.11874448668303139,2.169634576899628
12,price_up_speculation_up,2019-03-04,3579.6816868861924,1.7162979762724553,0.0,0.0,0.0087088906152335,3543.8248043904414,3539.0522239543125,3506.3998622254344,1,128094.0,126061.6,125699.0,1,-0.2228137697963529,-0.7165277595175206,0.1940254713889084,1.7162979762724553
12,price_up_speculation_up,2019-03-06,3646.680077808153,2.394069858898682,0.0,0.0,0.013787001402244536,3586.726847979643,3561.0993786344443,3523.128017840704,1,133148.0,127957.2,127477.5,1,-0.0702043952267034,-0.7656883818231424,0.19594145115607503,2.394069858898682
