factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,ret_5,close_rank_20,close_rank_60,oi_change_5,oi_change_5_rate,oi_change_5_rate_median_past,oi_change_5_rate_mad_past,oi_change_5_rate_mad_score,oi_change_5_rate_mad_abs_score,log_volume,log_volume_median_past,log_volume_mad_past,volume_mad_score,price_volume_oi_score
11,price_volume_up_oi_down,2018-02-23,3888.035445017405,4.760975144368733,2.0,2.0,0.02022493363997291,0.025590490325404502,1.0,0.9393939393939394,-68.0,-0.00042178651399648925,-0.05658679542877017,0.028528168646883463,1.3279078649227718,1.3279078649227718,11.5437650001212,11.061082061175423,0.13523087057185545,2.407476789120557,4.760975144368733
11,price_volume_up_oi_down,2018-04-17,3946.764285650098,3.5650659462936503,2.0,2.0,0.015578436117307026,0.05113854472817603,1.0,1.0,-3293.0,-0.028740748498813015,-0.08449511387916152,0.034167082612471714,1.1006442860608052,1.1006442860608052,11.659144774471207,11.206451750853255,0.2160481915895831,1.4132831155046686,3.5650659462936503
11,price_volume_up_oi_down,2018-05-18,3992.745731605584,5.445204967427915,2.0,2.0,0.026536325772309466,0.00010937212238171234,0.85,0.95,-7445.0,-0.06455332911359478,-0.00479747812161932,0.030171623200671516,-1.3358502142817998,1.3358502142817998,11.726923321624724,10.93484027821082,0.1639191380400975,3.2592453810237334,5.445204967427915
11,price_volume_up_oi_down,2018-06-19,4069.629843978093,8.645773633133347,2.0,2.0,0.012985136413099063,0.03207833370417745,1.0,1.0,-12724.0,-0.11639969628497983,-0.012295262439375931,0.01315094077540854,-5.33935022938461,5.33935022938461,11.756059861160695,11.141159444279001,0.18235783771164904,2.2743450700445593,8.645773633133347
11,price_volume_up_oi_down,2018-06-29,4140.727436928275,5.528162577281893,2.0,2.0,0.017018815276995003,0.015855703106815167,1.0,1.0,4576.0,0.046503119855287496,-0.05651491239578994,0.021907957548503373,3.171665394039489,3.171665394039489,11.41209909894687,11.141159444279001,0.13631257584978673,1.3406414801355895,5.528162577281893
11,price_volume_up_oi_down,2018-08-13,3995.9746713140216,5.091588759988824,2.0,2.0,0.01738955695989186,0.01837576885198322,1.0,0.6,7142.0,0.06893689311017162,-0.04107328536346785,0.03308214524484206,2.2429273639349896,2.2429273639349896,11.947114075097511,11.264011457302564,0.25173470010804877,1.8302856272018513,5.091588759988824
11,price_volume_up_oi_down,2018-09-14,3843.732854455277,6.6815759652671485,2.0,2.0,0.015174880631843024,0.020326791288347135,0.7,0.23333333333333334,7668.0,0.07414068165337201,-0.06428434134119493,0.02450774545358011,3.8096690315494524,3.8096690315494524,11.577392108524668,10.97805988347635,0.1878824031131625,2.1515801424293493,6.6815759652671485
11,price_volume_up_oi_down,2018-09-17,3884.298564134703,4.5129062360537295,2.0,2.0,0.010553727643274335,0.023591242555938585,1.0,0.4166666666666667,2946.0,0.02790829859795377,-0.050565751236083215,0.03822633555869182,1.3846480625788036,1.3846480625788036,11.747705054247557,11.078336820089888,0.2145150294293634,2.104666930918987,4.5129062360537295
11,price_volume_up_oi_down,2018-10-11,4058.126010586469,13.563992369405113,2.0,2.0,0.003269421078911261,0.049303463807446546,1.0,1.0,10836.0,0.10511917580978435,-0.004919608996309071,0.008015347510368347,9.259753670503944,9.259753670503944,11.865383530360921,11.16509091961834,0.14511529746606922,3.254935235093724,13.563992369405113
11,price_volume_up_oi_down,2018-10-15,4151.970478524095,7.66259049965059,2.0,2.0,0.019620360410368853,0.05217627939045144,1.0,1.0,14686.0,0.141109776603411,-0.004919608996309071,0.026348396655485128,3.7381960080682903,3.7381960080682903,11.760558681453107,11.131689999007996,0.1476789310195974,2.8722182121918483,7.66259049965059
