factor_id,factor_name,segment_id,trend,signal_date,signal_close,factor_value,speculation,speculation_first_diff,speculation_abs_first_diff,speculation_first_diff_rank,speculation_abs_first_diff_rank,rise_signal,drop_signal,large_abs_signal,position_scale,is_reversal_window,is_effective_signal,end_date,end_close,end_signal_date,end_signal_close,reversal_start_date,reversal_end_date,days_to_trend_end
22,speculation_first_difference,2.0,down_trend,2023-08-28,182823.25598746547,0.95,0.7831209555005861,0.6662685499859142,0.6662685499859142,0.95,0.95,0,0,1,0.5,0,0,2023-09-27,140785.90414311024,2023-10-11,148356.2540127733,2023-09-22,2023-10-09,30
22,speculation_first_difference,2.0,down_trend,2023-09-08,173951.38707074328,0.95,0.7779856314922208,0.47097379290077257,0.47097379290077257,0.95,0.95,0,0,1,0.5,0,0,2023-09-27,140785.90414311024,2023-10-11,148356.2540127733,2023-09-22,2023-10-09,19
22,speculation_first_difference,3.0,up_trend,2023-10-09,144995.4945334111,1.0,0.174944469642449,-0.6511793999273214,0.6511793999273214,0.0,1.0,0,1,1,0.5,1,1,2023-10-13,159604.77838890062,2023-10-18,153207.98823114813,2023-10-10,2023-10-17,4
22,speculation_first_difference,3.0,up_trend,2023-10-12,157649.97815621665,0.95,0.8142153840651848,0.48385516900832126,0.48385516900832126,1.0,0.95,1,0,1,0.5,1,1,2023-10-13,159604.77838890062,2023-10-18,153207.98823114813,2023-10-10,2023-10-17,1
22,speculation_first_difference,4.0,down_trend,2023-11-08,135846.2033121477,0.95,1.1901756336576224,0.4644146928453563,0.4644146928453563,0.95,0.95,0,0,1,0.5,0,0,2023-12-05,91488.87545841128,2023-12-07,95331.93392971825,2023-11-30,2023-12-07,27
22,speculation_first_difference,4.0,down_trend,2023-11-09,135284.71439327145,1.0,0.5799246881619707,-0.6102509454956516,0.6102509454956516,0.0,1.0,0,1,1,0.5,0,0,2023-12-05,91488.87545841128,2023-12-07,95331.93392971825,2023-11-30,2023-12-07,26
22,speculation_first_difference,4.0,down_trend,2023-11-22,120061.07353298634,0.95,1.0743885942000646,0.4687307280991525,0.4687307280991525,1.0,0.95,1,0,1,0.5,0,0,2023-12-05,91488.87545841128,2023-12-07,95331.93392971825,2023-11-30,2023-12-07,13
22,speculation_first_difference,5.0,up_trend,2023-12-05,91488.87545841128,1.0,0.5526496490566544,-0.6656010516804021,0.6656010516804021,0.0,1.0,0,1,1,0.5,1,1,2023-12-13,105012.27001922044,2023-12-20,100354.27599033044,2023-12-07,2023-12-15,8
22,speculation_first_difference,5.0,up_trend,2023-12-06,92685.57123121686,1.0,1.362668612012835,0.8100189629561807,0.8100189629561807,1.0,1.0,1,0,1,0.5,1,1,2023-12-13,105012.27001922044,2023-12-20,100354.27599033044,2023-12-07,2023-12-15,7
22,speculation_first_difference,5.0,up_trend,2023-12-07,95331.93392971825,1.0,0.242212494358547,-1.120456117654288,1.120456117654288,0.0,1.0,0,1,1,0.5,1,1,2023-12-13,105012.27001922044,2023-12-20,100354.27599033044,2023-12-07,2023-12-15,6
22,speculation_first_difference,5.0,up_trend,2023-12-11,97124.60930398648,1.0,1.474114423933736,1.231901929575189,1.231901929575189,1.0,1.0,1,0,1,0.5,1,1,2023-12-13,105012.27001922044,2023-12-20,100354.27599033044,2023-12-07,2023-12-15,2
22,speculation_first_difference,9.0,down_trend,2024-01-11,103962.28880612228,0.95,-0.0911669782616943,0.7020525452361213,0.7020525452361213,1.0,0.95,1,0,1,0.5,0,0,2024-02-20,92872.2501205509,2024-02-21,96882.24540344122,2024-02-07,2024-02-22,40
22,speculation_first_difference,9.0,down_trend,2024-02-06,97201.50715948458,1.0,-0.5379642555442696,0.8770002579012879,0.8770002579012879,1.0,1.0,1,0,1,0.5,0,0,2024-02-20,92872.2501205509,2024-02-21,96882.24540344122,2024-02-07,2024-02-22,14
22,speculation_first_difference,9.0,down_trend,2024-02-07,97543.72551494786,1.0,-1.4786558863706138,-0.9406916308263442,0.9406916308263442,0.0,1.0,0,1,1,0.5,1,1,2024-02-20,92872.2501205509,2024-02-21,96882.24540344122,2024-02-07,2024-02-22,13
22,speculation_first_difference,10.0,up_trend,2024-02-21,96882.24540344122,1.0,0.3295808831089428,1.1304739770698133,1.1304739770698133,1.0,1.0,1,0,1,0.5,1,1,2024-03-01,119227.0197740562,2024-03-05,111502.8476740102,2024-02-27,2024-03-05,9
22,speculation_first_difference,10.0,up_trend,2024-02-22,97588.7803097096,0.95,-0.689661552807524,-1.0192424359164667,1.0192424359164667,0.0,0.95,0,1,1,0.5,1,1,2024-03-01,119227.0197740562,2024-03-05,111502.8476740102,2024-02-27,2024-03-05,8
22,speculation_first_difference,14.0,up_trend,2024-04-02,111077.01530350235,1.0,-0.4048781326150782,-0.3637276423235764,0.3637276423235764,0.0,1.0,0,1,1,0.5,1,1,2024-04-10,115969.12561345406,2024-04-16,108422.30803054072,2024-04-03,2024-04-12,8
22,speculation_first_difference,15.0,down_trend,2024-04-12,112326.96831629968,1.0,-0.6516419142583596,-0.3831564098702286,0.3831564098702286,0.0,1.0,0,1,1,0.5,1,1,2024-04-19,107978.62317880044,2024-04-29,115988.79717510032,2024-04-16,2024-04-23,7
22,speculation_first_difference,15.0,down_trend,2024-04-16,108422.30803054072,1.0,-0.34986892145068,0.5129523386558166,0.5129523386558166,1.0,1.0,1,0,1,0.5,1,1,2024-04-19,107978.62317880044,2024-04-29,115988.79717510032,2024-04-16,2024-04-23,3
22,speculation_first_difference,15.0,down_trend,2024-04-17,109690.96668846378,1.0,-0.9123332759449364,-0.5624643544942565,0.5624643544942565,0.0,1.0,0,1,1,0.5,1,1,2024-04-19,107978.62317880044,2024-04-29,115988.79717510032,2024-04-16,2024-04-23,2
22,speculation_first_difference,17.0,down_trend,2024-04-29,115988.79717510032,1.0,0.0893391733119337,0.9878057402812614,0.9878057402812614,1.0,1.0,1,0,1,0.5,1,1,2024-05-15,103961.9134405348,2024-05-24,108631.95809717664,2024-05-10,2024-05-17,16
22,speculation_first_difference,17.0,down_trend,2024-05-06,112887.53718943716,0.95,-0.7921743276892471,-0.744927445437827,0.744927445437827,0.0,0.95,0,1,1,0.5,1,1,2024-05-15,103961.9134405348,2024-05-24,108631.95809717664,2024-05-10,2024-05-17,9
22,speculation_first_difference,19.0,down_trend,2024-06-21,95060.393532734,0.95,-0.5004919321428314,0.479692540032717,0.479692540032717,1.0,0.95,1,0,1,0.5,1,1,2024-06-24,91948.8888557649,2024-06-26,96328.86233091856,2024-06-19,2024-06-26,3
22,speculation_first_difference,20.0,down_trend,2024-07-12,91385.49271301736,1.0,-1.046752881933517,-0.5285495500207346,0.5285495500207346,0.0,1.0,0,1,1,0.5,0,0,2024-08-15,73109.08419046688,2024-08-21,78538.71756378718,2024-08-12,2024-08-19,34
22,speculation_first_difference,20.0,down_trend,2024-07-15,88166.13063927906,1.0,-0.4645811168461631,0.5821717650873539,0.5821717650873539,1.0,1.0,1,0,1,0.5,0,0,2024-08-15,73109.08419046688,2024-08-21,78538.71756378718,2024-08-12,2024-08-19,31
22,speculation_first_difference,20.0,down_trend,2024-07-19,89977.9163766626,1.0,-0.1714490542709461,0.6552126647979628,0.6552126647979628,1.0,1.0,1,0,1,0.5,0,0,2024-08-15,73109.08419046688,2024-08-21,78538.71756378718,2024-08-12,2024-08-19,27
22,speculation_first_difference,20.0,down_trend,2024-07-22,89225.08093057314,1.0,-0.9404351259002204,-0.7689860716292742,0.7689860716292742,0.0,1.0,0,1,1,0.5,0,0,2024-08-15,73109.08419046688,2024-08-21,78538.71756378718,2024-08-12,2024-08-19,24
22,speculation_first_difference,21.0,up_trend,2024-08-21,78538.71756378718,1.0,0.0983043160887171,0.6676585175970144,0.6676585175970144,1.0,1.0,1,0,1,0.5,1,1,2024-08-21,78538.71756378718,2024-08-23,74170.68976556571,2024-08-16,2024-08-23,0
22,speculation_first_difference,25.0,down_trend,2024-09-11,79206.53066241814,1.0,0.5987226285877185,0.9976873348009494,0.9976873348009494,1.0,1.0,1,0,1,0.5,1,1,2024-09-23,75969.96293712065,2024-09-30,81153.9695800031,2024-09-18,2024-09-25,12
22,speculation_first_difference,26.0,up_trend,2024-09-26,78419.59841170204,0.95,-0.342117240646403,-0.5060603008273574,0.5060603008273574,0.0,0.95,0,1,1,0.5,1,1,2024-09-30,81153.9695800031,2024-10-10,75780.37389367344,2024-09-25,2024-10-09,4
22,speculation_first_difference,27.0,down_trend,2024-10-09,78291.12084694221,0.95,-0.4227048774959197,-0.7633268286150825,0.7633268286150825,0.0,0.95,0,1,1,0.5,1,1,2024-10-17,71155.55012631086,2024-10-23,74712.96420826833,2024-10-14,2024-10-21,8
22,speculation_first_difference,28.0,up_trend,2024-11-04,77707.3874380655,0.95,-0.3032427121063368,-0.5019703011770094,0.5019703011770094,0.05,0.95,0,0,1,0.5,0,0,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,9
22,speculation_first_difference,28.0,up_trend,2024-11-07,77375.34409743991,0.95,-0.5003722269204259,-0.4826793237548641,0.4826793237548641,0.05,0.95,0,0,1,0.5,0,0,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,6
22,speculation_first_difference,29.0,down_trend,2024-12-11,78438.40527279452,1.0,-0.8830375162830688,-0.6090403798831643,0.6090403798831643,0.0,1.0,0,1,1,0.5,0,0,2024-12-19,75646.59865128386,2025-01-07,78238.59709504947,2024-12-16,2024-12-23,8
