factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,is_up_day,price_up_ratio,open_interest,log_open_interest,delta_log_open_interest,oi_change_rate,log_open_interest_median_past,log_open_interest_mad_past,log_open_interest_mad_score
42,price_up_oi_down,2024-04-10,115969.12561345406,-2.3810828638991337,0.0,0.0,0.01613046325607792,1,0.7,282621.0,12.551862056450483,-0.002406688997282913,-0.2403795243238971,12.617564777558934,0.01861164889740241,-2.3810828638991337
42,price_up_oi_down,2024-12-12,78831.43105109982,-1.117769273528756,0.0,0.0,0.005010629384144538,1,0.7,422291.0,12.95344992883133,-0.01769280532636941,-1.7537206656600635,13.022971459120729,0.04195108138559167,-1.117769273528756
42,price_up_oi_down,2024-12-16,77589.47237802156,-1.8156652952340864,0.0,0.0,0.00019186854735475656,1,0.7,402940.0,12.9065429464699,-0.020382023149933204,-2.0175713761165004,12.986372226074963,0.0296553068285208,-1.8156652952340864
42,price_up_oi_down,2024-12-17,76758.36463191843,-2.205937412485385,0.0,0.0,-0.0107116045596225,0,0.7,391924.0,12.878823222424897,-0.02771972404500289,-2.7339057924256505,12.975811579780629,0.0296553068285208,-2.205937412485385
42,price_up_oi_down,2024-12-18,76074.4258131385,-2.151603729974246,0.0,0.0,-0.008910283876677694,0,0.7,389786.0,12.873353149556323,-0.0054700728685741495,-0.5455139261694053,12.973421001976519,0.031369550459668716,-2.151603729974246
42,price_up_oi_down,2025-01-27,79427.6032237804,-1.1866828665415516,0.0,0.0,0.0008034671237775459,1,0.8,378934.0,12.84511732641979,-0.012707424303942005,-1.2627025900254107,12.897284342945987,0.02965086257470606,-1.1866828665415516
42,price_up_oi_down,2025-06-10,60959.10759492531,-1.6083442070463547,0.0,0.0,0.000414323357978974,1,0.7,555779.0,13.228126012201416,-0.013122016080597376,-1.3036297769569494,13.263958716093093,0.015027148762699838,-1.6083442070463547
42,price_up_oi_down,2025-06-30,62290.83671838749,-1.1147332289193697,0.0,0.0,-0.01604097186898923,0,0.8,596987.0,13.29965061659326,-0.029762701913302436,-2.932415425789592,13.33387258256104,0.020706658074609585,-1.1147332289193697
42,price_up_oi_down,2025-07-01,62735.91978325273,-1.2874539873317885,0.0,0.0,0.007145241392043422,1,0.8,592395.0,13.291928921097083,-0.007721695496176295,-0.7691959791418346,13.333403713557274,0.021728438095652614,-1.2874539873317885
42,price_up_oi_down,2025-07-02,63902.8456296618,-1.14606820813093,0.0,0.0,0.018600601544389583,1,0.8,589634.0,13.287257284409014,-0.004671636688069469,-0.4660741566016924,13.333403713557274,0.027158366161583736,-1.14606820813093
