factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,ret_5,close_rank_20,close_rank_60,oi_ret_5,open_interest_mad_score,volume_mad_score,range_pct,range_mad_score,close_location,crowded_chase_score
14,uptrend_crowded_chase,2018-08-13,3995.9746713140216,3.052224068758,0.0,0.0,0.01738955695989186,0.01837576885198322,1.0,0.6,0.06666459672708491,0.7611624125238244,1.8302856272018513,0.018354634208671228,0.7518376852665001,0.615101741841499,3.052224068758
14,uptrend_crowded_chase,2018-08-14,3946.544572215069,2.838564786032835,0.0,0.0,-0.0123699730766057,0.015955845845142536,0.75,0.2833333333333333,0.06551992576201648,1.1629688183093783,0.5601491494316276,0.023471061347408385,1.2910427860152858,0.059295989236383156,2.838564786032835
14,uptrend_crowded_chase,2018-10-11,4058.126010586469,5.834810675989759,0.0,0.0,0.003269421078911261,0.049303463807446546,1.0,1.0,0.0999531805657412,2.1040720333663137,3.254935235093724,0.026503669509463836,2.2065420501531676,0.6613357322076365,5.834810675989759
14,uptrend_crowded_chase,2018-10-15,4151.970478524095,4.527149620927619,0.0,0.0,0.019620360410368853,0.05217627939045144,1.0,1.0,0.1320012771226189,1.7051968019266535,2.8722182121918483,0.01607014773819806,0.7716874258100848,0.8812728134142992,4.527149620927619
14,uptrend_crowded_chase,2018-10-17,4199.929980518186,5.992880772701493,0.0,0.0,0.022001323995510136,0.0383268802235881,1.0,1.0,0.18178173412485776,2.6968780900987963,3.308525308396415,0.02306054392389386,1.2834800568089804,0.899872951504843,5.992880772701493
14,uptrend_crowded_chase,2019-02-15,3538.741154700222,8.52424805139913,0.0,0.0,0.015529700732245466,0.02859392465543298,0.9,0.35,0.07607616258641237,0.2613991242817859,10.856947059327942,0.017723758488848124,3.8687507949067466,0.9016837011602943,8.52424805139913
14,uptrend_crowded_chase,2019-02-18,3534.139872457717,2.802288723304202,0.0,0.0,-0.0013002596237912112,0.016295961859424057,0.9,0.35,0.07250212406581191,0.5588565511093112,2.686864344389782,0.008320155746227801,-0.3986945480940758,0.49806816439472396,2.802288723304202
14,uptrend_crowded_chase,2019-03-06,3646.680077808153,5.263244639767608,0.0,0.0,0.013787001402244536,0.03586774664270198,1.0,0.7166666666666667,0.05047617627168499,2.344575982189863,2.3473962250837954,0.018348940287505666,1.489941090071695,0.6918873000331659,5.263244639767608
14,uptrend_crowded_chase,2019-04-08,3929.957786825884,3.9882587620569105,0.0,0.0,0.012348352868025936,0.0640715189908736,1.0,1.0,0.08004673104935023,1.8992287332552813,1.2441394859650303,0.011851547929999592,0.9339205716382283,0.5297095098596383,3.9882587620569105
14,uptrend_crowded_chase,2019-04-09,3960.4450071728047,5.3377201265628065,0.0,0.0,0.007757645756176101,0.05077244127648317,1.0,1.0,0.11722145573014053,2.2734388587122667,1.5521809046935076,0.022105306130060925,2.5763816310075733,0.4068249506014,5.3377201265628065
14,uptrend_crowded_chase,2019-04-11,3993.797696178582,4.603068190993796,0.0,0.0,0.0018430657976409304,0.04812257088074112,1.0,1.0,0.09355801317508039,2.1989311612621028,1.123472702907406,0.015985780097315227,1.6848013565559807,0.4736496764161472,4.603068190993796
14,uptrend_crowded_chase,2019-04-19,4159.174486204956,6.510971219276988,0.0,0.0,0.012213809675741594,0.029004870980457786,1.0,1.0,0.10536051565782678,4.333157592623184,2.13483874655806,0.014423266842091316,0.2207885067495487,0.8285265331415491,6.510971219276988
14,uptrend_crowded_chase,2019-05-16,4306.41818719914,6.833481345295217,0.0,0.0,0.009772006151147705,0.01538024945781613,1.0,1.0,0.17598173297805886,1.6602309606838155,4.212844793441907,0.022153074337712728,4.133655975780896,0.49632928958281225,6.833481345295217
14,uptrend_crowded_chase,2019-05-17,4247.681452163231,5.182848167209412,0.0,0.0,-0.013639347709078598,0.008123770432226785,0.9,0.9666666666666667,0.11251756975546812,1.528397662125554,1.3594981463916438,0.023711479582848815,4.149402863776072,0.15449169598203444,5.182848167209412
14,uptrend_crowded_chase,2019-05-29,4344.804529114874,5.983269837641165,0.0,0.0,0.01500259452738728,0.03265157168575561,1.0,1.0,0.05304600910461055,0.3854519558917019,4.855104210474627,0.04237572344622658,4.3405315530243005,0.33657938804127396,5.983269837641165
14,uptrend_crowded_chase,2019-07-08,4450.8532409458985,5.346271145707474,0.0,0.0,0.0036132327208795445,0.024492947738122606,1.0,1.0,0.21489616460538485,3.6190512938022676,1.4544397038104138,0.013326950847573639,-0.10955983971730252,0.4211498920283584,5.346271145707474
14,uptrend_crowded_chase,2019-07-09,4549.870369060895,6.24803966420332,0.0,0.0,0.022246774439580008,0.039301352077472984,1.0,1.0,0.24545401204963113,3.439201751792909,2.0672680727298043,0.023437573986626294,1.5504077520910173,0.8455030646221788,6.24803966420332
14,uptrend_crowded_chase,2019-07-19,4620.557341931373,6.461881501653707,0.0,0.0,-0.004490793924176284,0.03935309630526351,0.95,0.9833333333333333,0.08940860305608034,2.060236583164239,4.826776755972563,0.03254737512611311,2.076513081006373,0.18668496165690737,6.461881501653707
14,uptrend_crowded_chase,2019-09-03,4361.300208826847,4.977378851853172,0.0,0.0,0.013968803633725768,0.023298312527085585,1.0,0.55,0.1422017691455011,2.345980409065822,2.0419994172701204,0.02449849190724777,1.2207974683045797,0.7429391779580038,4.977378851853172
14,uptrend_crowded_chase,2019-09-16,4486.721581096877,9.815387016819562,0.0,0.0,0.038996547042191576,0.05030605595068094,1.0,0.8,0.16416063791688984,4.5956426514352655,5.673254739564336,0.03291282333470394,2.7662339912042566,0.8894534880209702,9.815387016819562
14,uptrend_crowded_chase,2019-09-17,4479.382343679604,6.582911949811841,0.0,0.0,-0.0016357684078714962,0.048855868958296744,0.95,0.7833333333333333,0.1579308857966648,4.9014318508724966,1.330412683113592,0.018838768028453454,0.13254751476509624,0.2841428716212428,6.582911949811841
14,uptrend_crowded_chase,2019-09-20,4476.18920657974,5.124133644575561,0.0,0.0,0.0005727894137299572,0.036557549979934434,0.9,0.7666666666666667,0.17880989483735732,3.4337059558062677,1.5808553775385872,0.011317861846115397,-0.19130783453463987,0.42490282231143994,5.124133644575561
14,uptrend_crowded_chase,2019-10-21,4551.671908971998,7.2546207028971015,0.0,0.0,0.04485887792446719,0.05071675654267316,1.0,0.9166666666666666,0.20225119739245478,2.7241616597472342,4.2644786088363205,0.026273534200298328,2.796439477463415,0.9084828308097506,7.2546207028971015
14,uptrend_crowded_chase,2019-10-22,4527.161381836969,5.1344161321874004,0.0,0.0,-0.005384950327090965,0.04038693438299923,0.95,0.9166666666666666,0.07621187958823405,2.2396914552228275,3.180686616530909,0.018013121820273318,0.7087627373982363,0.15412464511369117,5.1344161321874004
14,uptrend_crowded_chase,2019-10-23,4496.614449111723,5.5468266294246416,0.0,0.0,-0.006747480407436002,0.03512047733377033,0.9,0.9166666666666666,0.059423919455342755,0.9079233691880907,4.070819529217793,0.028656648573698266,3.4069869912553084,0.09045068328253043,5.5468266294246416
14,uptrend_crowded_chase,2019-10-25,4601.472772558445,5.658304593858937,0.0,0.0,0.020607966445224335,0.056290913336342285,1.0,1.0,0.14647285245522035,2.5994277655892337,1.2741591546860418,0.028264381657907633,2.843594501853366,0.772482703663265,5.658304593858937
14,uptrend_crowded_chase,2019-10-28,4718.127122295959,7.213002091458443,0.0,0.0,0.02535152450172018,0.03657012558305306,1.0,1.0,0.11038050750589612,4.666826966473771,1.9662144973591869,0.02144978976875037,1.1261357526101563,0.6128052554310295,7.213002091458443
14,uptrend_crowded_chase,2020-02-17,3510.494801266864,3.1527600134504437,0.0,0.0,0.01917950510475519,0.0045729077023031195,0.9,0.38333333333333336,0.07740262417567223,0.5994003421298894,2.615738595798837,0.02992178965079366,0.690980746842272,0.8636310988240663,3.1527600134504437
14,uptrend_crowded_chase,2021-06-15,4689.438025643748,5.838008139529045,0.0,0.0,0.01566401924779548,0.025165089302917387,1.0,0.7333333333333333,0.13323317560625192,3.1478806730688715,1.2189118615989136,0.02760528606365439,2.161343071321433,0.9249110048472959,5.838008139529045
14,uptrend_crowded_chase,2021-10-22,4497.393214030974,5.191958661630716,0.0,0.0,0.019271096783384456,0.03675139895413282,1.0,1.0,0.0647527610282097,1.4857919087676108,3.499379936433186,0.02081066192149697,1.9129535692930244,0.8744120759343883,5.191958661630716
14,uptrend_crowded_chase,2021-10-25,4504.35845110154,6.195169168838896,0.0,0.0,0.00154872761599667,0.024809118201628344,1.0,1.0,0.060116467039270205,2.202271100330899,3.2510641698597826,0.02359516291457209,2.734731967156211,0.0982747606285637,6.195169168838896
14,uptrend_crowded_chase,2022-02-25,4410.94459156393,4.122833280118949,0.0,0.0,0.001800154666028675,0.01640433939765762,1.0,1.0,0.08298449273548592,1.3003472156967537,1.8618172839703149,0.011276353435633636,1.7831548448740757,0.93765898578912,4.122833280118949
14,uptrend_crowded_chase,2022-03-11,4507.80176302266,5.53128357515565,0.0,0.0,0.014308320680150866,0.022904885555822263,1.0,1.0,0.14578052823404875,2.736014673632032,1.776854678170846,0.01379205237203927,1.8136831248763907,0.9479188066086077,5.53128357515565
14,uptrend_crowded_chase,2022-03-14,4515.955613216944,5.1928628951929685,0.0,0.0,0.0018088306946346666,0.01344780708836657,1.0,1.0,0.09908121915338519,1.9122186429361285,1.462766232388858,0.01694015045878749,3.0985222721248222,0.7575312486027795,5.1928628951929685
