factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,speculation,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type
21,speculation_change_rate,2023-08-07,213933.16142895515,1.1363710027104839,0.0,0.0,0.5882044007797698,0.7591085964230458,1.1363710027104839,1.0,1,0,fast_rise
21,speculation_change_rate,2023-09-06,187410.7465832597,-0.33407551505609545,0.0,0.0,0.0619556344017436,-0.4065790008405363,-0.33407551505609545,0.0,0,1,fast_drop
21,speculation_change_rate,2023-10-09,144995.4945334111,-0.47856956105414006,0.0,0.0,0.174944469642449,-0.6511793999273214,-0.47856956105414006,0.0,0,1,fast_drop
21,speculation_change_rate,2023-10-12,157649.97815621665,0.6223166669048847,0.0,0.0,0.8142153840651848,0.48385516900832126,0.6223166669048847,1.0,1,0,fast_rise
21,speculation_change_rate,2023-11-09,135284.71439327145,-0.4567854652716924,0.0,0.0,0.5799246881619707,-0.6102509454956516,-0.4567854652716924,0.0,0,1,fast_drop
21,speculation_change_rate,2023-11-22,120061.07353298634,0.5979646538375178,0.0,0.0,1.0743885942000646,0.4687307280991525,0.5979646538375178,1.0,1,0,fast_rise
21,speculation_change_rate,2023-12-05,91488.87545841128,-0.4860354843859608,0.0,0.0,0.5526496490566544,-0.6656010516804021,-0.4860354843859608,0.0,0,1,fast_drop
21,speculation_change_rate,2023-12-06,92685.57123121686,1.2479506140612902,0.0,0.0,1.362668612012835,0.8100189629561807,1.2479506140612902,1.0,1,0,fast_rise
21,speculation_change_rate,2023-12-07,95331.93392971825,-0.6738689934165203,0.0,0.0,0.242212494358547,-1.120456117654288,-0.6738689934165203,0.0,0,1,fast_drop
21,speculation_change_rate,2023-12-11,97124.60930398648,2.427742665721652,0.0,0.0,1.474114423933736,1.231901929575189,2.427742665721652,1.0,1,0,fast_rise
21,speculation_change_rate,2024-01-11,103962.28880612228,1.0178902708122752,0.0,0.0,-0.0911669782616943,0.7020525452361213,1.0178902708122752,1.0,1,0,fast_rise
21,speculation_change_rate,2024-02-06,97201.50715948458,1.4036784654174124,0.0,0.0,-0.5379642555442696,0.8770002579012879,1.4036784654174124,1.0,1,0,fast_rise
21,speculation_change_rate,2024-02-07,97543.72551494786,-0.6096422414865392,0.0,0.0,-1.4786558863706138,-0.9406916308263442,-0.6096422414865392,0.0,0,1,fast_drop
21,speculation_change_rate,2024-02-21,96882.24540344122,2.0971241181029483,0.0,0.0,0.3295808831089428,1.1304739770698133,2.0971241181029483,1.0,1,0,fast_rise
21,speculation_change_rate,2024-02-22,97588.7803097096,-0.6391317825520881,0.0,0.0,-0.689661552807524,-1.0192424359164667,-0.6391317825520881,0.0,0,1,fast_drop
21,speculation_change_rate,2024-03-28,108491.2733317798,-0.29355232420190636,0.0,0.0,-0.3486179972212963,-0.34750614074941233,-0.29355232420190636,0.0,0,1,fast_drop
21,speculation_change_rate,2024-04-02,111077.01530350235,-0.30491952053051785,0.0,0.0,-0.4048781326150782,-0.3637276423235764,-0.30491952053051785,0.0,0,1,fast_drop
21,speculation_change_rate,2024-04-12,112326.96831629968,-0.31829373464159016,0.0,0.0,-0.6516419142583596,-0.3831564098702286,-0.31829373464159016,0.0,0,1,fast_drop
21,speculation_change_rate,2024-04-16,108422.30803054072,0.6702149632532479,0.0,0.0,-0.34986892145068,0.5129523386558166,0.6702149632532479,1.0,1,0,fast_rise
21,speculation_change_rate,2024-04-17,109690.96668846378,-0.4301968647101375,0.0,0.0,-0.9123332759449364,-0.5624643544942565,-0.4301968647101375,0.0,0,1,fast_drop
21,speculation_change_rate,2024-04-29,115988.79717510032,1.6853356790619358,0.0,0.0,0.0893391733119337,0.9878057402812614,1.6853356790619358,1.0,1,0,fast_rise
21,speculation_change_rate,2024-05-06,112887.53718943716,-0.525231254671237,0.0,0.0,-0.7921743276892471,-0.744927445437827,-0.525231254671237,0.0,0,1,fast_drop
21,speculation_change_rate,2024-06-21,95060.393532734,0.6155776003873152,0.0,0.0,-0.5004919321428314,0.479692540032717,0.6155776003873152,1.0,1,0,fast_rise
21,speculation_change_rate,2024-07-12,91385.49271301736,-0.41054066880103857,0.0,0.0,-1.046752881933517,-0.5285495500207346,-0.41054066880103857,0.0,0,1,fast_drop
21,speculation_change_rate,2024-07-15,88166.13063927906,0.7899215016913705,0.0,0.0,-0.4645811168461631,0.5821717650873539,0.7899215016913705,1.0,1,0,fast_rise
21,speculation_change_rate,2024-07-19,89977.9163766626,0.9255519709575084,0.0,0.0,-0.1714490542709461,0.6552126647979628,0.9255519709575084,1.0,1,0,fast_rise
21,speculation_change_rate,2024-07-22,89225.08093057314,-0.5365172315218716,0.0,0.0,-0.9404351259002204,-0.7689860716292742,-0.5365172315218716,0.0,0,1,fast_drop
21,speculation_change_rate,2024-08-21,78538.71756378718,0.9496668612516674,0.0,0.0,0.0983043160887171,0.6676585175970144,0.9496668612516674,1.0,1,0,fast_rise
21,speculation_change_rate,2024-08-23,74170.68976556571,-0.3140806047796093,0.0,0.0,-0.4278164634716551,-0.3769951578386106,-0.3140806047796093,0.0,0,1,fast_drop
21,speculation_change_rate,2024-09-03,75779.22014440736,-0.329396063803003,0.0,0.0,-0.3659452472550555,-0.3995765753027602,-0.329396063803003,0.0,0,1,fast_drop
21,speculation_change_rate,2024-09-11,79206.53066241814,1.7120026163294964,0.0,0.0,0.5987226285877185,0.9976873348009494,1.7120026163294964,1.0,1,0,fast_rise
21,speculation_change_rate,2024-09-13,78366.63193556007,-0.359981414998813,0.0,0.0,-0.2147243031639237,-0.44625806398569023,-0.359981414998813,0.0,0,1,fast_drop
21,speculation_change_rate,2024-09-26,78419.59841170204,-0.39713398291186364,0.0,0.0,-0.342117240646403,-0.5060603008273574,-0.39713398291186364,0.0,0,1,fast_drop
21,speculation_change_rate,2024-10-09,78291.12084694221,-0.5338868338927751,0.0,0.0,-0.4227048774959197,-0.7633268286150825,-0.5338868338927751,0.0,0,1,fast_drop
21,speculation_change_rate,2024-11-08,76955.62128058964,0.5557587494371388,0.0,0.0,-0.0584088585338813,0.44196336838654465,0.5557587494371388,1.0,1,0,fast_rise
21,speculation_change_rate,2024-12-11,78438.40527279452,-0.45612747024302547,0.0,0.0,-0.8830375162830688,-0.6090403798831643,-0.45612747024302547,0.0,0,1,fast_drop
21,speculation_change_rate,2024-12-30,77402.32441373424,1.0451414614678276,0.0,0.0,-0.0481767408481124,0.7154669614142287,1.0451414614678276,1.0,1,0,fast_rise
21,speculation_change_rate,2025-01-16,79447.37810758078,-0.4471139215838149,0.0,0.0,-0.6679780192402538,-0.5926033051627299,-0.4471139215838149,0.0,0,1,fast_drop
21,speculation_change_rate,2025-01-22,78915.04334667012,-0.5694197965417074,0.0,0.0,-0.9463089783775692,-0.8426216694276003,-0.5694197965417074,0.0,0,1,fast_drop
21,speculation_change_rate,2025-03-03,75680.27852450938,-0.3002661741142103,0.0,0.0,-1.2049442398578514,-0.35705526498620044,-0.3002661741142103,0.0,0,1,fast_drop
21,speculation_change_rate,2025-03-06,77013.02660503009,0.4670591872693497,0.0,0.0,-0.7272059201552226,0.38325984413385306,0.4670591872693497,1.0,1,0,fast_rise
21,speculation_change_rate,2025-03-10,76014.01416184894,-0.3535644675394184,0.0,0.0,-1.0799164261910437,-0.4362818035140946,-0.3535644675394184,0.0,0,1,fast_drop
21,speculation_change_rate,2025-03-19,75471.09885655322,-0.47394661988088127,0.0,0.0,-1.5178422581760698,-0.642352588277295,-0.47394661988088127,0.0,0,1,fast_drop
21,speculation_change_rate,2025-03-20,73571.8434436724,2.3786193080276514,0.0,0.0,-0.3003751208846147,1.2174671372914552,2.3786193080276514,1.0,1,0,fast_rise
21,speculation_change_rate,2025-04-24,68655.5618137744,-0.49987584898095583,0.0,0.0,-0.9746947005064722,-0.6928989093437061,-0.49987584898095583,0.0,0,1,fast_drop
21,speculation_change_rate,2025-05-14,65636.47412455792,0.7909514022577098,0.0,0.0,0.0169391403173036,0.582746988292624,0.7909514022577098,1.0,1,0,fast_rise
21,speculation_change_rate,2025-06-20,59074.355492316274,0.7059008143126895,0.0,0.0,-0.3636223100663722,0.5340933080549992,0.7059008143126895,1.0,1,0,fast_rise
21,speculation_change_rate,2025-06-24,60740.48313952015,1.5028319694409706,0.0,0.0,0.3098768373992623,0.917422878530593,1.5028319694409706,1.0,1,0,fast_rise
21,speculation_change_rate,2025-06-25,60930.93942786819,-0.47418197848550125,0.0,0.0,-0.3329232554079251,-0.6428000928071874,-0.47418197848550125,0.0,0,1,fast_drop
21,speculation_change_rate,2025-08-29,76802.60049974476,-0.39334851793982983,0.0,0.0,-0.1461752334552263,-0.4998008174637988,-0.39334851793982983,0.0,0,1,fast_drop
21,speculation_change_rate,2025-09-11,71180.7106156905,-0.4571507196864729,0.0,0.0,-0.3215203751665091,-0.6109235660608385,-0.4571507196864729,0.0,0,1,fast_drop
21,speculation_change_rate,2025-10-20,75863.93064959011,-0.4698172001519709,0.0,0.0,-0.5669259201909042,-0.6345334265285151,-0.4698172001519709,0.0,0,1,fast_drop
21,speculation_change_rate,2025-10-22,77060.78790431879,0.5278428107850461,0.0,0.0,-0.2766899036545154,0.4238568129297122,0.5278428107850461,1.0,1,0,fast_rise
21,speculation_change_rate,2025-11-04,78692.84692417741,0.8102430438924413,0.0,0.0,0.3994719784277493,0.5934611146568118,0.8102430438924413,1.0,1,0,fast_rise
21,speculation_change_rate,2025-11-24,91310.30934205856,-0.5286798721365293,0.0,0.0,-0.0055988413035321,-0.7522177388490116,-0.5286798721365293,0.0,0,1,fast_drop
21,speculation_change_rate,2025-12-17,108400.26703020018,1.0148604423385912,0.0,0.0,0.3274873999941869,0.7005499336147898,1.0148604423385912,1.0,1,0,fast_rise
21,speculation_change_rate,2025-12-26,130537.55436496645,-0.5082309424520768,0.0,0.0,-0.3528821748199254,-0.7097460679180535,-0.5082309424520768,0.0,0,1,fast_drop
21,speculation_change_rate,2026-01-26,166009.76492428427,0.9454095678281622,0.0,0.0,0.0106777195191791,0.6654725296215149,0.9454095678281622,1.0,1,0,fast_rise
21,speculation_change_rate,2026-02-04,147213.1328400901,-0.4995036091066367,0.0,0.0,-0.5513564731785336,-0.6921548912551324,-0.4995036091066367,0.0,0,1,fast_drop
21,speculation_change_rate,2026-03-03,151111.41966204415,1.1494694731418078,0.0,0.0,-0.1061183433578977,0.7652210550119043,1.1494694731418078,1.0,1,0,fast_rise
21,speculation_change_rate,2026-04-22,174334.01330315473,-0.4232451316559265,0.0,0.0,-1.082854532700782,-0.5503379409685397,-0.4232451316559265,0.0,0,1,fast_drop
