factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,speculation,speculation_first_diff,speculation_down_flag,speculation_down_days,speculation_down_streak
23,speculation_continuous_drop,2023-08-01,221433.656545037,4.0,0.0,0.0,0.3455711668003232,-0.4992266807533593,1.0,4.0,4
23,speculation_continuous_drop,2023-08-02,221913.28229665072,5.0,0.0,0.0,0.0777876826569847,-0.26778348414333847,1.0,5.0,5
23,speculation_continuous_drop,2023-08-03,223249.91373998765,4.0,0.0,0.0,0.278676766271454,0.20088908361446928,0.0,4.0,0
23,speculation_continuous_drop,2023-08-04,222707.8457608564,4.0,0.0,0.0,-0.1709041956432761,-0.44958096191473007,1.0,4.0,1
23,speculation_continuous_drop,2023-08-18,191523.40382269217,4.0,0.0,0.0,0.2623910774735881,-0.4001837101638331,1.0,4.0,3
23,speculation_continuous_drop,2023-08-22,194571.815011419,4.0,0.0,0.0,0.5788551278390585,-0.07174710742339074,1.0,4.0,1
23,speculation_continuous_drop,2023-08-23,196128.50058430465,4.0,0.0,0.0,0.2350757936929626,-0.34377933414609585,1.0,4.0,2
23,speculation_continuous_drop,2023-08-24,195419.81314730016,4.0,0.0,0.0,0.1654618274742042,-0.0696139662187584,1.0,4.0,3
23,speculation_continuous_drop,2023-08-25,190778.92248989124,4.0,0.0,0.0,0.1168524055146719,-0.048609421959532315,1.0,4.0,4
23,speculation_continuous_drop,2023-08-28,182823.25598746547,4.0,0.0,0.0,0.7831209555005861,0.6662685499859142,0.0,4.0,0
23,speculation_continuous_drop,2023-08-29,183944.18517804652,4.0,0.0,0.0,0.704693048634028,-0.0784279068665581,1.0,4.0,1
23,speculation_continuous_drop,2023-08-30,183383.0947994899,4.0,0.0,0.0,0.4301450479677753,-0.27454800066625273,1.0,4.0,2
23,speculation_continuous_drop,2023-09-04,187126.3395181521,4.0,0.0,0.0,0.4859046043477473,-0.14204021886362572,1.0,4.0,2
23,speculation_continuous_drop,2023-09-05,187481.0988396477,4.0,0.0,0.0,0.4685346352422799,-0.017369969105467398,1.0,4.0,3
23,speculation_continuous_drop,2023-09-06,187410.7465832597,4.0,0.0,0.0,0.0619556344017436,-0.4065790008405363,1.0,4.0,4
23,speculation_continuous_drop,2023-09-07,181934.7677695439,4.0,0.0,0.0,0.3070118385914482,0.2450562041897046,0.0,4.0,0
23,speculation_continuous_drop,2023-09-15,167419.08418504574,4.0,0.0,0.0,0.5007508365401547,-0.13164331173091748,1.0,4.0,1
23,speculation_continuous_drop,2023-09-18,164878.8172660036,4.0,0.0,0.0,0.1000864947069014,-0.40066434183325333,1.0,4.0,2
23,speculation_continuous_drop,2023-11-03,139792.89015969163,4.0,0.0,0.0,0.4972419244517814,-0.08608649326946571,1.0,4.0,3
23,speculation_continuous_drop,2023-11-06,137673.10349068398,4.0,0.0,0.0,0.4877300861672962,-0.009511838284485208,1.0,4.0,4
23,speculation_continuous_drop,2023-11-07,134064.895158069,4.0,0.0,0.0,0.725760940812266,0.23803085464496987,0.0,4.0,0
23,speculation_continuous_drop,2023-11-15,135348.50198664705,4.0,0.0,0.0,0.448852216230571,-0.31677711813529513,1.0,4.0,3
23,speculation_continuous_drop,2023-11-16,134609.8775773196,4.0,0.0,0.0,0.2319923556029504,-0.21685986062762058,1.0,4.0,4
23,speculation_continuous_drop,2023-11-17,132873.24343116445,4.0,0.0,0.0,0.3456176412901895,0.11362528568723912,0.0,4.0,0
23,speculation_continuous_drop,2023-12-20,100354.27599033044,4.0,0.0,0.0,-0.4025792893853374,-0.4104399196908441,1.0,4.0,4
23,speculation_continuous_drop,2023-12-21,97269.5430794462,4.0,0.0,0.0,0.2847148683600652,0.6872941577454026,0.0,4.0,0
23,speculation_continuous_drop,2023-12-22,100221.330413198,4.0,0.0,0.0,0.2768380592709572,-0.007876809089107983,1.0,4.0,1
23,speculation_continuous_drop,2023-12-25,102100.52780946268,4.0,0.0,0.0,-0.4344416965130948,-0.711279755784052,1.0,4.0,2
23,speculation_continuous_drop,2024-01-08,96598.67900900664,4.0,0.0,0.0,-0.3628638141522091,-0.1389915575101155,1.0,4.0,2
23,speculation_continuous_drop,2024-01-24,101961.77233558672,4.0,0.0,0.0,-1.1066766747804968,-0.27714674054257926,1.0,4.0,2
23,speculation_continuous_drop,2024-01-29,101632.47352707006,4.0,0.0,0.0,-1.053422775593723,-0.03574800404280731,1.0,4.0,2
23,speculation_continuous_drop,2024-01-30,100777.94687642498,4.0,0.0,0.0,-1.33461110304124,-0.2811883274475169,1.0,4.0,3
23,speculation_continuous_drop,2024-02-01,99478.11953502726,4.0,0.0,0.0,-1.21844453702176,-0.48919322530809406,1.0,4.0,1
