factor_id,factor_name,segment_id,trend,signal_date,signal_close,factor_value,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_mad_score,position_scale,is_reversal_window,is_effective_signal,end_date,end_close,end_signal_date,end_signal_close,reversal_start_date,reversal_end_date,days_to_trend_end
31,price_up_speculation_up,10.0,up_trend,2024-02-29,118891.28502033616,1.398226710225894,107392.67415918576,101535.1862466471,100630.07347884795,1,321349.0,292137.2,271106.4,1,0.7112597882648249,1.398226710225894,0.0,1,1,2024-03-01,119227.0197740562,2024-03-05,111502.8476740102,2024-02-27,2024-03-05,1
31,price_up_speculation_up,26.0,up_trend,2024-09-27,78405.63276464526,1.4417334295231483,77518.08959798758,77328.85841353227,76331.28894815463,1,428706.0,420460.0,412822.5,1,0.0339602537419138,1.4417334295231483,0.0,1,1,2024-09-30,81153.9695800031,2024-10-10,75780.37389367344,2024-09-25,2024-10-09,3
31,price_up_speculation_up,27.0,down_trend,2024-09-30,81153.9695800031,2.380960865438356,78554.89092656407,77666.90730510053,76507.20709968034,1,439908.0,428469.4,415495.9,1,0.1957310388502066,2.380960865438356,0.0,1,1,2024-10-17,71155.55012631086,2024-10-23,74712.96420826833,2024-10-14,2024-10-21,17
31,price_up_speculation_up,27.0,down_trend,2024-10-08,78417.5237747879,3.2221851935930874,78685.83826424286,77671.99648902331,76444.56523135482,1,444168.0,433521.6,419267.1,1,0.3406219511191629,3.2221851935930874,0.0,1,1,2024-10-17,71155.55012631086,2024-10-23,74712.96420826833,2024-10-14,2024-10-21,9
31,price_up_speculation_up,28.0,up_trend,2024-11-12,81585.02886396984,1.2316811180106042,78754.49015457802,77545.99367049077,75653.86421063101,1,466845.0,417070.8,409960.9,1,0.2296406229541261,1.2316811180106042,0.0,1,1,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,1
31,price_up_speculation_up,28.0,up_trend,2024-11-13,86234.36081249446,1.9961548846145112,80718.43062613001,78774.03944048329,76282.71118795502,1,518502.0,443712.6,419877.9,1,0.455269096620352,1.9961548846145112,0.0,1,1,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,0
31,price_up_speculation_up,30.0,up_trend,2025-01-15,79763.03859380224,3.366786685372854,78343.26572411155,77651.2983884335,77077.0688661417,1,409729.0,372623.0,365429.4,1,-0.0753747140775239,3.366786685372854,0.0,1,1,2025-01-20,80380.96737600217,2025-02-06,77450.23287346536,2025-01-15,2025-01-22,5
31,price_up_speculation_up,31.0,down_trend,2025-01-21,78269.97830043916,1.5246100841418375,79638.20625290225,78682.22296173555,77753.57973747414,1,405999.0,409353.4,386019.0,1,-0.1036873089499689,1.5246100841418375,0.0,1,1,2025-05-29,59083.59433364111,2025-06-11,61764.79946001634,2025-05-26,2025-06-03,128
31,price_up_speculation_up,34.0,up_trend,2025-07-14,66395.69311537778,7.550998085431465,64603.07095029298,64059.25963104052,62386.36788668004,1,635053.0,602541.0,598210.8,1,0.661180493443924,7.550998085431465,0.0,0,0,2025-07-22,72385.3095290136,2025-07-23,69036.84822482467,2025-07-17,2025-07-24,8
31,price_up_speculation_up,34.0,up_trend,2025-07-15,66527.51669513399,2.552707791887684,65137.981506760094,64438.419322228656,62715.21126621678,1,622936.0,607185.4,601264.9,1,0.3968213022006025,2.552707791887684,0.0,0,0,2025-07-22,72385.3095290136,2025-07-23,69036.84822482467,2025-07-17,2025-07-24,7
