factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,ret_5,close_rank_20,close_rank_60,oi_change_5,oi_change_5_rate,oi_change_5_rate_median_past,oi_change_5_rate_mad_past,oi_change_5_rate_mad_score,oi_change_5_rate_mad_abs_score,log_volume,log_volume_median_past,log_volume_mad_past,volume_mad_score,price_volume_oi_score
11,price_volume_up_oi_down,2018-05-22,52234.775370248375,3.9399145144444327,2.0,2.0,0.009919176165535504,0.020045155859441888,1.0,0.9,3762.0,0.010478087094572952,-0.04571769337661287,0.02541607213535384,1.4913214932082413,1.4913214932082413,12.211776348446852,11.918201694385502,0.1386116602594436,1.4285478653767498,3.9399145144444327
11,price_volume_up_oi_down,2018-06-04,52509.9674946984,3.6293591064870627,2.0,2.0,0.006488765052755641,0.011489038009220964,1.0,1.0,1268.0,0.0035413257070083617,-0.007702603595713467,0.005094847733748968,1.488548198143982,1.488548198143982,12.36071891681741,11.898171604447809,0.27625772262874637,1.1293218703338597,3.6293591064870627
11,price_volume_up_oi_down,2018-06-05,53208.06698204494,5.70786259670385,2.0,2.0,0.013294609017174164,0.03090844800509185,1.0,1.0,7224.0,0.01980176308056664,-0.007702603595713467,0.005094847733748968,3.641216015753263,3.641216015753263,12.430015877014949,11.898171604447809,0.3463462779981148,1.0357381329454955,5.70786259670385
11,price_volume_up_oi_down,2018-06-06,53995.96548052178,9.347899658016168,2.0,2.0,0.014807876759415306,0.043170870063804934,1.0,1.0,29701.0,0.0840328764022691,-0.007702603595713467,0.008536154299133555,7.248549100873289,7.248549100873289,12.586958134663947,12.056803260347756,0.3385641365684231,1.0561796870790738,9.347899658016168
11,price_volume_up_oi_down,2019-01-30,48162.91027259391,3.821749263581677,2.0,2.0,0.009367473327594356,0.018466832461409677,1.0,0.45,-3991.0,-0.013433142264751717,0.03271889597362438,0.018304326068850532,-1.7006429630109252,1.7006429630109252,11.952392564154312,11.796949246767621,0.09508555083625048,1.102639468109342,3.821749263581677
11,price_volume_up_oi_down,2019-02-18,49296.03879990264,5.6268738431675365,2.0,2.0,0.015560342336631283,0.02817276046451811,1.0,0.8666666666666667,22835.0,0.0778007945323094,-0.00015216094554279871,0.01908404831283638,2.755104539662996,2.755104539662996,12.223042833883246,11.841889955462083,0.13944704735549962,1.8435965430400227,5.6268738431675365
11,price_volume_up_oi_down,2019-02-19,49605.94265361523,4.933407562498111,2.0,2.0,0.006286587345699646,0.030127530691333115,1.0,0.95,25108.0,0.0841618342104381,-0.00015216094554279871,0.021506297700986523,2.644295704270444,2.644295704270444,12.205722584265878,11.879898153832752,0.17455782628213612,1.2589843275363337,4.933407562498111
11,price_volume_up_oi_down,2019-04-09,49551.97047897229,5.304596999755573,2.0,2.0,0.0028462612880659766,0.005575820195575121,0.9,0.7333333333333333,4719.0,0.017012455612235702,-0.05286922034701455,0.0235177306358334,2.0042131368782,2.0042131368782,12.265369327200721,11.791454365965972,0.13347677827696547,2.3948080426817975,5.304596999755573
11,price_volume_up_oi_down,2019-06-18,46898.584279217794,4.085373435855226,2.0,2.0,0.011865430300348034,0.011251004525158814,0.8,0.2833333333333333,-5557.0,-0.01812471053301065,-0.005285499193438785,0.007213124286036136,-1.2005795357586297,1.2005795357586297,12.133211587962935,11.700353566690234,0.14080187882098372,2.073542895571438,4.085373435855226
11,price_volume_up_oi_down,2019-06-20,46869.23094556647,4.424078290465561,2.0,2.0,0.0034121827628277313,0.014646470399414468,0.8,0.3,-11705.0,-0.03796109514759585,-0.009363347533126964,0.007404454883562846,-2.6050420739095204,2.6050420739095204,11.975054420195935,11.746889387618317,0.15322259779880643,1.0043897461566258,4.424078290465561
