factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,is_down_day,price_down_ratio,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score
32,price_down_speculation_up,2023-08-15,189680.8139697453,2.4530552391920497,0.0,0.0,-0.020462478732256484,1,0.7,0.8881893576869988,0.34601550102494216,0.149075834291908,2.4530552391920497
32,price_down_speculation_up,2023-12-11,97124.60930398648,2.2644048263378345,0.0,0.0,0.01880456317596413,0,0.7,1.474114423933736,1.1245549729880717,0.10412211491809431,2.2644048263378345
32,price_down_speculation_up,2024-06-12,100810.13358861522,2.7298238903896963,0.0,0.0,0.01828838153715484,0,0.6,-0.3243611740522253,-0.78309683556247,0.11334539411809152,2.7298238903896963
32,price_down_speculation_up,2024-09-25,77032.46679007604,2.8601082867756973,0.0,0.0,-0.009391642502556752,1,0.6,0.1639430601809544,-0.2364711348615772,0.09442847872797976,2.8601082867756973
32,price_down_speculation_up,2024-10-08,78417.5237747879,3.2221851935930874,0.0,0.0,-0.03371918612702696,1,0.6,0.3406219511191629,-0.2143612282467012,0.11617303278823149,3.2221851935930874
32,price_down_speculation_up,2024-12-30,77402.32441373424,4.766744312634739,0.0,0.0,0.021037408420387482,0,0.7,-0.0481767408481124,-0.7521813377989142,0.09961612457595465,4.766744312634739
32,price_down_speculation_up,2025-01-06,77081.17974621737,2.931417617911999,0.0,0.0,0.017066280381053733,0,0.6,0.0579550825931468,-0.6698796054117324,0.16746770179866666,2.931417617911999
32,price_down_speculation_up,2025-03-20,73571.8434436724,2.0146330087442412,0.0,0.0,-0.02516533403721466,1,0.7,-0.3003751208846147,-1.1359361418268197,0.2797423576189081,2.0146330087442412
32,price_down_speculation_up,2025-04-08,70668.94100891167,3.3808177558211905,0.0,0.0,-0.010281136409136749,1,0.6,-0.5091519446380757,-1.0830610210623128,0.11449785134353985,3.3808177558211905
32,price_down_speculation_up,2025-04-09,70332.91160630052,3.3701606169810447,0.0,0.0,-0.004754980021120958,1,0.7,-0.4816621020059458,-1.0269757612219261,0.10913694210952896,3.3701606169810447
32,price_down_speculation_up,2025-05-08,64672.97073347205,2.03945269991962,0.0,0.0,0.0009543864039889272,0,0.8,-0.1230862355859813,-0.7702440731568678,0.21402898011816918,2.03945269991962
32,price_down_speculation_up,2025-05-27,61134.173435815785,3.0548697802971865,0.0,0.0,0.007580315968916951,0,0.6,-0.0315598625094781,-0.5334703421225159,0.11081781055442108,3.0548697802971865
