factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_rank_10,log_open_interest,delta_log_open_interest,oi_change_rate,log_open_interest_median_past,log_open_interest_mad_past,log_open_interest_mad_score
13,price_up_oi_down,2018-06-08,54584.930191550826,2.6689293146748425,2.0,2.0,-0.0010579034527725684,53788.33341608713,52838.951031310964,52249.417577887056,1,393577.0,0.9,12.883032007493497,-0.0038976023455372655,-0.3890016552184128,12.790217798422542,0.02345597016019685,2.6689293146748425
13,price_up_oi_down,2018-08-10,49801.88523911827,3.781127948525444,2.0,2.0,-0.0024084283711529597,49637.382338246025,49628.658229862674,49622.60740695547,1,302089.0,0.9,12.618476954927662,-0.008720870531796265,-0.8682954042035229,12.578158008717608,0.007192233909611545,3.781127948525444
13,price_up_oi_down,2019-02-21,49632.82617028267,2.8514876441194335,2.0,2.0,-0.004163569576645099,49383.17519298692,48810.96370268208,48273.89079715159,1,328724.0,0.9,12.702973771894062,-0.007836000061544723,-0.7805378648395922,12.59854323960139,0.024701993425069624,2.8514876441194335
13,price_up_oi_down,2019-02-25,50095.03040165957,0.6625706735040108,2.0,2.0,-0.0018516312599770046,49980.40763989644,49408.15690926139,48695.91385890743,1,335508.0,0.8,12.723401080117037,-0.0025867536395693946,-0.2583410875297232,12.675669372718326,0.04859043247984829,0.6625706735040108
13,price_up_oi_down,2019-02-27,50225.02693417778,1.2586260215891003,2.0,2.0,0.0020062430827854083,50155.67282861458,49769.42401080075,48936.28007453891,1,342316.0,0.9,12.743489566049304,-0.007323054840622234,-0.7296306607275205,12.706891771924834,0.019612556494077893,1.2586260215891003
13,price_up_oi_down,2019-02-28,50298.18135638536,0.3207745350803864,2.0,2.0,0.0014565332598714953,50186.132752466954,49945.16930164103,49076.50271633455,1,336630.0,0.8,12.726739683327022,-0.01674988272228184,-1.6610383388447558,12.717105426036323,0.020257897077621045,0.3207745350803864
13,price_up_oi_down,2019-12-12,48941.76082519436,3.0745395287996486,2.0,2.0,-0.0036918850834971595,48684.30034690762,48009.55557402911,47601.54637293462,1,310133.0,0.9,12.64475651671137,-0.02570716187251776,-2.537954614734328,12.497525006804382,0.0322995661638954,3.0745395287996486
13,price_up_oi_down,2019-12-27,49390.50593409685,2.0102002719836594,2.0,2.0,-0.008717025543618084,49557.582620032415,49355.3259758356,48951.838395983425,1,327177.0,0.8,12.698256587841499,-0.01629492998619675,-1.61628858043259,12.64586431556871,0.017579394454936725,2.0102002719836594
13,price_up_oi_down,2020-05-09,43421.46642791113,2.0603071962222543,2.0,2.0,-6.058409070963666e-05,43097.91039616937,42628.860567124466,42142.39652682402,1,344006.0,0.9,12.748414378063893,-0.0003516762057529377,-0.035161437492448044,12.70605062656702,0.013868785670606343,2.0603071962222543
13,price_up_oi_down,2020-05-12,42975.8279561231,1.035501930242668,2.0,2.0,-0.0035851706545377837,43210.31094101393,42874.50851673705,42322.33813572419,1,347609.0,0.9,12.758833563867876,-0.004775566487397853,-0.4764181600065531,12.720969658614306,0.024663260844474344,1.035501930242668
