factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,ret_3,ret_5,close_rank_20,close_rank_60,oi_ret_3,volume_mad_score,close_location,volume_to_open_interest,price_efficiency_5,price_efficiency_low_rank_20,push_failure_score
45,uptrend_push_failure,2024-03-04,117242.80186002524,3.213995751161774,0.0,0.0,0.08704349566679714,0.14735598349447376,0.9,0.9666666666666667,0.07076890275034842,1.2514331868077908,0.22380813907809038,2.2914312736443883,0.06430739825773288,0.5,3.213995751161774
45,uptrend_push_failure,2024-03-06,113936.33605473912,2.344813438698682,0.0,0.0,-0.04437487181465494,0.056386840501116975,0.85,0.95,0.022081686106435683,0.548609873051719,0.8077708280493094,1.6810356892932121,0.033542916941177316,0.75,2.344813438698682
45,uptrend_push_failure,2024-09-27,78405.63276464526,3.60792707266629,0.0,0.0,0.0082667520331694,0.02568260809102374,0.85,0.48333333333333334,0.023122431061795012,2.1954990625603696,0.30572356080202284,1.0345434866785164,0.024825063829341562,0.75,3.60792707266629
45,uptrend_push_failure,2024-10-08,78417.5237747879,4.776329749594014,0.0,0.0,-2.645559217540061e-05,0.008419665921523656,0.8,0.5,0.04326464910045402,4.650869701657071,0.018827832916312855,1.4058216710794114,0.005989142218201052,1.0,4.776329749594014
45,uptrend_push_failure,2024-11-12,81585.02886396984,5.505901221701626,0.0,0.0,0.05440602320590138,0.048631051582264107,1.0,1.0,0.17778858243944917,1.572052485098945,0.4000842032960423,1.2581477792415041,0.0386528930739616,0.5,5.505901221701626
45,uptrend_push_failure,2024-11-14,81229.98394945613,7.078389133695018,0.0,0.0,-0.00260080366229154,0.04981741789945393,0.85,0.95,0.08019879520692363,2.847756221973903,0.07467983420669573,2.129077042610616,0.023398598032116854,0.7,7.078389133695018
45,uptrend_push_failure,2024-11-15,78861.7496137252,5.132512704058801,0.0,0.0,-0.03337964438040808,0.024769189065287245,0.8,0.8833333333333333,0.01469512442969112,1.1671091526046746,0.13774678424828513,1.3677420444279333,0.018109547166583678,0.85,5.132512704058801
45,uptrend_push_failure,2025-01-21,78269.97830043916,3.488536751959075,0.0,0.0,-0.014819869896112614,-0.004556975690185205,0.75,0.5833333333333334,0.011599057846446215,1.734583984668011,0.2975048918309624,0.9015071465693265,0.0050548414480425545,1.0,3.488536751959075
45,uptrend_push_failure,2025-07-23,69036.84822482467,3.3862268460357408,0.0,0.0,-0.0052885201592658415,0.041795486502258505,0.85,0.95,0.04518844651623688,1.0428108646173866,0.19655371260935367,2.5857615664128497,0.016163704745693216,0.8,3.3862268460357408
45,uptrend_push_failure,2025-07-28,71941.51540366371,3.8699607272844334,0.0,0.0,0.04207415682389981,0.01596538135932879,0.85,0.95,0.14651286502930638,0.5622280992937446,0.0007370244314491573,2.029293073161468,0.007867459644188342,0.9,3.8699607272844334
45,uptrend_push_failure,2025-10-30,83298.19290610154,2.8256325391944834,0.0,0.0,0.018688899350290056,0.04488131178810195,1.0,0.9166666666666666,0.05672477513060059,1.2449494408040667,0.4342151860211081,1.1360720979680545,0.039505689707876254,0.4,2.8256325391944834
45,uptrend_push_failure,2025-10-31,80702.71595711434,3.153431514904282,0.0,0.0,-0.009400164607398676,0.016419764665998926,0.8,0.8,0.02347134553217778,1.3595704924294005,0.12096901155129466,1.2672450888469151,0.012957055277238842,0.8,3.153431514904282
45,uptrend_push_failure,2025-11-12,86625.2703334333,3.3453991948763537,0.0,0.0,0.050919883132070964,0.0938583003874911,0.95,0.95,0.0982810757937429,1.061363813598599,0.43375786881248285,1.4085093914844296,0.0666366166636445,0.4,3.3453991948763537
45,uptrend_push_failure,2026-04-21,173314.40311129903,3.3967249006846365,0.0,0.0,-0.008545095112439283,0.04578875241174529,0.85,0.8833333333333333,0.004880248622479044,1.2485075327025876,0.40842774782039465,0.5871255536020297,0.07798800806885371,0.65,3.3967249006846365
