factor_id,factor_name,signal_date,signal_close,factor_value,position,position_scale,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score
12,price_up_speculation_up,2018-09-25,50480.16108920353,1.8042710478240327,0.0,0.0,0.017857114861974388,49623.544720262595,49015.40878003232,48380.7680403254,1,315974.0,319118.0,317381.1,1,-0.1510828801549742,-0.5102683996203474,0.13427434536964641,1.8042710478240327
12,price_up_speculation_up,2019-01-30,48162.91027259391,1.3383440847130286,0.0,0.0,0.009367473327594356,47782.94780692375,47674.03383488621,47480.3448655833,1,293110.0,297153.6,292878.7,1,-0.635910680011111,-0.7859559603384063,0.07561893554797894,1.3383440847130286
12,price_up_speculation_up,2019-01-31,48204.0586515672,1.0034847842412535,0.0,0.0,0.0008543582341764555,47878.14208708293,47686.22523351344,47523.78130749416,1,292814.0,295430.4,293875.5,1,-0.6734526381543062,-0.7859559603384063,0.07561893554797894,1.0034847842412535
12,price_up_speculation_up,2019-02-18,49296.03879990264,1.6032349458908621,0.0,0.0,0.015560342336631283,48545.747044879805,48365.84675630262,48013.42981642669,1,316341.0,301392.6,296419.8,1,-0.4415331907849548,-0.7541919566830724,0.1315374574431904,1.6032349458908621
12,price_up_speculation_up,2019-02-25,50095.03040165957,1.2743472954162467,0.0,0.0,-0.0018516312599770046,49980.40763989644,49408.15690926139,48695.91385890743,1,335508.0,333630.6,320022.4,1,-0.2762585248725324,-0.6710805865951361,0.20897272919745982,1.2743472954162467
12,price_up_speculation_up,2019-03-04,49632.75050999234,2.220819014474331,0.0,0.0,-0.01096132286025342,50138.96196678642,50088.097321311,49380.93771993709,1,342162.0,338285.0,337310.0,1,-0.1761854420906201,-0.6301780501060721,0.13788328404063374,2.220819014474331
12,price_up_speculation_up,2019-07-01,46685.101285514895,1.1938289443313397,0.0,0.0,-0.007815454806482491,46987.17542902303,46981.74545224252,46710.977945173276,1,300191.0,299302.0,297691.0,1,-0.4688496970425415,-0.8355341893026109,0.20716979835876315,1.1938289443313397
12,price_up_speculation_up,2019-09-04,46971.59879331654,1.5737590311751126,0.0,0.0,0.01520035575742762,46566.69721548159,46528.70111486477,46483.35047002041,1,321211.0,316203.4,316116.2,1,-0.4642117914498146,-0.8851482040644413,0.1804073654292122,1.5737590311751126
12,price_up_speculation_up,2019-09-05,47583.46925035107,1.9391419902540934,0.0,0.0,0.013026391963511186,46755.08387636945,46676.94549975859,46520.061589085846,1,311906.0,316878.0,314989.7,1,-0.2163131042651019,-0.8851482040644413,0.23264056819678297,1.9391419902540934
12,price_up_speculation_up,2019-12-06,47841.37806608853,1.9778608567595677,0.0,0.0,0.011531631203672177,47334.81080115059,47319.271616057435,47153.98129572489,1,274087.0,263252.0,262841.5,1,-0.6017841401368542,-0.9059706193887429,0.103733773137068,1.9778608567595677
