factor_id,factor_name,segment_id,trend,signal_date,signal_close,factor_value,speculation,speculation_rank_history,speculation_rank_in_trend,position_scale,is_reversal_window,is_effective_signal,end_date,end_close,end_signal_date,end_signal_close,reversal_start_date,reversal_end_date,days_to_trend_end
11,high_speculation,2.0,down_trend,2023-08-15,189680.8139697453,1.0,0.8881893576869988,1.0,1.0,0.5,0,0,2023-09-27,140785.90414311024,2023-10-11,148356.2540127733,2023-09-22,2023-10-09,43
11,high_speculation,2.0,down_trend,2023-09-20,152200.22593190565,0.9411764705882353,0.7965058156421968,1.0,0.9411764705882353,0.5,0,0,2023-09-27,140785.90414311024,2023-10-11,148356.2540127733,2023-09-22,2023-10-09,7
11,high_speculation,2.0,down_trend,2023-09-21,157066.76293912297,1.0,0.892920667367586,1.0,1.0,0.5,0,0,2023-09-27,140785.90414311024,2023-10-11,148356.2540127733,2023-09-22,2023-10-09,6
11,high_speculation,2.0,down_trend,2023-09-22,152456.84817710766,1.0,1.0355193138275331,1.0,1.0,0.5,1,1,2023-09-27,140785.90414311024,2023-10-11,148356.2540127733,2023-09-22,2023-10-09,5
11,high_speculation,4.0,down_trend,2023-11-08,135846.2033121477,0.8888888888888888,1.1901756336576224,1.0,0.8888888888888888,0.5,0,0,2023-12-05,91488.87545841128,2023-12-07,95331.93392971825,2023-11-30,2023-12-07,27
11,high_speculation,4.0,down_trend,2023-11-23,119365.8717677746,0.8275862068965517,1.1309693996026733,1.0,0.8275862068965517,0.5,0,0,2023-12-05,91488.87545841128,2023-12-07,95331.93392971825,2023-11-30,2023-12-07,12
11,high_speculation,4.0,down_trend,2023-11-24,119482.67885226436,0.9333333333333333,1.201514075941524,1.0,0.9333333333333333,0.5,0,0,2023-12-05,91488.87545841128,2023-12-07,95331.93392971825,2023-11-30,2023-12-07,11
11,high_speculation,4.0,down_trend,2023-11-29,110509.74250070576,0.9393939393939394,1.2200290611416147,1.0,0.9393939393939394,0.5,0,0,2023-12-05,91488.87545841128,2023-12-07,95331.93392971825,2023-11-30,2023-12-07,6
11,high_speculation,4.0,down_trend,2023-12-01,103008.64174088642,0.9714285714285714,1.2373251146707174,1.0,0.9714285714285714,0.5,1,1,2023-12-05,91488.87545841128,2023-12-07,95331.93392971825,2023-11-30,2023-12-07,4
11,high_speculation,5.0,up_trend,2023-12-11,97124.60930398648,1.0,1.474114423933736,1.0,1.0,0.5,1,1,2023-12-13,105012.27001922044,2023-12-20,100354.27599033044,2023-12-07,2023-12-15,2
11,high_speculation,9.0,down_trend,2024-02-06,97201.50715948458,0.8888888888888888,-0.5379642555442696,1.0,0.8888888888888888,0.5,0,0,2024-02-20,92872.2501205509,2024-02-21,96882.24540344122,2024-02-07,2024-02-22,14
11,high_speculation,10.0,up_trend,2024-02-28,107854.74760428791,1.0,0.3579582624141482,1.0,1.0,0.5,1,1,2024-03-01,119227.0197740562,2024-03-05,111502.8476740102,2024-02-27,2024-03-05,2
11,high_speculation,10.0,up_trend,2024-02-29,118891.28502033616,1.0,0.7112597882648249,1.0,1.0,0.5,1,1,2024-03-01,119227.0197740562,2024-03-05,111502.8476740102,2024-02-27,2024-03-05,1
11,high_speculation,19.0,down_trend,2024-06-12,100810.13358861522,1.0,-0.3243611740522253,1.0,1.0,0.5,0,0,2024-06-24,91948.8888557649,2024-06-26,96328.86233091856,2024-06-19,2024-06-26,12
11,high_speculation,20.0,down_trend,2024-07-19,89977.9163766626,0.8823529411764706,-0.1714490542709461,1.0,0.8823529411764706,0.5,0,0,2024-08-15,73109.08419046688,2024-08-21,78538.71756378718,2024-08-12,2024-08-19,27
11,high_speculation,20.0,down_trend,2024-08-13,77594.22204229198,0.8529411764705882,-0.2870357877816833,1.0,0.8529411764705882,0.5,1,1,2024-08-15,73109.08419046688,2024-08-21,78538.71756378718,2024-08-12,2024-08-19,2
11,high_speculation,20.0,down_trend,2024-08-14,74068.38924703021,0.9142857142857143,-0.2629622025888128,1.0,0.9142857142857143,0.5,1,1,2024-08-15,73109.08419046688,2024-08-21,78538.71756378718,2024-08-12,2024-08-19,1
11,high_speculation,21.0,up_trend,2024-08-21,78538.71756378718,1.0,0.0983043160887171,1.0,1.0,0.5,1,1,2024-08-21,78538.71756378718,2024-08-23,74170.68976556571,2024-08-16,2024-08-23,0
11,high_speculation,28.0,up_trend,2024-11-01,76922.33542754776,1.0,0.1987275890706726,1.0,1.0,0.5,0,0,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,12
11,high_speculation,28.0,up_trend,2024-11-12,81585.02886396984,1.0,0.2296406229541261,1.0,1.0,0.5,1,1,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,1
11,high_speculation,28.0,up_trend,2024-11-13,86234.36081249446,1.0,0.455269096620352,1.0,1.0,0.5,1,1,2024-11-13,86234.36081249446,2024-11-14,81229.98394945613,2024-11-08,2024-11-15,0
11,high_speculation,30.0,up_trend,2024-12-30,77402.32441373424,1.0,-0.0481767408481124,1.0,1.0,0.5,0,0,2025-01-20,80380.96737600217,2025-02-06,77450.23287346536,2025-01-15,2025-01-22,21
11,high_speculation,30.0,up_trend,2025-01-06,77081.17974621737,1.0,0.0579550825931468,1.0,1.0,0.5,0,0,2025-01-20,80380.96737600217,2025-02-06,77450.23287346536,2025-01-15,2025-01-22,14
11,high_speculation,31.0,down_trend,2025-02-26,76178.82043329345,0.7619047619047619,-0.7683115507478833,1.0,0.7619047619047619,0.5,0,0,2025-05-29,59083.59433364111,2025-06-11,61764.79946001634,2025-05-26,2025-06-03,92
11,high_speculation,31.0,down_trend,2025-03-06,77013.02660503009,0.8518518518518519,-0.7272059201552226,1.0,0.8518518518518519,0.5,0,0,2025-05-29,59083.59433364111,2025-06-11,61764.79946001634,2025-05-26,2025-06-03,84
11,high_speculation,31.0,down_trend,2025-03-07,76397.8622895749,0.8928571428571429,-0.643634622676949,1.0,0.8928571428571429,0.5,0,0,2025-05-29,59083.59433364111,2025-06-11,61764.79946001634,2025-05-26,2025-06-03,83
11,high_speculation,31.0,down_trend,2025-03-20,73571.8434436724,0.972972972972973,-0.3003751208846147,1.0,0.972972972972973,0.5,0,0,2025-05-29,59083.59433364111,2025-06-11,61764.79946001634,2025-05-26,2025-06-03,70
11,high_speculation,31.0,down_trend,2025-04-07,71403.0454593066,0.9375,-0.411598364356919,1.0,0.9375,0.5,0,0,2025-05-29,59083.59433364111,2025-06-11,61764.79946001634,2025-05-26,2025-06-03,52
11,high_speculation,31.0,down_trend,2025-04-21,69349.62691828462,0.9827586206896551,-0.2624508841821059,1.0,0.9827586206896551,0.5,0,0,2025-05-29,59083.59433364111,2025-06-11,61764.79946001634,2025-05-26,2025-06-03,38
