factor_id,factor_name,lookahead_days,confidence_level,threshold,strategy_win_rate,baseline_win_rate,win_rate_diff,strategy_observation_max_drawdown
11,price_up_volume_oi_surge,3,low,0.011201151498794762,0.5416666666666666,0.31287392635008393,0.2287927403165827,0.18540073722564068
11,price_up_volume_oi_surge,3,medium,0.012942909743889456,0.4890829694323144,0.31287392635008393,0.17620904308223045,0.29516774511083976
11,price_up_volume_oi_surge,3,high,0.013669709973849382,0.49700598802395207,0.31287392635008393,0.18413206167386814,0.11940473539229567
11,price_up_volume_oi_surge,5,low,0.011201151498794762,0.5729166666666666,0.3534080575653343,0.21950860910133235,0.23729163563412634
11,price_up_volume_oi_surge,5,medium,0.012942909743889456,0.5458515283842795,0.3534080575653343,0.19244347081894525,0.29516774511083976
11,price_up_volume_oi_surge,5,high,0.013669709973849382,0.46107784431137727,0.3534080575653343,0.107669786746043,0.1885349107597763
11,price_up_volume_oi_surge,10,low,0.01121393264728974,0.6,0.3953031910148002,0.20469680898519976,0.4233693403998165
11,price_up_volume_oi_surge,10,medium,0.012942909743889456,0.6026200873362445,0.3953031910148002,0.2073168963214443,0.3560971856735657
11,price_up_volume_oi_surge,10,high,0.013669709973849382,0.5089820359281437,0.3953031910148002,0.11367884491334351,0.2022849489002222
12,price_up_speculation_up,3,low,0.010666573893671599,0.43037974683544306,0.31287392635008393,0.11750582048535912,0.07766781033645737
12,price_up_speculation_up,3,medium,0.012258723605920967,0.4398496240601504,0.31287392635008393,0.12697569771006645,0.29516774511083976
12,price_up_speculation_up,3,high,0.013705339827873702,0.37662337662337664,0.31287392635008393,0.06374945027329271,0.11940473539229567
12,price_up_speculation_up,5,low,0.010666573893671599,0.4936708860759494,0.3534080575653343,0.1402628285106151,0.07766781033645737
12,price_up_speculation_up,5,medium,0.012258723605920967,0.4774436090225564,0.3534080575653343,0.12403555145722212,0.29516774511083976
12,price_up_speculation_up,5,high,0.013705339827873702,0.44155844155844154,0.3534080575653343,0.08815038399310726,0.1885349107597763
12,price_up_speculation_up,10,low,0.010678611248493161,0.5159235668789809,0.3953031910148002,0.12062037586418067,0.13565880868171581
12,price_up_speculation_up,10,medium,0.0122598542064643,0.5509433962264151,0.3953031910148002,0.15564020521161487,0.3560971856735657
12,price_up_speculation_up,10,high,0.013705339827873702,0.4805194805194805,0.3953031910148002,0.0852162895046803,0.2022849489002222
13,price_up_oi_down,3,low,0.01115054413776973,0.3855421686746988,0.31287392635008393,0.07266824232461488,0.1230066164215938
13,price_up_oi_down,3,medium,0.012016978765126566,0.41947565543071164,0.31287392635008393,0.1066017290806277,0.13361984507036104
13,price_up_oi_down,3,high,0.0131893626326261,0.44623655913978494,0.31287392635008393,0.133362632789701,0.157439594988893
13,price_up_oi_down,5,low,0.011054838138392349,0.45454545454545453,0.3534080575653343,0.10113739698012025,0.2688689957539242
13,price_up_oi_down,5,medium,0.012016978765126566,0.45318352059925093,0.3534080575653343,0.09977546303391666,0.13361984507036104
13,price_up_oi_down,5,high,0.013193967370481443,0.43243243243243246,0.3534080575653343,0.07902437486709818,0.157439594988893
13,price_up_oi_down,10,low,0.011114694036358633,0.49693251533742333,0.3953031910148002,0.10162932432262312,0.3320718397749924
13,price_up_oi_down,10,medium,0.01203186253950808,0.4924812030075188,0.3953031910148002,0.09717801199271858,0.21661885801704478
13,price_up_oi_down,10,high,0.013193967370481443,0.5027027027027027,0.3953031910148002,0.10739951168790246,0.157439594988893
14,uptrend_crowded_chase,3,low,0.011354558470377297,0.5149700598802395,0.31287392635008393,0.20209613353015554,0.09494109613195412
14,uptrend_crowded_chase,3,medium,0.012266484028462947,0.5,0.31287392635008393,0.18712607364991607,0.13961760398527484
14,uptrend_crowded_chase,3,high,0.013311402659895234,0.4794520547945205,0.31287392635008393,0.1665781284444366,0.10498533195706254
14,uptrend_crowded_chase,5,low,0.011354558470377297,0.5568862275449101,0.3534080575653343,0.20347816997957585,0.2688689957539242
14,uptrend_crowded_chase,5,medium,0.012266484028462947,0.5486725663716814,0.3534080575653343,0.1952645088063471,0.19288710397645487
14,uptrend_crowded_chase,5,high,0.013311402659895234,0.4657534246575342,0.3534080575653343,0.11234536709219994,0.13484229584085167
14,uptrend_crowded_chase,10,low,0.011401315033109257,0.5792682926829268,0.3953031910148002,0.18396510166812657,0.3320718397749924
14,uptrend_crowded_chase,10,medium,0.012213033039926472,0.5955555555555555,0.3953031910148002,0.2002523645407553,0.24777384336439254
14,uptrend_crowded_chase,10,high,0.013311402659895234,0.5342465753424658,0.3953031910148002,0.13894338432766556,0.18574156333883107
