factor_id,factor_name,lookahead_days,confidence_level,threshold,strategy_win_rate,baseline_win_rate,win_rate_diff,strategy_observation_max_drawdown
ALL_FACTORS,all_factors,3,low,0.01110269598007539,0.47144948755490484,0.31287392635008393,0.15857556120482091,0.18540073722564068
ALL_FACTORS,all_factors,3,medium,0.012353750537699474,0.45951417004048584,0.31287392635008393,0.1466402436904019,0.29516774511083976
ALL_FACTORS,all_factors,3,high,0.013486933292992918,0.44246575342465755,0.31287392635008393,0.12959182707457362,0.157439594988893
ALL_FACTORS,all_factors,5,low,0.011079471144217675,0.5219941348973607,0.3534080575653343,0.1685860773320264,0.2688689957539242
ALL_FACTORS,all_factors,5,medium,0.012353750537699474,0.5030364372469636,0.3534080575653343,0.1496283796816293,0.29516774511083976
ALL_FACTORS,all_factors,5,high,0.013488510038073309,0.448559670781893,0.3534080575653343,0.09515161321655874,0.1885349107597763
ALL_FACTORS,all_factors,10,low,0.011110830804680791,0.5504451038575667,0.3953031910148002,0.15514191284276652,0.4233693403998165
ALL_FACTORS,all_factors,10,medium,0.012346391437113025,0.5573604060913706,0.3953031910148002,0.1620572150765704,0.3560971856735657
ALL_FACTORS,all_factors,10,high,0.013488510038073309,0.5034293552812071,0.3953031910148002,0.10812616426640692,0.2022849489002222
