date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type,signal,position,position_scale
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,21,speculation_change_rate,,,,,0,0,none,0,1.0,1.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,21,speculation_change_rate,-0.49172312315095934,-0.6767289467128816,-0.49172312315095934,,0,0,none,0,1.0,1.0
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,21,speculation_change_rate,0.20167517598687734,0.1837165633088158,0.20167517598687734,,0,0,none,0,1.0,1.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,21,speculation_change_rate,0.5328378396276596,0.42712081453443385,0.5328378396276596,,0,0,none,0,1.0,1.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,21,speculation_change_rate,-0.5720061192565645,-0.8486463808309699,-0.5720061192565645,,0,0,none,0,1.0,1.0
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,21,speculation_change_rate,-0.03855120357719699,-0.0393139692217781,-0.03855120357719699,,0,0,none,0,1.0,1.0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,21,speculation_change_rate,-0.25357351878837586,-0.29245815149900645,-0.25357351878837586,,0,0,none,0,1.0,1.0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,21,speculation_change_rate,-0.393000117048236,-0.4992266807533593,-0.393000117048236,,0,0,none,0,1.0,1.0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,21,speculation_change_rate,-0.23492658630324903,-0.26778348414333847,-0.23492658630324903,,0,0,none,0,1.0,1.0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,21,speculation_change_rate,0.22248917022313486,0.20088908361446928,0.22248917022313486,,0,0,none,0,1.0,1.0
2023-08-04,224539.9914795204,222707.8457608564,226063.2341306068,222392.58829134653,13859.0,3167882600.0,16442.0,-0.1709041956432761,21,speculation_change_rate,-0.36210460190914306,-0.44958096191473007,-0.36210460190914306,,0,0,none,0,1.0,1.0
2023-08-07,221536.71889177908,213933.16142895515,222592.38278895983,213691.6035455278,33521.0,7419631950.0,18615.0,0.5882044007797698,21,speculation_change_rate,1.1363710027104839,0.7591085964230458,1.1363710027104839,1.0,1,0,fast_rise,1,0.0,0.0
2023-08-08,213715.68585718848,211639.1597789407,215440.4469625433,211233.17535545025,31800.0,6910652350.0,20447.0,0.4416301173252139,21,speculation_change_rate,-0.13633842581345035,-0.14657428345455586,-0.13633842581345035,0.5454545454545454,0,0,none,0,1.0,1.0
2023-08-09,212008.11296035716,212657.0317916213,212967.01628825272,210115.7397790577,27109.0,5848135400.0,20194.0,0.2944802454904577,21,speculation_change_rate,-0.1368353963410266,-0.1471498718347562,-0.1368353963410266,0.5,0,0,none,0,1.0,1.0
2023-08-10,212438.06638306292,206395.3513174404,213774.85902255643,206058.0403470176,33810.0,7225699650.0,23910.0,0.3464598352495612,21,speculation_change_rate,0.05335424308011061,0.051979589759103495,0.05335424308011061,0.6923076923076923,0,0,none,0,1.0,1.0
2023-08-11,205989.2162957437,204917.29295378117,207536.06028642133,201759.6668937574,54389.0,11286591550.0,25574.0,0.7545857171442018,21,speculation_change_rate,0.5039964751800872,0.40812588189464055,0.5039964751800872,0.8571428571428571,0,0,none,0,1.0,1.0
2023-08-14,203604.56147745124,193643.2345381271,203820.76516341625,193614.2972741408,54541.0,10955650500.0,31513.0,0.5485525533084864,21,speculation_change_rate,-0.18619391309598265,-0.20603316383571535,-0.18619391309598265,0.4,0,0,none,0,1.0,1.0
2023-08-15,193145.9369895716,189680.8139697453,194448.04466641537,189053.5795148248,86930.0,16815971400.0,35763.0,0.8881893576869988,21,speculation_change_rate,0.4044374124031267,0.3396368043785124,0.4044374124031267,0.8125,0,0,none,0,1.0,1.0
2023-08-16,189012.4814493322,191747.30923578836,195997.35098396087,187185.7054853975,81487.0,15980989350.0,34637.0,0.8555210234584508,21,speculation_change_rate,-0.032140487766631254,-0.03266833422854798,-0.032140487766631254,0.5882352941176471,0,0,none,0,1.0,1.0
2023-08-17,191672.6065578457,189797.6065547304,194125.068112158,188373.1489812119,72090.0,13960673750.0,37164.0,0.6625747876374212,21,speculation_change_rate,-0.17547369707283655,-0.19294623582102965,-0.17547369707283655,0.3888888888888889,0,0,none,0,1.0,1.0
2023-08-18,190896.2310327949,191523.40382269217,193375.585044504,190560.69762424837,44755.0,8756758650.0,34426.0,0.2623910774735881,21,speculation_change_rate,-0.32980308725907337,-0.4001837101638331,-0.32980308725907337,0.21052631578947367,0,0,none,0,1.0,1.0
2023-08-21,193690.5635572176,197116.13041744623,199491.0705461733,191875.51058837163,62490.0,12435880500.0,32603.0,0.6506022352624492,21,speculation_change_rate,0.4743410700221544,0.3882111577888611,0.4743410700221544,0.85,0,0,none,0,1.0,1.0
2023-08-22,197312.7926191132,194571.815011419,200328.136276799,193275.62923666372,57805.0,11527571750.0,32402.0,0.5788551278390585,21,speculation_change_rate,-0.06923375007453825,-0.07174710742339074,-0.06923375007453825,0.5,0,0,none,0,1.0,1.0
2023-08-23,194557.7436274961,196128.50058430465,196390.6815590188,192090.3564733628,42217.0,8361624400.0,33373.0,0.2350757936929626,21,speculation_change_rate,-0.2909146182818675,-0.34377933414609585,-0.2909146182818675,0.2,0,0,none,0,1.0,1.0
2023-08-24,197183.17595923255,195419.81314730016,199271.6426858513,193597.96966368848,38394.0,7649422600.0,32539.0,0.1654618274742042,21,speculation_change_rate,-0.06724617509957331,-0.0696139662187584,-0.06724617509957331,0.6,0,0,none,0,1.0,1.0
2023-08-25,195890.9368479195,190778.92248989124,196830.8779305266,190743.4050914061,39471.0,7765552450.0,35118.0,0.1168524055146719,21,speculation_change_rate,-0.04744689662404089,-0.048609421959532315,-0.04744689662404089,0.6,0,0,none,0,1.0,1.0
2023-08-28,192089.34118450247,182823.25598746547,193930.8910691679,180566.2123813612,87989.0,16630150950.0,40209.0,0.7831209555005861,21,speculation_change_rate,0.9469587699776765,0.6662685499859142,0.9469587699776765,0.95,0,0,none,0,1.0,1.0
2023-08-29,182575.4776284975,183944.18517804652,186637.9377385496,178290.49707959627,83976.0,15490366500.0,41506.0,0.704693048634028,21,speculation_change_rate,-0.07543128741550242,-0.0784279068665581,-0.07543128741550242,0.45,0,0,none,0,1.0,1.0
2023-08-30,185547.23854006163,183383.0947994899,186357.2368421052,182307.0392071593,65100.0,12081029200.0,42342.0,0.4301450479677753,21,speculation_change_rate,-0.2400844730781263,-0.27454800066625273,-0.2400844730781263,0.15,0,0,none,0,1.0,1.0
2023-08-31,183930.2542910141,184364.5029335453,184445.8657260217,179155.2336764675,83801.0,15406036100.0,42781.0,0.6723508618009333,21,speculation_change_rate,0.27405638426206047,0.24220581383315798,0.27405638426206047,0.75,0,0,none,0,1.0,1.0
2023-09-01,185445.62961066765,184103.68802188992,187957.24538540025,182974.90492105568,79436.0,14897708600.0,42394.0,0.627944823211373,21,speculation_change_rate,-0.04343452388757063,-0.04440603858956027,-0.04343452388757063,0.6,0,0,none,0,1.0,1.0
2023-09-04,185547.80203033783,187126.3395181521,188928.1771968046,184634.9978189498,68690.0,13008244300.0,42254.0,0.4859046043477473,21,speculation_change_rate,-0.13241363755337532,-0.14204021886362572,-0.13241363755337532,0.35,0,0,none,0,1.0,1.0
2023-09-05,188310.9369101548,187481.0988396477,190878.90534361565,186092.07441270992,68568.0,13063682000.0,42918.0,0.4685346352422799,21,speculation_change_rate,-0.01721998087799026,-0.017369969105467398,-0.01721998087799026,0.7,0,0,none,0,1.0,1.0
2023-09-06,187975.35199832992,187410.7465832597,189345.8439854302,186605.4023335112,46941.0,8938236200.0,44121.0,0.0619556344017436,21,speculation_change_rate,-0.33407551505609545,-0.4065790008405363,-0.33407551505609545,0.0,0,1,fast_drop,1,0.0,0.0
2023-09-07,186668.02229234297,181934.7677695439,186746.07727406867,180758.89795171167,65120.0,12056042100.0,47905.0,0.3070118385914482,21,speculation_change_rate,0.27769312289352843,0.2450562041897046,0.27769312289352843,0.8,0,0,none,0,1.0,1.0
2023-09-08,180584.0095588844,173951.38707074328,181376.37590002484,173781.73535016677,121405.0,21665988550.0,55765.0,0.7779856314922208,21,speculation_change_rate,0.601553015065635,0.47097379290077257,0.601553015065635,0.95,0,0,none,0,1.0,1.0
