date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_5_prev,price_ma_5_change,volume_ma_5,volume_ma_5_prev,volume_ma_5_change,oi_change_5,oi_change_5_rate,is_price_ma_5_up,is_volume_ma_5_up,is_oi_down_5,price_volume_oi_short_score,signal,position_scale,is_effective_signal
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,0.02,no_trend,0.0,,no_trend,,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,,,,,,,,,,0,0,0,0.0,0,1.0,0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,0.02,down_trend,-1.0,1.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.05995142954163735,,,,,,,,,0,0,0,0.0,0,1.0,0
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,0.07649284928919564,,,,,,,,,0,0,0,0.0,0,1.0,0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,0.013243023662933062,,,,,,,,,0,0,0,0.0,0,1.0,0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.00922558979269017,213845.4795684418,,,70520.4,,,,,0,0,0,0.0,0,1.0,0
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,0.013438772370829577,215111.00442360473,,,66650.0,,,6695.0,0.8280766852195424,0,0,0,0.0,0,1.0,0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.0,0.0010966917087824601,218992.41527990476,,,63071.0,,,2383.0,0.18160341411370218,0,0,0,0.0,0,1.0,0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.0,0.0033078503221499744,219940.287734052,,,52649.8,,,656.0,0.04367509986684421,0,0,0,0.0,0,1.0,0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.0,0.002166002039153403,220410.1478051825,,,34050.8,,,1167.0,0.0804383788254756,0,0,0,0.0,0,1.0,0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,0.02,up_trend,1.0,2.0,down_trend,2.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.03603992966425751,0.006023215147393124,221552.45561110787,213845.4795684418,0.03603992966425751,28542.2,70520.4,-0.5952632146159125,1125.0,0.07447864945382324,1,0,0,0.03603992966425751,0,1.0,0
2023-08-04,224539.9914795204,222707.8457608564,226063.2341306068,222392.58829134653,13859.0,3167882600.0,16442.0,-0.1709041956432761,0.02,up_trend,1.0,2.0,down_trend,2.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.03203302256030738,-0.0024280769925070222,222001.66008127644,215111.00442360473,0.03203302256030738,22096.6,66650.0,-0.6684681170292573,1662.0,0.11244925575101489,1,0,0,0.03203302256030738,0,1.0,0
2023-08-07,221536.71889177908,213933.16142895515,222592.38278895983,213691.6035455278,33521.0,7419631950.0,18615.0,0.5882044007797698,0.02,down_trend,-1.0,3.0,down_trend,2.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.007558054795080871,-0.03939997848716792,220647.57195429737,218992.41527990476,0.007558054795080871,21583.2,63071.0,-0.6577951832062279,3110.0,0.20058045791680104,1,0,0,0.007558054795080871,0,1.0,0
2023-08-08,213715.68585718848,211639.1597789407,215440.4469625433,211233.17535545025,31800.0,6910652350.0,20447.0,0.4416301173252139,0.02,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.010722982985395091,218688.6726010781,219940.287734052,-0.005690704262819368,23513.8,52649.8,-0.5533924155457381,4771.0,0.304350599642766,0,0,0,0.0,0,1.0,0
2023-08-09,212008.11296035716,212657.0317916213,212967.01628825272,210115.7397790577,27109.0,5848135400.0,20194.0,0.2944802454904577,0.02,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,0.004809469163191693,216837.42250007222,220410.1478051825,-0.016209441083756992,25547.0,34050.8,-0.24973862581789563,4519.0,0.2882934609250399,0,0,0,0.0,0,1.0,0
2023-08-10,212438.06638306292,206395.3513174404,213774.85902255643,206058.0403470176,33810.0,7225699650.0,23910.0,0.3464598352495612,0.02,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.02944497259943235,213466.5100155628,221552.45561110787,-0.03649675456424817,28019.8,28542.2,-0.018302723686331124,7680.0,0.4731977818853974,0,0,0,0.0,0,1.0,0
2023-08-11,205989.2162957437,204917.29295378117,207536.06028642133,201759.6668937574,54389.0,11286591550.0,25574.0,0.7545857171442018,0.02,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.6349031072653715,-0.007161296774489512,209908.39945414773,222001.66008127644,-0.05447373962294366,36125.8,22096.6,0.6349031072653715,9132.0,0.555406884807201,0,1,0,0.6349031072653715,0,1.0,0
2023-08-14,203604.56147745124,193643.2345381271,203820.76516341625,193614.2972741408,54541.0,10955650500.0,31513.0,0.5485525533084864,0.02,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.8685737054746285,-0.05501760370315323,205850.41407598212,220647.57195429737,-0.06706240973900301,40329.8,21583.2,0.8685737054746285,12898.0,0.6928820843405855,0,1,0,0.8685737054746285,0,1.0,0
2023-08-15,193145.9369895716,189680.8139697453,194448.04466641537,189053.5795148248,86930.0,16815971400.0,35763.0,0.8881893576869988,0.02,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,1.184070630863578,-0.020462478732256484,201458.74491414306,218688.6726010781,-0.0787874720807561,51355.8,23513.8,1.184070630863578,15316.0,0.749058541595344,0,1,0,1.184070630863578,0,1.0,0
2023-08-16,189012.4814493322,191747.30923578836,195997.35098396087,187185.7054853975,81487.0,15980989350.0,34637.0,0.8555210234584508,0.02,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,1.4359572552550204,0.010894592989107776,197276.80040297646,216837.42250007222,-0.09020870047046081,62231.4,25547.0,1.4359572552550204,14443.0,0.7152124393384174,0,1,0,1.4359572552550204,0,1.0,0
2023-08-17,191672.6065578457,189797.6065547304,194125.068112158,188373.1489812119,72090.0,13960673750.0,37164.0,0.6625747876374212,0.02,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,1.4942148052448623,-0.010168083655664018,193957.25145043447,213466.5100155628,-0.09139259626114649,69887.4,28019.8,1.4942148052448623,13254.0,0.5543287327478043,0,1,0,1.4942148052448623,0,1.0,0
2023-08-18,190896.2310327949,191523.40382269217,193375.585044504,190560.69762424837,44755.0,8756758650.0,34426.0,0.2623910774735881,0.02,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.8812206234879227,0.009092829458121399,191278.47362421665,209908.39945414773,-0.08875264581301612,67960.6,36125.8,0.8812206234879227,8852.0,0.34613279111597717,0,1,0,0.8812206234879227,0,1.0,0
2023-08-21,193690.5635572176,197116.13041744623,199491.0705461733,191875.51058837163,62490.0,12435880500.0,32603.0,0.6506022352624492,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.7245411581510444,0.02920126983505189,191973.05280008048,205850.41407598212,-0.06741478436268444,69550.4,40329.8,0.7245411581510444,1090.0,0.03458889981912227,0,1,0,0.7245411581510444,0,1.0,0
2023-08-22,197312.7926191132,194571.815011419,200328.136276799,193275.62923666372,57805.0,11527571750.0,32402.0,0.5788551278390585,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.3348406295946148,-0.012907697612767444,192951.25300841522,201458.74491414306,-0.04222944955481345,63725.4,51355.8,0.24086081805755133,-3361.0,-0.09397981153706345,0,1,1,0.3348406295946148,0,1.0,0
2023-08-23,194557.7436274961,196128.50058430465,196390.6815590188,192090.3564733628,42217.0,8361624400.0,33373.0,0.2350757936929626,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.036492767849409594,0.00800057075478433,193827.4912781185,197276.80040297646,-0.017484616122179886,55871.4,62231.4,-0.10219921133061449,-1264.0,-0.036492767849409594,0,0,1,0.036492767849409594,0,1.0,0
2023-08-24,197183.17595923255,195419.81314730016,199271.6426858513,193597.96966368848,38394.0,7649422600.0,32539.0,0.1654618274742042,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.12957674336865654,-0.003613383240544721,194951.93259663245,193957.25145043447,0.005128352452716367,49132.2,69887.4,-0.296980571605182,-4625.0,-0.12444839091594016,1,0,1,0.12957674336865654,0,1.0,0
2023-08-25,195890.9368479195,190778.92248989124,196830.8779305266,190743.4050914061,39471.0,7765552450.0,35118.0,0.1168524055146719,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.018426342698551146,-0.023748311814784095,194803.03633007227,191278.47362421665,0.018426342698551146,48075.4,67960.6,-0.29259894703695966,692.0,0.02010108638819497,1,0,0,0.018426342698551146,0,1.0,0
2023-08-28,192089.34118450247,182823.25598746547,193930.8910691679,180566.2123813612,87989.0,16630150950.0,40209.0,0.7831209555005861,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.04170097198681533,191944.4614440761,191973.05280008048,-0.00014893421543993313,53175.2,69550.4,-0.23544364949734287,7606.0,0.23329141490046928,0,0,0,0.0,0,1.0,0
2023-08-29,182575.4776284975,183944.18517804652,186637.9377385496,178290.49707959627,83976.0,15490366500.0,41506.0,0.704693048634028,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,0.006131217741018213,189818.9354774016,192951.25300841522,-0.01623372474744711,58409.4,63725.4,-0.08342042576429498,9104.0,0.28097031047466203,0,0,0,0.0,0,1.0,0
2023-08-30,185547.23854006163,183383.0947994899,186357.2368421052,182307.0392071593,65100.0,12081029200.0,42342.0,0.4301450479677753,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.12733885315205984,-0.003050329522586104,187269.85432043864,193827.4912781185,-0.033832336756969505,62986.0,55871.4,0.12733885315205984,8969.0,0.26875018727714023,0,1,0,0.12733885315205984,0,1.0,0
2023-08-31,183930.2542910141,184364.5029335453,184445.8657260217,179155.2336764675,83801.0,15406036100.0,42781.0,0.6723508618009333,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.4668058829036761,0.005351682689881843,185058.79227768767,194951.93259663245,-0.05074656192003135,72067.4,49132.2,0.4668058829036761,10242.0,0.3147607486400934,0,1,0,0.4668058829036761,0,1.0,0
2023-09-01,185445.62961066765,184103.68802188992,187957.24538540025,182974.90492105568,79436.0,14897708600.0,42394.0,0.627944823211373,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.6653090769915588,-0.0014146698930943558,183723.7453840874,194803.03633007227,-0.056874323700028095,80060.4,48075.4,0.6653090769915588,7276.0,0.20718719744860187,0,1,0,0.6653090769915588,0,1.0,0
2023-09-04,185547.80203033783,187126.3395181521,188928.1771968046,184634.9978189498,68690.0,13008244300.0,42254.0,0.4859046043477473,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.4330101250206866,0.016418201768466423,184584.36209022475,191944.4614440761,-0.038344942586404085,76200.6,53175.2,0.4330101250206866,2045.0,0.05085926036459499,0,1,0,0.4330101250206866,0,1.0,0
2023-09-05,188310.9369101548,187481.0988396477,190878.90534361565,186092.07441270992,68568.0,13063682000.0,42918.0,0.4685346352422799,0.04,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.25183617705369343,0.0018958278263183637,185291.74482254498,189818.9354774016,-0.023850047643932726,73119.0,58409.4,0.25183617705369343,1412.0,0.03401917795017588,0,1,0,0.25183617705369343,0,1.0,0
