date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,is_up_day,price_up_ratio,open_interest,log_open_interest,delta_log_open_interest,oi_change_rate,log_open_interest_median_past,log_open_interest_mad_past,log_open_interest_mad_score,signal,position_scale,is_effective_signal
2023-07-21,214134.19913419912,no_trend,,0,,42,price_up_oi_down,,,0,,8085.0,8.997765772011208,,,,,,0,1.0,0
2023-07-24,201296.54778235024,up_trend,1.0,0,,42,price_up_oi_down,,-0.05995142954163735,0,,13122.0,9.482045489904824,0.48427971789361557,62.30055658627087,,,,0,1.0,0
2023-07-25,216694.29427430092,up_trend,1.0,0,,42,price_up_oi_down,,0.07649284928919564,1,,15020.0,9.617137925318126,0.13509243541330207,14.464258497180204,,,,0,1.0,0
2023-07-26,219563.98194099808,up_trend,1.0,0,,42,price_up_oi_down,,0.013243023662933062,1,,14508.0,9.582455500402792,-0.03468242491533324,-3.4087882822903315,,,,0,1.0,0
2023-07-27,217538.3747103608,up_trend,1.0,0,,42,price_up_oi_down,,-0.00922558979269017,0,0.4,15105.0,9.622781093820773,0.0403255934179807,4.114971050455063,,,,0,1.0,0
2023-07-28,220461.82341001357,up_trend,1.0,0,,42,price_up_oi_down,0.31068258314469527,0.013438772370829577,1,0.5,14780.0,9.601030194502194,-0.021750899318579542,-2.1516054286660036,9.582455500402792,0.0403255934179807,0.31068258314469527,0,1.0,0
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,42,price_up_oi_down,1.3667101472102288,0.0010966917087824601,1,0.5714285714285714,15505.0,9.648917831534549,0.0478876370323551,4.9052774018943035,9.591742847452494,0.028216662116955504,1.3667101472102288,0,1.0,0
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,42,price_up_oi_down,1.8251109449174072,0.0033078503221499744,1,0.625,15676.0,9.659886159319521,0.010968327784972587,1.1028700419219328,9.601030194502194,0.021750899318579542,1.8251109449174072,0,1.0,0
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,42,price_up_oi_down,1.0298320172990951,0.002166002039153403,1,0.6666666666666666,15675.0,9.659822365501121,-6.379381840027065e-05,-0.006379178361792803,9.60908405991016,0.03323116556587813,1.0298320172990951,0,1.0,0
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,42,price_up_oi_down,1.5067773106549212,0.006023215147393124,1,0.7,16230.0,9.694616660508636,0.034794295007515075,3.5406698564592887,9.617137925318126,0.03468242491533324,1.5067773106549212,0,1.0,0
2023-08-04,222707.8457608564,down_trend,2.0,1,1.0,42,price_up_oi_down,1.528015045603101,-0.0024280769925070222,0,0.7,16442.0,9.707594315712079,0.01297765520344285,1.3062230437462574,9.61995950956945,0.03868343254916429,1.528015045603101,0,1.0,0
2023-08-07,213933.16142895515,down_trend,2.0,1,1.0,42,price_up_oi_down,4.4894304976905826,-0.03939997848716792,0,0.7,18615.0,9.831722986306817,0.12412867059473776,13.21615375258476,9.635849462677662,0.029427982408663844,4.4894304976905826,0,1.0,0
2023-08-08,211639.1597789407,down_trend,2.0,0,,42,price_up_oi_down,4.722232387191124,-0.010722982985395091,0,0.6,20447.0,9.925591451443054,0.09386846513623759,9.841525651356498,9.654370098517834,0.0387393675952552,4.722232387191124,0,1.0,0
