date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,ret_3,close_rank_20,close_rank_60,oi_ret_3,volume_mad_score,range_pct,range_mad_score,close_location,range_climax_score,signal,position,position_scale
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,44,uptrend_range_climax,0.0,,,,,,0.10942174811780317,,0.027560866570153535,0.0,0,1.0,1.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,44,uptrend_range_climax,0.0,,,,,,0.051053100128351146,,0.06507527416051549,0.0,0,1.0,1.0
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,44,uptrend_range_climax,0.0,,,,,,0.07456524859668663,,0.9690599058270912,0.0,0,1.0,1.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,44,uptrend_range_climax,0.0,0.02535691556394548,,,0.5846897283915844,,0.07288488069490218,,0.22997314536250135,0.0,0,1.0,1.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,44,uptrend_range_climax,0.0,0.0806860679278607,,,0.14073560391594953,,0.041837443903277934,,0.16249246517381766,0.0,0,1.0,1.0
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,44,uptrend_range_climax,0.15534129157234763,0.01738637903840501,,,-0.016107730815932086,-1.2287294066127663,0.036128191798946926,-1.1355943658803673,0.6749565806829857,0.15534129157234763,0,1.0,1.0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,44,uptrend_range_climax,0.6833550736051144,0.005190378279614993,,,0.06646233113175626,-1.6183708053515413,0.022392105465897684,-1.63128834541343,0.03177772795228431,0.6833550736051144,0,1.0,1.0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,44,uptrend_range_climax,0.9125554724587036,0.017906182483263144,,,0.037105065498748147,-3.1226370886053787,0.015154593850205343,-1.109080896496891,0.7203557489268073,0.9125554724587036,0,1.0,1.0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,44,uptrend_range_climax,1.5149160086495477,0.006583719866716908,1.0,,0.05879217099892742,-2.5165486962316828,0.008058001186969272,-1.0255668989260402,0.2798169386423046,1.5149160086495477,0,1.0,1.0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,44,uptrend_range_climax,1.7533886553274605,0.011537245664892115,1.0,,0.04569882897408739,-1.8229834397189315,0.023609443586748186,-0.46076853681187746,0.9239140964445453,1.7533886553274605,0,1.0,1.0
2023-08-04,224539.9914795204,222707.8457608564,226063.2341306068,222392.58829134653,13859.0,3167882600.0,16442.0,-0.1709041956432761,44,uptrend_range_climax,1.6640075228015505,0.00575427076308177,0.9,,0.047708156392557655,-2.1685373404204373,0.016481888308514367,-0.7509682546134904,0.08588610378532337,1.6640075228015505,0,1.0,1.0
2023-08-07,221536.71889177908,213933.16142895515,222592.38278895983,213691.6035455278,33521.0,7419631950.0,18615.0,0.5882044007797698,44,uptrend_range_climax,2.8837436393181948,-0.035960537310370855,0.09090909090909091,,0.17190062080569568,-0.2186351564476156,0.04160542098279558,0.5634096510127159,0.027138959053007575,2.8837436393181948,0,1.0,1.0
2023-08-08,213715.68585718848,211639.1597789407,215440.4469625433,211233.17535545025,31800.0,6910652350.0,20447.0,0.4416301173252139,44,uptrend_range_climax,2.4444495269288953,-0.052007876583413326,0.08333333333333333,,0.2309747909344182,-0.12928622286112873,0.0198794571453014,-0.5314599679632307,0.0964958912578867,2.4444495269288953,0,1.0,1.0
2023-08-09,212008.11296035716,212657.0317916213,212967.01628825272,210115.7397790577,27109.0,5848135400.0,20194.0,0.2944802454904577,44,uptrend_range_climax,2.1681480721401587,-0.04513003991798148,0.15384615384615385,,0.2055464938521876,-0.3159714196922584,0.013407863756835121,-0.6169975877195745,0.8912822044330793,2.1681480721401587,0,1.0,1.0
2023-08-10,212438.06638306292,206395.3513174404,213774.85902255643,206058.0403470176,33810.0,7225699650.0,23910.0,0.3464598352495612,44,uptrend_range_climax,4.979688555417692,-0.035234416493293286,0.07142857142857142,,0.2503290741455544,0.3192940540129411,0.03738852947162646,1.5992770424737786,0.04371114375046922,4.979688555417692,0,1.0,1.0
2023-08-11,205989.2162957437,204917.29295378117,207536.06028642133,201759.6668937574,54389.0,11286591550.0,25574.0,0.7545857171442018,44,uptrend_range_climax,3.218491532508042,-0.03176097860235594,0.06666666666666667,,0.22374003792806008,1.7032818041366136,0.028188901529002594,0.6940299041041174,0.5466431811991855,3.218491532508042,0,1.0,1.0
2023-08-14,203604.56147745124,193643.2345381271,203820.76516341625,193614.2972741408,54541.0,10955650500.0,31513.0,0.5485525533084864,44,uptrend_range_climax,5.835233916241755,-0.0894106209106007,0.0,,0.4450146285255894,1.7109923065943375,0.05270758833180858,3.267514105347148,0.0028351888528161256,5.835233916241755,0,1.0,1.0
2023-08-15,193145.9369895716,189680.8139697453,194448.04466641537,189053.5795148248,86930.0,16815971400.0,35763.0,0.8881893576869988,44,uptrend_range_climax,2.828775787209535,-0.08098310955651211,0.0,,0.4026170579337407,2.456390945523662,0.02843969845284928,0.605084939357324,0.11627370597352851,2.828775787209535,0,1.0,1.0
2023-08-16,189012.4814493322,191747.30923578836,195997.35098396087,187185.7054853975,81487.0,15980989350.0,34637.0,0.8555210234584508,44,uptrend_range_climax,2.1666437719815663,-0.06426975258239087,0.05555555555555555,,0.3033462644739888,1.32578954407672,0.04595446754211206,1.2940492008290174,0.5176789909596979,2.1666437719815663,0,1.0,1.0
2023-08-17,191672.6065578457,189797.6065547304,194125.068112158,188373.1489812119,72090.0,13960673750.0,37164.0,0.6625747876374212,44,uptrend_range_climax,1.449041445984513,-0.019859345938778583,0.05263157894736842,,0.16494039167134744,1.1037578413368259,0.03030554091464514,0.1284829631287991,0.24764909608250626,1.449041445984513,0,1.0,1.0
2023-08-18,190896.2310327949,191523.40382269217,193375.585044504,190560.69762424837,44755.0,8756758650.0,34426.0,0.2623910774735881,44,uptrend_range_climax,0.5619893859676113,0.009714160406548933,0.1,0.1,-0.03810174655466092,0.07611108481911207,0.014697354809240904,-0.9111982901333056,0.34200522248821463,0.5619893859676113,0,1.0,1.0
2023-08-21,193690.5635572176,197116.13041744623,199491.0705461733,191875.51058837163,62490.0,12435880500.0,32603.0,0.6506022352624492,44,uptrend_range_climax,0.854697012244392,0.027999460347346572,0.25,0.23809523809523808,-0.060518166184424516,0.4163232388318811,0.03863488970523958,0.575101347642337,0.6881463553715331,0.854697012244392,0,1.0,1.0
2023-08-22,197312.7926191132,194571.815011419,200328.136276799,193275.62923666372,57805.0,11527571750.0,32402.0,0.5788551278390585,44,uptrend_range_climax,0.7406211392425761,0.025154207913111515,0.25,0.22727272727272727,-0.13712040149084004,0.11751087623125295,0.03624629312175237,0.49438787428062636,0.18379078069384305,0.7406211392425761,0,1.0,1.0
2023-08-23,194557.7436274961,196128.50058430465,196390.6815590188,192090.3564733628,42217.0,8361624400.0,33373.0,0.2350757936929626,44,uptrend_range_climax,0.4119900064804907,0.0240445641091247,0.3,0.2608695652173913,-0.03106490301811249,-0.8070224116199702,0.021926059052327893,-1.4657061044311566,0.9390322895381423,0.4119900064804907,0,1.0,1.0
2023-08-24,197183.17595923255,195419.81314730016,199271.6426858513,193597.96966368848,38394.0,7649422600.0,32539.0,0.1654618274742042,44,uptrend_range_climax,0.3,-0.008605674566326327,0.3,0.25,-0.0019649387673670304,-1.0756283835609854,0.029033253746313874,-0.547892094803884,0.32110477225160766,0.3,0,1.0,1.0
