date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_median_history,speculation_mad_history,speculation_mad_value,signal,position_scale,is_effective_signal
2023-07-21,214134.19913419912,no_trend,,0,,12,speculation_mad,,2.091107917975069,,,,0,1.0,0
2023-07-24,201296.54778235024,up_trend,1.0,0,,12,speculation_mad,,1.4143789712621873,,,,0,1.0,0
2023-07-25,216694.29427430092,up_trend,1.0,0,,12,speculation_mad,,1.598095534571003,,,,0,1.0,0
2023-07-26,219563.98194099808,up_trend,1.0,0,,12,speculation_mad,,2.025216349105437,,,,0,1.0,0
2023-07-27,217538.3747103608,up_trend,1.0,0,,12,speculation_mad,,1.176569968274467,,,,0,1.0,0
2023-07-28,220461.82341001357,up_trend,1.0,0,,12,speculation_mad,,1.137255999052689,,,,0,1.0,0
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,12,speculation_mad,,0.8447978475536825,,,,0,1.0,0
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,12,speculation_mad,,0.3455711668003232,,,,0,1.0,0
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,12,speculation_mad,,0.0777876826569847,,,,0,1.0,0
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,12,speculation_mad,,0.278676766271454,,,,0,1.0,0
2023-08-04,222707.8457608564,down_trend,2.0,1,1.0,12,speculation_mad,-1.430072644911165,-0.1709041956432761,1.1569129836635779,0.6262621838853399,-1.430072644911165,0,1.0,0
2023-08-07,213933.16142895515,down_trend,2.0,1,1.0,12,speculation_mad,-0.4338439652630235,0.5882044007797698,0.9910269233031856,0.6262621838853399,-0.4338439652630235,0,1.0,0
2023-08-08,211639.1597789407,down_trend,2.0,0,,12,speculation_mad,-0.41296215128713226,0.4416301173252139,0.7165011241667261,0.4489466010015065,-0.41296215128713226,0,1.0,0
2023-08-09,212657.0317916213,down_trend,2.0,0,,12,speculation_mad,-0.3876942848970816,0.2944802454904577,0.5149172590524919,0.3835050824483489,-0.3876942848970816,0,1.0,0
2023-08-10,206395.3513174404,down_trend,2.0,0,,12,speculation_mad,-0.12458854681217903,0.3464598352495612,0.39360064206276857,0.2552083590613925,-0.12458854681217903,0,1.0,0
2023-08-11,204917.29295378117,down_trend,2.0,0,,12,speculation_mad,1.6315806217058235,0.7545857171442018,0.34601550102494216,0.16890175802754967,1.6315806217058235,0,1.0,0
2023-08-14,193643.2345381271,down_trend,2.0,0,,12,speculation_mad,0.8088096406586615,0.5485525533084864,0.34601550102494216,0.16890175802754967,0.8088096406586615,0,1.0,0
2023-08-15,189680.8139697453,down_trend,2.0,0,,12,speculation_mad,2.4530552392031484,0.8881893576869988,0.34601550102494216,0.149075834291908,2.4530552392031484,0,1.0,0
2023-08-16,191747.30923578836,down_trend,2.0,0,,12,speculation_mad,1.785436122062344,0.8555210234584508,0.39404497628738755,0.17433350075674053,1.785436122062344,0,1.0,0
2023-08-17,189797.6065547304,down_trend,2.0,0,,12,speculation_mad,0.5417702175021065,0.6625747876374212,0.4950913353168501,0.20851282943589428,0.5417702175021065,0,1.0,0
2023-08-18,191523.40382269217,down_trend,2.0,0,,12,speculation_mad,-1.0113824321481344,0.2623910774735881,0.568378477044128,0.20406294094732028,-1.0113824321481344,0,1.0,0
2023-08-21,197116.13041744623,down_trend,2.0,0,,12,speculation_mad,0.2717748008052692,0.6506022352624492,0.568378477044128,0.20406294094732028,0.2717748008052692,0,1.0,0
2023-08-22,194571.815011419,down_trend,2.0,0,,12,speculation_mad,-0.06800376003772596,0.5788551278390585,0.5995773942854679,0.2055324179980803,-0.06800376003772596,0,1.0,0
2023-08-23,196128.50058430465,down_trend,2.0,0,,12,speculation_mad,-1.3454500640443787,0.2350757936929626,0.6147286815507538,0.1903246887505725,-1.3454500640443787,0,1.0,0
2023-08-24,195419.81314730016,down_trend,2.0,0,,12,speculation_mad,-1.5921546679153105,0.1654618274742042,0.6147286815507538,0.1903246887505725,-1.5921546679153105,0,1.0,0
2023-08-25,190778.92248989124,down_trend,2.0,0,,12,speculation_mad,-1.7644213672617695,0.1168524055146719,0.6147286815507538,0.1903246887505725,-1.7644213672617695,0,1.0,0
2023-08-28,182823.25598746547,down_trend,2.0,0,,12,speculation_mad,0.4990299933125512,0.7831209555005861,0.5637038405737724,0.29656497299243134,0.4990299933125512,0,1.0,0
2023-08-29,183944.18517804652,down_trend,2.0,0,,12,speculation_mad,0.23599330349343264,0.704693048634028,0.6147286815507538,0.25712650902197104,0.23599330349343264,0,1.0,0
2023-08-30,183383.0947994899,down_trend,2.0,0,,12,speculation_mad,-0.6085270578485351,0.4301450479677753,0.6147286815507538,0.2045923079287647,-0.6085270578485351,0,1.0,0
2023-08-31,184364.5029335453,down_trend,2.0,0,,12,speculation_mad,0.5119298730133991,0.6723508618009333,0.5045000879034169,0.22115098558021998,0.5119298730133991,0,1.0,0
2023-09-01,184103.68802188992,down_trend,2.0,0,,12,speculation_mad,0.376495420324718,0.627944823211373,0.5045000879034169,0.22115098558021998,0.376495420324718,0,1.0,0
2023-09-04,187126.3395181521,down_trend,2.0,0,,12,speculation_mad,-0.5773091914576558,0.4859046043477473,0.6033999755252157,0.13727400033312637,-0.5773091914576558,0,1.0,0
2023-09-05,187481.0988396477,down_trend,2.0,0,,12,speculation_mad,-0.2757937881278933,0.4685346352422799,0.5323798660934029,0.15614208912407773,-0.2757937881278933,0,1.0,0
2023-09-06,187410.7465832597,down_trend,2.0,0,,12,speculation_mad,-1.325549574883701,0.0619556344017436,0.4772196197950136,0.21130233542246707,-1.325549574883701,0,1.0,0
2023-09-07,181934.7677695439,down_trend,2.0,0,,12,speculation_mad,-0.5433142770679111,0.3070118385914482,0.4772196197950136,0.21130233542246707,-0.5433142770679111,0,1.0,0
2023-09-08,173951.38707074328,down_trend,2.0,0,,12,speculation_mad,1.110551475570535,0.7779856314922208,0.4772196197950136,0.18266951160474254,1.110551475570535,0,1.0,0
2023-09-11,175933.38619402982,down_trend,2.0,0,,12,speculation_mad,-0.6020413928662833,0.434395784800586,0.5569247137795601,0.13727400033312637,-0.6020413928662833,0,1.0,0
2023-09-12,175115.808687838,down_trend,2.0,0,,12,speculation_mad,-0.3913450934841505,0.3841156394189933,0.4772196197950136,0.1604664923099624,-0.3913450934841505,0,1.0,0
2023-09-13,173532.41662518663,down_trend,2.0,0,,12,speculation_mad,-1.6437098190068613,0.1933871187934704,0.4514652100214329,0.10590147101621217,-1.6437098190068613,0,1.0,0
2023-09-14,166974.9207180873,down_trend,2.0,0,,12,speculation_mad,0.7605008074555936,0.6323941482710722,0.4514652100214329,0.1604664923099624,0.7605008074555936,0,1.0,0
2023-09-15,167419.08418504574,down_trend,2.0,0,,12,speculation_mad,0.2071628735903306,0.5007508365401547,0.4514652100214329,0.1604664923099624,0.2071628735903306,0,1.0,0
2023-09-18,164878.8172660036,down_trend,2.0,0,,12,speculation_mad,-2.2379452738680725,0.1000864947069014,0.4514652100214329,0.10590147101621217,-2.2379452738680725,0,1.0,0
2023-09-19,157557.17446305772,down_trend,2.0,0,,12,speculation_mad,0.10596861789477457,0.4342448894794879,0.4092557121097896,0.15905623341733033,0.10596861789477457,0,1.0,0
2023-09-20,152200.22593190565,down_trend,2.0,0,,12,speculation_mad,1.6432646495312997,0.7965058156421968,0.4091802644492406,0.15898078575678132,1.6432646495312997,0,1.0,0
2023-09-21,157066.76293912297,down_trend,2.0,0,,12,speculation_mad,1.901281513035908,0.892920667367586,0.4343203371400369,0.162691154839812,1.901281513035908,0,1.0,0
2023-09-22,152456.84817710766,down_trend,2.0,1,2.0,12,speculation_mad,1.745185408384063,1.0355193138275331,0.46757331067037033,0.21950351473880092,1.745185408384063,0,1.0,0
2023-09-25,151866.87342410494,down_trend,2.0,1,2.0,12,speculation_mad,1.091646253595406,0.8228342036462523,0.46757331067037033,0.21950351473880092,1.091646253595406,0,1.0,0
2023-09-26,144355.1337711975,down_trend,2.0,1,2.0,12,speculation_mad,1.2440871710264152,1.014961885819421,0.5665724924056135,0.24309751723861106,1.2440871710264152,0,1.0,0
2023-09-27,140785.90414311024,up_trend,3.0,1,2.0,12,speculation_mad,1.3681797224184409,1.215383281344587,0.7144499819566346,0.24695211894681324,1.3681797224184409,0,1.0,0
2023-09-28,143446.1425217841,up_trend,3.0,1,2.0,12,speculation_mad,0.05148186711496562,0.8261238695697705,0.8096700096442245,0.2155705901792525,0.05148186711496562,0,1.0,0
2023-10-09,144995.4945334111,up_trend,3.0,1,2.0,12,speculation_mad,-2.1822158403334955,0.174944469642449,0.8244790366080114,0.20076156321546568,-2.1822158403334955,0,1.0,0
2023-10-10,145276.11008979706,up_trend,3.0,1,3.0,12,speculation_mad,-0.7761769485005772,0.5934506713955551,0.8244790366080114,0.20076156321546568,-0.7761769485005772,0,1.0,0
2023-10-11,148356.2540127733,up_trend,3.0,1,3.0,12,speculation_mad,-1.6600716485855687,0.3303602150568635,0.8244790366080114,0.20076156321546568,-1.6600716485855687,0,1.0,0
2023-10-12,157649.97815621665,up_trend,3.0,1,3.0,12,speculation_mad,-0.03448239138876007,0.8142153840651848,0.8244790366080114,0.20076156321546568,-0.03448239138876007,0,1.0,0
2023-10-13,159604.77838890062,down_trend,4.0,1,3.0,12,speculation_mad,1.1871406740307464,1.1778303822365563,0.8244790366080114,0.20076156321546568,1.1871406740307464,0,1.0,0
2023-10-16,156717.2664438177,down_trend,4.0,1,3.0,12,speculation_mad,1.5669020533027873,1.3379614333609042,0.8244790366080114,0.22103432121598904,1.5669020533027873,0,1.0,0
