date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,is_down_day,price_down_ratio,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,32,price_down_speculation_up,,,0,,,,,0,1.0,1.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,32,price_down_speculation_up,,-0.05995142954163735,1,,,,,0,1.0,1.0
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,32,price_down_speculation_up,,0.07649284928919564,0,,,,,0,1.0,1.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,32,price_down_speculation_up,,0.013243023662933062,0,,,,,0,1.0,1.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,32,price_down_speculation_up,,-0.00922558979269017,1,,,,,0,1.0,1.0
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,32,price_down_speculation_up,,0.013438772370829577,0,,,,,0,1.0,1.0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,32,price_down_speculation_up,,0.0010966917087824601,0,,,,,0,1.0,1.0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,32,price_down_speculation_up,,0.0033078503221499744,0,0.25,,,,0,1.0,1.0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,32,price_down_speculation_up,-2.1805947369727927,0.002166002039153403,0,0.2222222222222222,1.2954744697683271,0.3766488435086603,-2.1805947369727927,0,1.0,1.0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,32,price_down_speculation_up,-1.4367353161228456,0.006023215147393124,0,0.2,1.176569968274467,0.42152556629653604,-1.4367353161228456,0,1.0,1.0
2023-08-04,224539.9914795204,222707.8457608564,226063.2341306068,222392.58829134653,13859.0,3167882600.0,16442.0,-0.1709041956432761,32,price_down_speculation_up,-1.4300726449096248,-0.0024280769925070222,1,0.3,1.1569129836635779,0.6262621838853399,-1.4300726449096248,0,1.0,1.0
2023-08-07,221536.71889177908,213933.16142895515,222592.38278895983,213691.6035455278,33521.0,7419631950.0,18615.0,0.5882044007797698,32,price_down_speculation_up,-0.43384396526255625,-0.03939997848716792,1,0.3,0.9910269233031856,0.6262621838853399,-0.43384396526255625,0,1.0,1.0
2023-08-08,213715.68585718848,211639.1597789407,215440.4469625433,211233.17535545025,31800.0,6910652350.0,20447.0,0.4416301173252139,32,price_down_speculation_up,-0.4129621512865118,-0.010722982985395091,1,0.4,0.7165011241667261,0.4489466010015065,-0.4129621512865118,0,1.0,1.0
2023-08-09,212008.11296035716,212657.0317916213,212967.01628825272,210115.7397790577,27109.0,5848135400.0,20194.0,0.2944802454904577,32,price_down_speculation_up,-0.38769428489639973,0.004809469163191693,0,0.4,0.5149172590524919,0.3835050824483489,-0.38769428489639973,0,1.0,1.0
2023-08-10,212438.06638306292,206395.3513174404,213774.85902255643,206058.0403470176,33810.0,7225699650.0,23910.0,0.3464598352495612,32,price_down_speculation_up,-0.12458854681184976,-0.02944497259943235,1,0.4,0.39360064206276857,0.2552083590613925,-0.12458854681184976,0,1.0,1.0
2023-08-11,205989.2162957437,204917.29295378117,207536.06028642133,201759.6668937574,54389.0,11286591550.0,25574.0,0.7545857171442018,32,price_down_speculation_up,1.6315806216993083,-0.007161296774489512,1,0.5,0.34601550102494216,0.16890175802754967,1.6315806216993083,0,1.0,1.0
2023-08-14,203604.56147745124,193643.2345381271,203820.76516341625,193614.2972741408,54541.0,10955650500.0,31513.0,0.5485525533084864,32,price_down_speculation_up,0.8088096406554316,-0.05501760370315323,1,0.6,0.34601550102494216,0.16890175802754967,0.8088096406554316,0,1.0,1.0
2023-08-15,193145.9369895716,189680.8139697453,194448.04466641537,189053.5795148248,86930.0,16815971400.0,35763.0,0.8881893576869988,32,price_down_speculation_up,2.4530552391920497,-0.020462478732256484,1,0.7,0.34601550102494216,0.149075834291908,2.4530552391920497,1,0.0,0.0
2023-08-16,189012.4814493322,191747.30923578836,195997.35098396087,187185.7054853975,81487.0,15980989350.0,34637.0,0.8555210234584508,32,price_down_speculation_up,1.7854361220554364,0.010894592989107776,0,0.7,0.39404497628738755,0.17433350075674053,1.7854361220554364,0,1.0,1.0
2023-08-17,191672.6065578457,189797.6065547304,194125.068112158,188373.1489812119,72090.0,13960673750.0,37164.0,0.6625747876374212,32,price_down_speculation_up,0.541770217500354,-0.010168083655664018,1,0.8,0.4950913353168501,0.20851282943589428,0.541770217500354,0,1.0,1.0
2023-08-18,190896.2310327949,191523.40382269217,193375.585044504,190560.69762424837,44755.0,8756758650.0,34426.0,0.2623910774735881,32,price_down_speculation_up,-1.0113824321447915,0.009092829458121399,0,0.7,0.568378477044128,0.20406294094732028,-1.0113824321447915,0,1.0,1.0
2023-08-21,193690.5635572176,197116.13041744623,199491.0705461733,191875.51058837163,62490.0,12435880500.0,32603.0,0.6506022352624492,32,price_down_speculation_up,0.27177480080437094,0.02920126983505189,0,0.6,0.568378477044128,0.20406294094732028,0.27177480080437094,0,1.0,1.0
2023-08-22,197312.7926191132,194571.815011419,200328.136276799,193275.62923666372,57805.0,11527571750.0,32402.0,0.5788551278390585,32,price_down_speculation_up,-0.0680037600375028,-0.012907697612767444,1,0.6,0.5995773942854679,0.2055324179980803,-0.0680037600375028,0,1.0,1.0
2023-08-23,194557.7436274961,196128.50058430465,196390.6815590188,192090.3564733628,42217.0,8361624400.0,33373.0,0.2350757936929626,32,price_down_speculation_up,-1.3454500640396105,0.00800057075478433,0,0.6,0.6147286815507538,0.1903246887505725,-1.3454500640396105,0,1.0,1.0
2023-08-24,197183.17595923255,195419.81314730016,199271.6426858513,193597.96966368848,38394.0,7649422600.0,32539.0,0.1654618274742042,32,price_down_speculation_up,-1.592154667909668,-0.003613383240544721,1,0.6,0.6147286815507538,0.1903246887505725,-1.592154667909668,0,1.0,1.0
2023-08-25,195890.9368479195,190778.92248989124,196830.8779305266,190743.4050914061,39471.0,7765552450.0,35118.0,0.1168524055146719,32,price_down_speculation_up,-1.7644213672555165,-0.023748311814784095,1,0.6,0.6147286815507538,0.1903246887505725,-1.7644213672555165,0,1.0,1.0
2023-08-28,192089.34118450247,182823.25598746547,193930.8910691679,180566.2123813612,87989.0,16630150950.0,40209.0,0.7831209555005861,32,price_down_speculation_up,0.4990299933114163,-0.04170097198681533,1,0.6,0.5637038405737724,0.29656497299243134,0.4990299933114163,0,1.0,1.0
2023-08-29,182575.4776284975,183944.18517804652,186637.9377385496,178290.49707959627,83976.0,15490366500.0,41506.0,0.704693048634028,32,price_down_speculation_up,0.2359933034928136,0.006131217741018213,0,0.5,0.6147286815507538,0.25712650902197104,0.2359933034928136,0,1.0,1.0
2023-08-30,185547.23854006163,183383.0947994899,186357.2368421052,182307.0392071593,65100.0,12081029200.0,42342.0,0.4301450479677753,32,price_down_speculation_up,-0.608527057846529,-0.003050329522586104,1,0.6,0.6147286815507538,0.2045923079287647,-0.608527057846529,0,1.0,1.0
