date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,ret_5,close_rank_20,close_rank_60,oi_change_5,oi_change_5_rate,oi_change_5_rate_median_past,oi_change_5_rate_mad_past,oi_change_5_rate_mad_score,oi_change_5_rate_mad_abs_score,log_volume,log_volume_median_past,log_volume_mad_past,volume_mad_score,price_volume_oi_score,signal,position,position_scale
2018-01-02,55613.82794012001,55412.23288912307,55883.62496629107,55112.64680123779,187723.0,51834403750.0,371971.0,-0.6838484221979089,11,price_volume_up_oi_down,0.0,,,,,,,,,,,12.142722751029323,,,,0.0,0,1.0,1.0
2018-01-03,55406.77803436197,54882.88638636866,55409.530804718845,54835.60689642022,171685.0,47141035350.0,366919.0,-0.7594797128381782,11,price_volume_up_oi_down,0.0,-0.009552881650043088,,,,,,,,,,12.053416681391969,,,,0.0,0,1.0,1.0
2018-01-04,54891.55082706235,55166.48867502227,55610.05543633282,54877.277490479166,188367.0,51900862150.0,369493.0,-0.6737396081247622,11,price_volume_up_oi_down,0.0,0.005167408409555874,,,,,,,,,,12.14614746654656,,,,0.0,0,1.0,1.0
2018-01-05,55174.92919894123,54645.80407039207,55298.81875644295,54597.02321839718,168345.0,46114851200.0,360211.0,-0.760674525728906,11,price_volume_up_oi_down,0.0,-0.009438422077168607,,,,,,,,,,12.033770724118465,,,,0.0,0,1.0,1.0
2018-01-06,54656.80081080706,54687.526645506194,54716.70565909636,54628.23908472514,5614.0,1529662950.0,359160.0,-4.158504493712917,11,price_volume_up_oi_down,0.0,0.0007635092176587754,,,,,,,,,,8.633018756921828,,,,0.0,0,1.0,1.0
2018-01-08,54701.67187800185,54862.0709737602,55062.82202809421,54577.0763925403,155421.0,42427049050.0,356977.0,-0.8315337899951496,11,price_volume_up_oi_down,0.0,0.003191666161562523,-0.009928528172898465,,,-14994.0,-0.04030959402749139,,,,,11.95389284292089,12.053416681391969,0.08930606963735421,-0.7516612215548586,0.0,0,1.0,1.0
2018-01-09,54860.96386352365,54906.74394376454,55304.116396188496,54783.51836386973,170768.0,46819791300.0,357070.0,-0.7376259308185393,11,price_volume_up_oi_down,0.0323499645546921,0.0008142778646782478,0.0004346993929569276,,,-9849.0,-0.026842436614075586,,,,,12.048061189153746,12.043593702755217,0.09441495405421652,0.03191526516173517,0.0323499645546921,0,1.0,1.0
2018-01-10,54900.15683638606,55153.09291151541,55461.1973248712,54887.044257157024,139882.0,38429115600.0,351937.0,-0.922652972244378,11,price_volume_up_oi_down,0.0,0.0044866795962839046,-0.00024282429113398063,,,-17556.0,-0.04751375533501311,,,,,11.848554489044785,12.048061189153746,0.09416834623285553,-1.4289878824403537,0.0,0,1.0,1.0
2018-01-11,55163.61422710174,54633.15827746393,55365.11253000942,54437.51128644182,182352.0,50031199450.0,350669.0,-0.6539038734864236,11,price_volume_up_oi_down,0.5199200583638942,-0.009427116533348934,-0.00023141379550106755,0.0,,-9542.0,-0.026490029454958344,,,,,12.113694164095516,12.040915956636105,0.09441495405421652,0.5199200583638942,0.5199200583638942,0,1.0,1.0
2018-01-12,54636.395335576206,54634.50639626128,54969.8892355198,54557.69164744847,150686.0,41136756400.0,345358.0,-0.8293833586557814,11,price_volume_up_oi_down,0.1111111111111111,2.467583496623682e-05,-0.0009695126566722223,0.1111111111111111,,-13802.0,-0.0384285555184319,,,,,11.922953480498204,12.048061189153746,0.09416834623285553,-0.8960972216522418,0.1111111111111111,0,1.0,1.0
2018-01-13,54634.52603444232,54590.18632693384,54637.84800669503,54563.79346311304,5295.0,1440622750.0,344663.0,-4.175804148992436,11,price_volume_up_oi_down,0.29201325207717227,-0.0008112102085444661,-0.004955785335854279,0.0,,-12314.0,-0.03449521957997294,-0.0384285555184319,0.009085199816581215,0.29201325207717227,0.29201325207717227,8.574518258035507,12.040915956636105,0.09441495405421652,-24.76359004546823,0.29201325207717227,0,1.0,1.0
2018-01-15,54623.22888895981,54999.72333152296,55270.43542175897,54574.44242021623,166220.0,45555451650.0,344311.0,-0.7282331065910324,11,price_volume_up_oi_down,0.9946486398986343,0.007502026135914885,0.001693405601571607,0.7272727272727273,,-12759.0,-0.03573248942784328,-0.03646188754920242,0.006733578706707901,0.07306252948331174,0.07306252948331174,12.021067491107017,11.993831783519678,0.095370341798656,0.19261997754102367,0.9946486398986343,0,1.0,1.0
2018-01-16,54998.01535208732,53955.17105539709,55034.4060764218,53818.55292817944,234822.0,63700116200.0,333050.0,-0.3494648485313118,11,price_volume_up_oi_down,5.323836214324604,-0.018991955101839375,-0.02171993976911135,0.0,,-18887.0,-0.053665854968360814,-0.03573248942784328,0.0045771045996481075,-2.6426945415541834,2.6426945415541834,12.366583059310013,11.987480167013953,0.095370341798656,2.6811416727704214,5.323836214324604,0,1.0,1.0
2018-01-17,53956.853744355845,53689.39564960002,54217.35515332096,53652.99758954214,181215.0,48720316200.0,329395.0,-0.5975734668751594,11,price_volume_up_oi_down,3.2109976344010125,-0.004925856050464472,-0.017274539082489992,0.0,,-21274.0,-0.06066689670315882,-0.03708052247313759,0.006733578706707901,-2.3626057047888267,2.3626057047888267,12.107439450621774,11.987480167013953,0.095370341798656,0.8483919296121859,3.2109976344010125,0,1.0,1.0
2018-01-18,53689.40032424752,53927.03794868054,54122.203546344346,53667.42689064406,163205.0,43876700450.0,329076.0,-0.7012816478121943,11,price_volume_up_oi_down,0.8023070064519435,0.004426242765545041,-0.012949113925355249,0.07142857142857142,,-16282.0,-0.047145281128568035,-0.0384285555184319,0.009085199816581215,-0.6471350102573462,0.6471350102573462,12.002762358297735,11.987480167013953,0.12308664034469263,0.08374342476602586,0.8023070064519435,0,1.0,1.0
2018-01-19,53928.392329666334,53640.59542508879,54042.58200795228,53516.346368376384,197778.0,53036436600.0,329143.0,-0.5093471172433663,11,price_volume_up_oi_down,1.8176191348534962,-0.00531166803309957,-0.01739490127690846,0.0,,-15520.0,-0.04502949257680691,-0.03936907477296164,0.00796044345882893,-0.47960889652604854,0.47960889652604854,12.194900468526923,12.011914924702376,0.09224298506178474,1.3380102383274477,1.8176191348534962,0,1.0,1.0
2018-01-20,53643.4146393331,53604.038161413286,53672.4994227591,53602.24067488264,7381.0,1973442650.0,328709.0,-3.7962637300976207,11,price_volume_up_oi_down,0.3654963471442602,-0.0006815223318420438,-0.02537622165291409,0.0,,-15602.0,-0.04531368443064555,-0.041729024047619405,0.006615169543711295,-0.3654963471442602,0.3654963471442602,8.906664409770052,12.03456434013038,0.095370341798656,-22.12154805982186,0.3654963471442602,0,1.0,1.0
2018-01-22,53619.2454414113,53716.88678876047,54153.28700513632,53611.38717968216,169671.0,45589214200.0,332149.0,-0.671722395587461,11,price_volume_up_oi_down,4.087192712587332,0.002105226233280577,-0.004416337896361533,0.17647058823529413,,-901.0,-0.002705299504578892,-0.045171588503726226,0.007618649724964458,3.7596057767028093,3.7596057767028093,12.041616546813453,12.011914924702376,0.13256983752536566,0.15111634764922915,4.087192712587332,0,1.0,1.0
2018-01-23,53718.26276989949,52943.978939963,54002.39501049446,52808.1940107963,259492.0,69103424850.0,352516.0,-0.30637013767879,11,price_volume_up_oi_down,14.48908565269807,-0.014388545111277518,-0.013883872236184702,0.0,,23121.0,0.07019232228783072,-0.041729024047619405,0.006615169543711295,11.411637054035625,11.411637054035625,12.466481152596494,12.031342018960235,0.095370341798656,3.0774485986624436,14.48908565269807,0,1.0,1.0
2018-01-24,52947.13482636172,53629.83446854149,53754.03897192732,52777.18246485631,274810.0,72870537750.0,358965.0,-0.2671449409113294,11,price_volume_up_oi_down,16.06383322974466,0.012954363127037238,-0.0055112146233932124,0.10526315789473684,,29889.0,0.09082704299310798,-0.041729024047619405,0.006615169543711295,13.515578358442836,13.515578358442836,12.52383522877012,12.031342018960235,0.1359734940143591,2.4429917134070873,16.06383322974466,0,1.0,1.0
2018-01-25,53631.50730459782,53708.90774859814,54416.31484498018,53623.72071376617,331989.0,89557661300.0,369512.0,-0.107081380342789,11,price_volume_up_oi_down,13.308392177720624,0.001474427076649576,0.0012735191130521795,0.25,0.25,40369.0,0.12264881829478373,-0.040380991002325096,0.010024577046139328,10.969250809946285,10.969250809946285,12.712857114819611,12.074527998717613,0.20621376520085466,2.0878678486612867,13.308392177720624,0,1.0,1.0
2018-01-26,53708.70122596302,53441.59593451164,53860.7345235161,53383.69879594658,180436.0,48292427300.0,377716.0,-0.7387664462230913,11,price_volume_up_oi_down,7.66352644497507,-0.0049770480408526385,-0.0030304102540277267,0.05,0.047619047619047616,49007.0,0.14908931608200565,-0.040380991002325096,0.01678538483343472,7.61352644497507,7.61352644497507,12.103131423242923,12.151169959574348,0.18191035050613902,-0.17811822562077687,7.66352644497507,0,1.0,1.0
2018-01-27,53443.05757529218,53493.14944006119,53523.89523827206,53432.00099559924,8266.0,2201308550.0,376559.0,-3.8189240253805297,11,price_volume_up_oi_down,3.2917242567478517,0.0009646700224432703,-0.004165121288192242,0.1,0.09090909090909091,44410.0,0.13370505405706476,-0.023867396040692903,0.033298979795066914,3.1917242567478517,3.1917242567478517,9.019905995071678,12.151169959574348,0.18191035050613902,-11.610161838811885,3.2917242567478517,0,1.0,1.0
2018-01-29,53587.71790496542,53755.20337810063,54038.282219609806,53535.805811153456,206040.0,55337582850.0,384358.0,-0.6235040852430503,11,price_volume_up_oi_down,1.3223012640933178,0.004898831734203135,0.015322317180911815,0.45,0.391304347826087,31842.0,0.09032781490769214,0.033743511391625916,0.07997299417123271,0.4772309733829177,0.4772309733829177,12.23582560367952,12.105285436932348,0.2318593971493792,0.37974797352948825,1.3223012640933178,0,1.0,1.0
2018-01-30,53747.801131560125,53321.356151071705,53814.39414069419,53111.634716701614,240451.0,63978190000.0,381779.0,-0.4623255805759641,11,price_volume_up_oi_down,0.9361230423840274,-0.008070795007087073,-0.005751990855961675,0.05,0.041666666666666664,22814.0,0.06355494268243422,0.08026006859776143,0.06113711647177378,-0.1842980780890922,0.1842980780890922,12.390271605565948,12.149015945884923,0.2318593971493792,0.7018249642949352,0.9361230423840274,0,1.0,1.0
2018-01-31,53321.38628100213,53447.81068015799,53661.11980060752,53177.44269711274,181381.0,48248967100.0,382073.0,-0.7450118985345906,11,price_volume_up_oi_down,0.8012609407664336,0.0023715550056155887,-0.004861336403679917,0.15,0.12,12561.0,0.03399348329688887,0.08026006859776143,0.04791686757816282,-0.6512609407664336,0.6512609407664336,12.108355070273383,12.215363036103222,0.213013342977999,-0.3388326906349689,0.8012609407664336,0,1.0,1.0
2018-02-01,53453.77128469807,53350.51406106669,53571.05723667857,53138.27986682026,160018.0,42496582400.0,381550.0,-0.8689555948294657,11,price_volume_up_oi_down,1.166788983323996,-0.0018204042009043464,-0.001704325476293067,0.1,0.07692307692307693,3834.0,0.010150483431996527,0.08026006859776143,0.044327667498947426,-1.0667889833239959,1.0667889833239959,11.983041587888314,12.172090336976453,0.2562860421047679,-0.4975363984047854,1.166788983323996,0,1.0,1.0
2018-02-02,53346.5470805005,53180.38833947652,53964.158736475045,53049.3936773524,241450.0,64354275600.0,386878.0,-0.4714469855318935,11,price_volume_up_oi_down,1.5907449799671343,-0.0031888300344292686,-0.005846750543919921,0.05,0.037037037037037035,10319.0,0.027403408230848286,0.08026006859776143,0.044327667498947426,-0.8042681017353275,0.8042681017353275,12.394417691301689,12.172090336976453,0.2036150088388169,0.7364768782318067,1.5907449799671343,0,1.0,1.0
2018-02-03,53179.20400196478,53250.67699847432,53273.61128019956,53135.67267002551,11483.0,3041950950.0,386057.0,-3.515117346162657,11,price_volume_up_oi_down,1.253978695813385,0.0013217026274632282,-0.009385628700492421,0.1,0.07142857142857142,1699.0,0.004420358103642958,0.08026006859776143,0.044327667498947426,-1.1539786958133849,1.1539786958133849,9.34862295977619,12.313048604622734,0.20730535786458137,-9.645084551572756,1.253978695813385,0,1.0,1.0
2018-02-05,53225.78962234327,53965.89160165096,54146.39839705695,53162.52704026369,213429.0,56937556550.0,386445.0,-0.5936853305172345,11,price_volume_up_oi_down,2.0818022192210863,0.013431089396236828,0.012087754271536966,0.85,0.5862068965517241,4666.0,0.012221730372807304,0.07694137879506319,0.04762270503196772,-0.9166384981169065,0.9166384981169065,12.271059503649699,12.172090336976453,0.2202543114573654,0.30307596683264315,2.0818022192210863,0,1.0,1.0
2018-02-06,53963.17047042384,53238.79853810988,53974.27141112675,52937.1679330057,279687.0,74170602600.0,387170.0,-0.3251927523038205,11,price_volume_up_oi_down,1.9196280833787267,-0.013473196531396558,-0.003910583789837219,0.1,0.06666666666666667,5097.0,0.013340382597042974,0.048774212989661545,0.040088665737847806,-0.5961732757225741,0.5961732757225741,12.541426399740216,12.172090336976453,0.2036150088388169,1.2234548076561527,1.9196280833787267,0,1.0,1.0
