date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,ret_10,close_rank_20,close_rank_60,oi_ret_5,volume_mad_score,speculation_mad_score,volume_to_open_interest,oi_unwind_divergence_score,signal,position,position_scale
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,46,uptrend_oi_unwind_divergence,0.0,,,,,,,8.093877551020409,0.0,0,1.0,1.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,46,uptrend_oi_unwind_divergence,0.0,,,,,,,4.113930803231215,0.0,0,1.0,1.0
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,46,uptrend_oi_unwind_divergence,0.0,,,,,,,4.943608521970706,0.0,0,1.0,1.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,46,uptrend_oi_unwind_divergence,0.0,,,,,,,7.577750206782465,0.0,0,1.0,1.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,46,uptrend_oi_unwind_divergence,0.0,,,,,,,3.243230718305197,0.0,0,1.0,1.0
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,46,uptrend_oi_unwind_divergence,0.0,,,,0.6032644224909856,-1.2287294066127663,-0.737397759853614,3.118200270635995,0.0,0,1.0,1.0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,46,uptrend_oi_unwind_divergence,0.0,,,,0.16687234162972508,-1.6183708053515413,-1.277136477875173,2.32750725572396,0.0,0,1.0,1.0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,46,uptrend_oi_unwind_divergence,0.0,,,,0.0427482340013956,-3.1226370886053787,-2.60137577919472,1.412796631793825,0.0,0,1.0,1.0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,46,uptrend_oi_unwind_divergence,1.0,,1.0,,0.07736686509832857,-2.5165486962316828,-2.1805947369727927,1.0808931419457735,1.0,0,1.0,1.0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,46,uptrend_oi_unwind_divergence,1.0,,1.0,,0.07183556668786295,-1.8229834397189315,-1.4367353161228456,1.3213801601971658,1.0,0,1.0,1.0
2023-08-04,224539.9914795204,222707.8457608564,226063.2341306068,222392.58829134653,13859.0,3167882600.0,16442.0,-0.1709041956432761,46,uptrend_oi_unwind_divergence,0.9,0.040038661088806826,0.9,,0.10656412120988534,-2.1685373404204373,-1.4300726449096248,0.8429023233183311,0.9,0,1.0,1.0
2023-08-07,221536.71889177908,213933.16142895515,222592.38278895983,213691.6035455278,33521.0,7419631950.0,18615.0,0.5882044007797698,46,uptrend_oi_unwind_divergence,0.09090909090909091,0.06277610712066517,0.09090909090909091,,0.182805154772268,-0.2186351564476156,-0.43384396526255625,1.8007520816545797,0.09090909090909091,0,1.0,1.0
