date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,ret_5,close_rank_20,close_rank_60,oi_ret_5,open_interest_mad_score,range_pct,range_mad_score,close_location,downtrend_exhaustion_score,signal,position,position_scale
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,47,downtrend_crowded_exhaustion,0.027560866570153535,,,,,,0.10942174811780317,,0.027560866570153535,0.027560866570153535,0,1.0,1.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,47,downtrend_crowded_exhaustion,0.06507527416051549,,,,,,0.051053100128351146,,0.06507527416051549,0.06507527416051549,0,1.0,1.0
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,47,downtrend_crowded_exhaustion,0.9690599058270912,,,,,,0.07456524859668663,,0.9690599058270912,0.9690599058270912,0,1.0,1.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,47,downtrend_crowded_exhaustion,0.22997314536250135,,,,,,0.07288488069490218,,0.22997314536250135,0.22997314536250135,0,1.0,1.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,47,downtrend_crowded_exhaustion,0.16249246517381766,,,,,,0.041837443903277934,,0.16249246517381766,0.16249246517381766,0,1.0,1.0
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,47,downtrend_crowded_exhaustion,6.7076008055928416,0.029549807090127223,,,0.6032644224909856,0.31068258314469527,0.036128191798946926,-1.1355943658803673,0.6749565806829857,6.7076008055928416,0,1.0,1.0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,47,downtrend_crowded_exhaustion,1.7005011442495352,0.09641026880641701,,,0.16687234162972508,1.3667101472102288,0.022392105465897684,-1.63128834541343,0.03177772795228431,1.7005011442495352,0,1.0,1.0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,47,downtrend_crowded_exhaustion,1.1478380889407633,0.021871190871028512,,,0.0427482340013956,1.8251109449174072,0.015154593850205343,-1.109080896496891,0.7203557489268073,1.1478380889407633,0,1.0,1.0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,47,downtrend_crowded_exhaustion,1.0534855896255904,0.010699844003940306,1.0,,0.07736686509832857,1.0298320172990951,0.008058001186969272,-1.0255668989260402,0.2798169386423046,1.0534855896255904,0,1.0,1.0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,47,downtrend_crowded_exhaustion,1.6422697633231746,0.02625531719280061,1.0,,0.07183556668786295,1.5067773106549212,0.023609443586748186,-0.46076853681187746,0.9239140964445453,1.6422697633231746,0,1.0,1.0
2023-08-04,224539.9914795204,222707.8457608564,226063.2341306068,222392.58829134653,13859.0,3167882600.0,16442.0,-0.1709041956432761,47,downtrend_crowded_exhaustion,1.2515273158841769,0.010187806288192158,0.9,,0.10656412120988534,1.528015045603101,0.016481888308514367,-0.7509682546134904,0.08588610378532337,1.2515273158841769,0,1.0,1.0
2023-08-07,221536.71889177908,213933.16142895515,222592.38278895983,213691.6035455278,33521.0,7419631950.0,18615.0,0.5882044007797698,47,downtrend_crowded_exhaustion,0.8382605691887299,-0.03067662046103148,0.09090909090909091,,0.182805154772268,4.4894304976905826,0.04160542098279558,0.5634096510127159,0.027138959053007575,0.8382605691887299,0,1.0,1.0
2023-08-08,213715.68585718848,211639.1597789407,215440.4469625433,211233.17535545025,31800.0,6910652350.0,20447.0,0.4416301173252139,47,downtrend_crowded_exhaustion,0.9479830919687595,-0.044232195407495456,0.08333333333333333,,0.265705292123533,4.722232387191124,0.0198794571453014,-0.5314599679632307,0.0964958912578867,0.9479830919687595,0,1.0,1.0
2023-08-09,212008.11296035716,212657.0317916213,212967.01628825272,210115.7397790577,27109.0,5848135400.0,20194.0,0.2944802454904577,47,downtrend_crowded_exhaustion,2.242016654630371,-0.041711115302489166,0.15384615384615385,,0.2533184440631455,4.02860383658801,0.013407863756835121,-0.6169975877195745,0.8912822044330793,2.242016654630371,0,1.0,1.0
2023-08-10,212438.06638306292,206395.3513174404,213774.85902255643,206058.0403470176,33810.0,7225699650.0,23910.0,0.3464598352495612,47,downtrend_crowded_exhaustion,2.0074293278144903,-0.07549638940589809,0.07142857142857142,,0.387435399943735,6.438484286418536,0.03738852947162646,1.5992770424737786,0.04371114375046922,2.0074293278144903,0,1.0,1.0
