date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,ret_5,close_rank_20,close_rank_60,oi_ret_5,open_interest_mad_score,volume_mad_score,range_pct,range_mad_score,close_location,crowded_chase_score,signal,position,position_scale
2018-01-02,55613.82794012001,55412.23288912307,55883.62496629107,55112.64680123779,187723.0,51834403750.0,371971.0,-0.6838484221979089,14,uptrend_crowded_chase,0.0,,,,,,,,0.013913501132429883,,0.38857921205145834,0.0,0,1.0,1.0
2018-01-03,55406.77803436197,54882.88638636866,55409.530804718845,54835.60689642022,171685.0,47141035350.0,366919.0,-0.7594797128381782,14,uptrend_crowded_chase,0.0,-0.009552881650043088,,,,,,,0.010457247169149808,,0.08237936992134438,0.0,0,1.0,1.0
2018-01-04,54891.55082706235,55166.48867502227,55610.05543633282,54877.277490479166,188367.0,51900862150.0,369493.0,-0.6737396081247622,14,uptrend_crowded_chase,0.0,0.005167408409555874,,,,,,,0.01328302676957276,,0.39467779588561214,0.0,0,1.0,1.0
2018-01-05,55174.92919894123,54645.80407039207,55298.81875644295,54597.02321839718,168345.0,46114851200.0,360211.0,-0.760674525728906,14,uptrend_crowded_chase,0.0,-0.009438422077168607,,,,,,,0.012842624424406906,,0.06950863798696165,0.0,0,1.0,1.0
2018-01-06,54656.80081080706,54687.526645506194,54716.70565909636,54628.23908472514,5614.0,1529662950.0,359160.0,-4.158504493712917,14,uptrend_crowded_chase,0.0,0.0007635092176587754,,,,,,,0.001617673714605529,,0.6701690576632154,0.0,0,1.0,1.0
2018-01-08,54701.67187800185,54862.0709737602,55062.82202809421,54577.0763925403,155421.0,42427049050.0,356977.0,-0.8315337899951496,14,uptrend_crowded_chase,0.0,0.003191666161562523,-0.009928528172898465,,,-0.04114454031119408,-1.3549103919287446,-0.7516612215548586,0.00885394275010574,-2.5122676681259417,0.5867156807181854,0.0,0,1.0,1.0
2018-01-09,54860.96386352365,54906.74394376454,55304.116396188496,54783.51836386973,170768.0,46819791300.0,357070.0,-0.7376259308185393,14,uptrend_crowded_chase,0.015957632580867586,0.0008142778646782478,0.0004346993929569276,,,-0.027209274257861793,-0.8553036324578854,0.03191526516173517,0.009481495257703953,-0.7506913567941083,0.236700049260573,0.015957632580867586,0,1.0,1.0
2018-01-10,54900.15683638606,55153.09291151541,55461.1973248712,54887.044257157024,139882.0,38429115600.0,351937.0,-0.922652972244378,14,uptrend_crowded_chase,0.0,0.0044866795962839046,-0.00024282429113398063,,,-0.048679613382159204,-1.7379243149306995,-1.4289878824403537,0.010410169899906027,-0.01331159799036538,0.4633758301032467,0.0,0,1.0,1.0
2018-01-11,55163.61422710174,54633.15827746393,55365.11253000942,54437.51128644182,182352.0,50031199450.0,350669.0,-0.6539038734864236,14,uptrend_crowded_chase,1.366729614038184,-0.009427116533348934,-0.00023141379550106755,0.0,,-0.026847212265431963,-1.246662878504711,0.5199200583638942,0.016978722680768683,2.2135391697124738,0.21091712886201477,1.366729614038184,0,1.0,1.0
2018-01-12,54636.395335576206,54634.50639626128,54969.8892355198,54557.69164744847,150686.0,41136756400.0,345358.0,-0.8293833586557814,14,uptrend_crowded_chase,0.1111111111111111,2.467583496623682e-05,-0.0009695126566722223,0.1111111111111111,,-0.03918641148075963,-1.3010015013613818,-0.8960972216522418,0.007544638274603983,-0.8235711061868369,0.1863541928331623,0.1111111111111111,0,1.0,1.0
