factor_id,factor_name,target_trend,segment_id,trend,start_date,end_date,end_signal_date,reversal_start_date,reversal_end_date,days,return,signal_days_in_trend,signal_ratio_in_trend,signal_days_in_reversal_window,signal_ratio_in_reversal_window,has_signal,has_effective_signal,first_signal_date,first_signal_close,days_to_end_first_signal,first_effective_signal_date,first_effective_signal_close,days_to_end_first_effective_signal,max_factor_value_in_trend,mean_factor_value_in_trend,max_factor_value_in_reversal_window,mean_factor_value_in_reversal_window,mean_ret_5_in_trend,mean_ret_5_in_reversal_window,mean_realtime_trend_age_in_trend,mean_realtime_trend_age_in_reversal_window,mean_close_rank_20_in_trend,mean_close_rank_20_in_reversal_window,mean_close_rank_60_in_trend,mean_close_rank_60_in_reversal_window,mean_oi_ret_5_in_trend,mean_oi_ret_5_in_reversal_window,mean_open_interest_mad_score_in_trend,mean_open_interest_mad_score_in_reversal_window,mean_range_pct_in_trend,mean_range_pct_in_reversal_window,mean_range_mad_score_in_trend,mean_range_mad_score_in_reversal_window,mean_close_location_in_trend,mean_close_location_in_reversal_window,mean_downtrend_exhaustion_score_in_trend,mean_downtrend_exhaustion_score_in_reversal_window
47,downtrend_crowded_exhaustion,down_trend,2,down_trend,2023-08-03,2023-09-27,2023-10-11,2023-09-22,2023-10-09,40,-0.3693798049701409,0,0.0,0,0.0,0,0,,,,,,,8.151542079041526,2.891132265585277,4.462935868600943,3.062726738365011,-0.04590459917040356,-0.07712251704448453,18.46153846153846,37.5,0.13524028078683947,0.041666666666666664,0.07456428333399555,0.01710506424792139,0.23944973159471594,0.1512590568607249,2.9998457788927233,0.901312656816835,0.033023791614983984,0.03794197776922734,0.4339317928990198,-0.13763085121511992,0.3375018433602222,0.28597346789523825,2.891132265585277,3.062726738365011
47,downtrend_crowded_exhaustion,down_trend,4,down_trend,2023-10-13,2023-12-05,2023-12-07,2023-11-30,2023-12-07,38,-0.4267785940876712,0,0.0,0,0.0,0,0,,,,,,,6.888849616674304,3.0179779041773744,6.888849616674304,5.245358658657549,-0.042613809535055024,-0.14367190906027832,16.405405405405407,34.0,0.12432432432432435,0.01,0.04306318765468539,0.003333333333333333,0.14392888528194225,0.2912266587968869,1.8087359007924753,2.1234581273014483,0.03848799327796013,0.062062449283495205,0.37507449163759954,1.4399072375255433,0.30883951051970193,0.23818014822087372,3.0179779041773744,5.245358658657549
47,downtrend_crowded_exhaustion,down_trend,6,down_trend,2023-12-13,2023-12-21,2023-12-25,2023-12-18,2023-12-25,7,-0.0737316404869362,0,0.0,0,0.0,0,0,,,,,,,8.600370637313933,3.0533016990714743,1.3704838545205198,1.0995399312021392,0.07106663630909534,0.0008051951345666349,5.166666666666667,3.6666666666666665,0.3333333333333333,0.3583333333333334,0.1111111111111111,0.11944444444444445,-0.15771538991106837,-0.059022665990520196,-0.7798745565395772,-0.9783830007659984,0.07813590261445014,0.050598300137328966,1.498705868757936,-0.4863896337082838,0.5169264307527905,0.42394296176004026,3.0533016990714743,1.0995399312021392
47,downtrend_crowded_exhaustion,down_trend,8,down_trend,2024-01-02,2024-01-08,2024-01-11,2024-01-03,2024-01-10,5,-0.1010373554829563,0,0.0,0,0.0,0,0,,,,,,,2.077698476410717,1.0846341526715757,2.077698476410717,1.3831797370357275,-0.032979230839809935,-0.06388741002641117,3.8,3.6666666666666665,0.5,0.31666666666666665,0.19,0.14722222222222223,-0.06024807792872515,-0.028658106963288372,-1.6453118311855086,-1.027438367579464,0.040530202601734275,0.03913594698369123,-0.1263179694066613,-0.21059961159830454,0.29521469498418,0.30673857126916515,1.0846341526715757,1.3831797370357275
47,downtrend_crowded_exhaustion,down_trend,9,down_trend,2024-01-11,2024-02-20,2024-02-21,2024-02-07,2024-02-22,23,-0.1066736680475842,0,0.0,0,0.0,0,0,,,,,,,4.909735399234409,1.699874730731648,10.101683925459783,3.768900980196689,-0.0017353830718116268,-0.029259622017006676,6.7272727272727275,10.166666666666666,0.34545454545454546,0.09166666666666667,0.23939393939393935,0.11944444444444445,-0.032470655888353406,0.03929284205802741,-1.808864348881049,0.4221912209609901,0.027249967317774147,0.03896223969562588,0.027150331865460373,1.6474421994889654,0.40401456805346797,0.29065335822812993,1.699874730731648,3.768900980196689
47,downtrend_crowded_exhaustion,down_trend,13,down_trend,2024-03-21,2024-03-29,2024-04-01,2024-03-26,2024-04-02,7,-0.0853369073349613,0,0.0,0,0.0,0,0,,,,,,,4.749474189009731,1.9645127266711082,5.945272908921908,2.1618140235476475,-0.0404938013867349,-0.03211570465536447,3.1666666666666665,2.8333333333333335,0.2833333333333333,0.16666666666666666,0.7583333333333334,0.7000000000000001,-0.0164407374361432,-0.022444080279885092,-0.8876844499394161,-1.576111040128235,0.034813787018294386,0.03253493586464983,0.17669600437132718,0.032759210216784,0.4445150957476245,0.5731629476033859,1.9645127266711082,2.1618140235476475
47,downtrend_crowded_exhaustion,down_trend,15,down_trend,2024-04-10,2024-04-19,2024-04-29,2024-04-16,2024-04-23,8,-0.0689019805261566,0,0.0,0,0.0,0,0,,,,,,,7.805645274404176,2.7179515742663334,4.511622866713505,2.5396503223735802,-0.014743064246190636,-0.032466215509812414,5.142857142857143,3.5,0.3857142857142857,0.2916666666666667,0.645238095238095,0.5388888888888889,-0.05439470515883725,-0.039284047115987576,-1.6272457562746603,-1.1200412333264524,0.032308670698198795,0.031187079104989985,1.2104399438370652,1.1247262147639725,0.4051803315602286,0.3850072632430585,2.7179515742663334,2.5396503223735802
47,downtrend_crowded_exhaustion,down_trend,17,down_trend,2024-04-29,2024-05-15,2024-05-24,2024-05-10,2024-05-17,10,-0.1036900461723847,0,0.0,0,0.0,0,0,,,,,,,3.7127273633708726,1.4124857940298843,3.7127273633708726,2.4225077337733048,-0.0008043131668156548,-0.049516757745485473,3.0,3.5,0.5222222222222223,0.06666666666666667,0.55,0.21944444444444441,0.06258270361257187,0.0365978982453307,2.773765594397479,0.7116578406243415,0.03649051538213087,0.03235793395479897,0.7070375723568623,0.3866887611397998,0.42780638134880006,0.4070451489612956,1.4124857940298843,2.4225077337733048
47,downtrend_crowded_exhaustion,down_trend,19,down_trend,2024-05-24,2024-06-24,2024-06-26,2024-06-19,2024-06-26,21,-0.1535742292934452,0,0.0,0,0.0,0,0,,,,,,,6.698184187609354,2.0175885809439373,3.2257472229438138,2.376468310572283,-0.028183230330817467,-0.03291889152102769,6.714285714285714,11.833333333333334,0.09285714285714286,0.06666666666666667,0.044444444444444446,0.022222222222222223,0.013424983681084055,0.010649396985276264,0.8751068137344453,0.8036588295419937,0.025560919138814992,0.0343950396109865,0.04240809395114305,0.5149059744506862,0.3794432971145283,0.531585647358782,2.0175885809439373,2.376468310572283
47,downtrend_crowded_exhaustion,down_trend,20,down_trend,2024-06-26,2024-08-15,2024-08-21,2024-08-12,2024-08-19,37,-0.241046946663657,0,0.0,0,0.0,0,0,,,,,,,16.414637727057936,2.302476299005863,16.414637727057936,5.679663716015936,-0.02799545106153421,-0.06948499989801502,11.277777777777779,25.5,0.08472222222222221,0.0125,0.02824074074074074,0.004166666666666667,0.00823599710603832,0.05784137478150342,0.2745038729631951,0.9024801637157294,0.029104179833956585,0.03505174560035875,0.47931303772062556,3.4794310697578705,0.3603772513257357,0.3086510179786167,2.302476299005863,5.679663716015936
