segment_id,trend,start_date,end_date,start_close,end_close,return,highest_close,lowest_close,days,mean_speculation,max_speculation,mean_volume,mean_open_interest
1,down_trend,2023-07-21,2023-09-27,214134.19913419912,140785.90414311024,-0.34253423921846826,223249.91373998765,140785.90414311024,49,0.6527579117156305,2.091107917975069,89619.38775510204,43979.4081632653
2,up_trend,2023-09-27,2023-10-13,140785.90414311024,159604.77838890062,0.13367015938371798,159604.77838890062,140785.90414311024,7,0.733186896187281,1.215383281344587,243963.7142857143,110417.57142857143
3,down_trend,2023-10-13,2023-12-05,159604.77838890062,91488.87545841128,-0.42677859408767127,159604.77838890062,91488.87545841128,38,0.8918105957356592,1.3379614333609042,519361.7631578947,205528.42105263157
4,up_trend,2023-12-12,2024-01-02,93946.71264616384,107455.72087803832,0.14379436865187747,107455.72087803832,93946.71264616384,15,0.24965098979846043,1.3118435482351096,455847.6,294007.3333333333
5,down_trend,2024-01-02,2024-02-20,107455.72087803832,92872.2501205509,-0.13571609439054047,107455.72087803832,92872.2501205509,30,-0.7837242915578086,-0.09116697826169434,127246.4,256077.13333333333
6,up_trend,2024-02-20,2024-03-12,92872.2501205509,119641.97952520676,0.28824249837715743,119641.97952520676,92872.2501205509,16,0.14556361208827234,0.8291766326536015,388062.625,302360.6875
7,down_trend,2024-03-12,2024-03-29,119641.97952520676,107153.30544336088,-0.10438371323683009,119641.97952520676,107153.30544336088,14,-0.02281076211224483,0.37130933543919575,312812.5714285714,312889.5
8,up_trend,2024-03-29,2024-04-29,107153.30544336088,115988.79717510032,0.08245654854212323,115988.79717510032,107153.30544336088,20,-0.44835318766712556,0.08933917331193372,183218.9,276153.55
9,down_trend,2024-04-29,2024-08-15,115988.79717510032,73109.08419046688,-0.36968840119878893,115988.79717510032,73109.08419046688,75,-0.5843576157104642,0.16262183271396638,176167.98666666666,303656.30666666664
10,up_trend,2024-08-15,2024-08-30,73109.08419046688,79670.3611412982,0.08974639777647338,79670.3611412982,73109.08419046688,12,-0.2828495367178614,0.09830431608871713,258228.5,334794.3333333333
11,down_trend,2024-08-30,2024-09-05,79670.3611412982,71637.97283115204,-0.10082028241218123,79670.3611412982,71637.97283115204,5,-0.1964433929293054,0.03363132804770476,299856.8,359918.2
12,up_trend,2024-09-05,2024-09-30,71637.97283115204,81153.9695800031,0.13283453415522936,81153.9695800031,71637.97283115204,16,-0.10890103134928283,0.5987226285877185,381409.0625,405599.75
13,down_trend,2024-09-30,2024-10-17,81153.9695800031,71155.55012631086,-0.1232030855106307,81153.9695800031,71155.55012631086,9,-0.27675492795226714,0.3406219511191629,360972.0,452457.44444444444
14,up_trend,2024-10-17,2024-11-13,71155.55012631086,86234.36081249446,0.21191334561276867,86234.36081249446,71155.55012631086,20,-0.1480051261856799,0.45526909662035203,391594.45,437343.25
15,down_trend,2024-11-13,2025-06-20,86234.36081249446,59074.355492316274,-0.31495572141172506,86234.36081249446,59074.355492316274,146,-0.6312188976985963,0.7556885724856357,259662.54794520547,428075.9589041096
16,up_trend,2025-06-20,2025-07-25,59074.355492316274,79578.45873826499,0.34708974943646503,79578.45873826499,59074.355492316274,26,0.11475287528085619,1.076419870527918,844006.6923076923,643557.4230769231
17,down_trend,2025-07-25,2025-08-05,79578.45873826499,68017.81882734837,-0.1452734834804954,79578.45873826499,68017.81882734837,8,0.4290405093391303,0.7487398788718954,1200351.75,743022.75
18,up_trend,2025-08-05,2025-08-18,68017.81882734837,88979.04766675524,0.3081726112478464,88979.04766675524,68017.81882734837,10,0.17582934397957048,0.9572856032996698,1198745.5,810963.7
19,down_trend,2025-08-18,2025-09-10,88979.04766675524,70827.04237735186,-0.20400314192377472,88979.04766675524,70827.04237735186,18,0.15288781696748963,0.4444542353827318,949585.3888888889,796390.2777777778
20,up_trend,2025-09-10,2025-11-19,70827.04237735186,99785.99208447618,0.4088685442043029,99785.99208447618,70827.04237735186,45,-0.09842559012741757,0.7972606264922603,817515.9777777778,811954.0
21,up_trend,2025-11-24,2025-12-26,91310.30934205856,130537.55436496645,0.4296036811786308,130537.55436496645,91310.30934205856,25,-0.09672385899164182,0.35686389309812816,997182.4,1058735.8
22,up_trend,2025-12-29,2026-01-13,119352.66209023353,167443.3787281536,0.4029295685215828,167443.3787281536,119352.66209023353,10,-0.3405951609345499,0.27104476012780826,783041.2,961055.2
23,up_trend,2026-01-16,2026-01-23,146675.0696779114,182015.7536821401,0.2409454045723956,182015.7536821401,146675.0696779114,6,-0.3963752574432877,0.06224932216769868,582219.3333333334,841359.0
24,down_trend,2026-01-27,2026-02-02,179713.01714470427,133342.39018163507,-0.25802597774946784,179713.01714470427,133342.39018163507,5,-0.10083786901932301,0.24245787828542786,690383.2,752832.4
25,up_trend,2026-02-05,2026-02-27,132814.57151833372,176159.30346692898,0.3263552444063862,176159.30346692898,132814.57151833372,11,-0.41728770633242307,0.20072948877427937,456647.2727272727,664207.0
26,down_trend,2026-02-27,2026-03-19,176159.30346692898,142430.6882440164,-0.19146655645833982,176159.30346692898,142430.6882440164,15,-0.6175011610572356,-0.10611834335789778,352936.0,635683.5333333333
27,up_trend,2026-03-19,2026-03-30,142430.6882440164,172017.1987204765,0.20772567233384162,172017.1987204765,142430.6882440164,8,-0.5427125160751403,-0.2689398453319991,358983.25,610694.625
28,down_trend,2026-03-30,2026-04-09,172017.1987204765,152942.5090462755,-0.11088827056878708,172017.1987204765,152942.5090462755,8,-0.6011570569434352,-0.2515326141525883,354212.125,633173.875
29,up_trend,2026-04-09,2026-04-20,152942.5090462755,179142.06795832145,0.1713033157061574,179142.06795832145,152942.5090462755,8,-0.7170246757395966,-0.4683681892158458,332066.875,675156.75
