date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,is_up_day,price_up_ratio,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position_scale,is_effective_signal,open,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,214134.19913419912,no_trend,,0,,31,price_up_speculation_up,,-0.0904190260152219,0,,2.091107917975069,,,,0,1.0,0,235420.71047957373,1.0,0.0,1.0,-0.0904190260152219,-0.0904190260152219,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.0,0.0
2023-07-24,201296.54778235024,up_trend,1.0,0,,31,price_up_speculation_up,,-0.04396360588005914,0,,1.4143789712621873,,,,0,1.0,0,210553.2268650186,1.0,0.0,1.0,-0.04396360588005914,-0.04396360588005914,0.865617368104719,0.865617368104719,0.9095809739847781,0.9095809739847781,-0.04833391103978257,-0.04833391103978257
2023-07-25,216694.29427430092,up_trend,1.0,0,,31,price_up_speculation_up,,0.07528039201736908,1,,1.598095534571003,,,,0,1.0,0,201523.5243597752,1.0,0.0,1.0,0.07528039201736908,0.07528039201736908,0.940897760122088,0.940897760122088,0.940897760122088,0.940897760122088,0.0,0.0
2023-07-26,219563.98194099808,up_trend,1.0,0,,31,price_up_speculation_up,,0.0076485657643723445,1,,2.025216349105437,,,,0,1.0,0,217897.3795039775,1.0,0.0,1.0,0.0076485657643723445,0.0076485657643723445,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.0,0.0
2023-07-27,217538.3747103608,up_trend,1.0,0,,31,price_up_speculation_up,,-0.02976886491747775,0,0.4,1.176569968274467,,,,0,1.0,0,224212.93941660432,1.0,0.0,1.0,-0.02976886491747775,-0.02976886491747775,0.9187774609689826,0.9187774609689826,0.9485463258864604,0.9485463258864604,-0.03138367004864773,-0.03138367004864773
2023-07-28,220461.82341001357,up_trend,1.0,0,,31,price_up_speculation_up,-0.737397759853614,0.01700559061495918,1,0.5,1.137255999052689,1.598095534571003,0.421525566296536,-0.737397759853614,0,1.0,0,216775.42920556173,1.0,0.0,1.0,0.01700559061495918,0.01700559061495918,0.9357830515839418,0.9357830515839418,0.9485463258864604,0.9485463258864604,-0.01345561513887128,-0.01345561513887128
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,31,price_up_speculation_up,-1.277136477875173,-0.003551572546723737,1,0.5714285714285714,0.8447978475536825,1.5062372529165953,0.3493242692530173,-1.277136477875173,0,1.0,0,221490.2407221665,1.0,0.0,1.0,-0.003551572546723737,-0.003551572546723737,0.932231479037218,0.932231479037218,0.9485463258864604,0.9485463258864604,-0.017199841909666724,-0.017199841909666724
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,31,price_up_speculation_up,-2.60137577919472,9.14621932092303e-06,1,0.625,0.3455711668003232,1.4143789712621873,0.2771229722094983,-2.60137577919472,0,1.0,0,221431.6312827727,1.0,0.0,1.0,9.14621932092303e-06,9.14621932092303e-06,0.932240625256539,0.932240625256539,0.9485463258864604,0.9485463258864604,-0.017190199555812913,-0.017190199555812913
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,31,price_up_speculation_up,-2.1805947369727927,0.0017238405618070754,1,0.6666666666666666,0.0777876826569847,1.2954744697683271,0.3766488435086603,-2.1805947369727927,0,1.0,0,221531.3974879472,1.0,0.0,1.0,0.0017238405618070754,0.0017238405618070754,0.9339644658183461,0.9339644658183461,0.9485463258864604,0.9485463258864604,-0.0153728496649721,-0.0153728496649721
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,31,price_up_speculation_up,-1.4367353161228456,0.014994200799303957,1,0.7,0.278676766271454,1.176569968274467,0.421525566296536,-1.4367353161228456,0,1.0,0,219951.91062587276,1.0,0.0,1.0,0.014994200799303957,0.014994200799303957,0.94895866661765,0.94895866661765,0.94895866661765,0.94895866661765,0.0,0.0
2023-08-04,222707.8457608564,down_trend,2.0,1,1.0,31,price_up_speculation_up,-1.4300726449096248,-0.008159551920313908,0,0.7,-0.1709041956432761,1.156912983663578,0.6262621838853399,-1.4300726449096248,0,1.0,0,224539.9914795204,1.0,0.0,1.0,-0.008159551920313908,-0.008159551920313908,0.9407991146973361,0.9407991146973361,0.94895866661765,0.94895866661765,-0.008598427104730244,-0.008598427104730244
2023-08-07,213933.16142895515,down_trend,2.0,1,1.0,31,price_up_speculation_up,-0.4338439652625562,-0.034321883527300374,0,0.7,0.5882044007797698,0.9910269233031856,0.6262621838853399,-0.4338439652625562,0,1.0,0,221536.71889177908,1.0,0.0,1.0,-0.034321883527300374,-0.034321883527300374,0.9064772311700358,0.9064772311700358,0.94895866661765,0.94895866661765,-0.04476637069876799,-0.04476637069876799
2023-08-08,211639.1597789407,down_trend,2.0,0,,31,price_up_speculation_up,-0.4129621512865118,-0.009716301683327938,0,0.6,0.4416301173252139,0.7165011241667261,0.4489466010015065,-0.4129621512865118,0,1.0,0,213715.68585718848,1.0,0.0,1.0,-0.009716301683327938,-0.009716301683327938,0.8967609294867078,0.8967609294867078,0.94895866661765,0.94895866661765,-0.05500527996334059,-0.05500527996334059
2023-08-09,212657.0317916213,down_trend,2.0,0,,31,price_up_speculation_up,-0.3876942848963997,0.0030608207497487333,1,0.6,0.2944802454904577,0.5149172590524919,0.3835050824483489,-0.3876942848963997,0,1.0,0,212008.11296035716,1.0,0.0,1.0,0.0030608207497487333,0.0030608207497487333,0.8998217502364565,0.8998217502364565,0.94895866661765,0.94895866661765,-0.051779827836265,-0.051779827836265
