date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest_rank_10,log_open_interest,delta_log_open_interest,oi_change_rate,log_open_interest_median_past,log_open_interest_mad_past,log_open_interest_mad_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2018-01-02,3917.31118326928,3935.989301179684,3944.1479647656174,3915.6471933122,59048.0,2294692290.0,145717.0,-0.903315712032744,13,price_up_oi_down,,,,,,0,,11.889421663482633,,,,,,0,1.0,1.0,1.0,position,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2018-01-03,3940.3175974782425,3895.016572041342,3948.631727540601,3892.5993833141297,67196.0,2594582890.0,152003.0,-0.816286535545645,13,price_up_oi_down,,-0.01040976638987856,,,,0,,11.93165553647575,0.0422338729931173,4.313841212761682,,,,0,1.0,1.0,1.0,position,1.0,-0.01040976638987856,-0.01040976638987856,0.9895902336101214,0.9895902336101214,1.0,1.0,-0.01040976638987856,-0.01040976638987856
2018-01-04,3899.895359657864,3887.952313912835,3903.548822259914,3860.6339553277294,64829.0,2479841590.0,149876.0,-0.8380552514419177,13,price_up_oi_down,,-0.001813665743867321,,,,0,,11.917563564534412,-0.0140919719413385,-1.3993144872141317,,,,0,1.0,1.0,1.0,position,1.0,-0.001813665743867321,-0.001813665743867321,0.9877954477029571,0.9877954477029571,1.0,1.0,-0.01220455229704287,-0.01220455229704287
2018-01-05,3888.7156204360094,3873.029756738988,3893.984273513355,3871.241328073636,40576.0,1552717600.0,152100.0,-1.3213614404504863,13,price_up_oi_down,,-0.003838153343714512,,,,0,,11.932293478247384,0.0147299137129728,1.483893351837562,,,,0,1.0,1.0,1.0,position,1.0,-0.003838153343714512,-0.003838153343714512,0.9840041373024501,0.9840041373024501,1.0,1.0,-0.015995862697549934,-0.015995862697549934
2018-01-08,3866.34181607485,3797.850739578664,3886.155121584457,3795.29514700716,113466.0,4287520340.0,165094.0,-0.3750117760813744,13,price_up_oi_down,,-0.019410906159322394,3877.9677366903024,,,0,,12.014270287636702,0.0819768093893174,8.543063773832937,,,,0,1.0,1.0,1.0,position,1.0,-0.019410906159322394,-0.019410906159322394,0.9649037253328873,0.9649037253328873,1.0,1.0,-0.03509627466711274,-0.03509627466711274
2018-01-09,3797.808592517056,3800.229308924485,3811.4158838184367,3795.16261198922,43229.0,1631729380.0,163875.0,-1.3325923757560751,13,price_up_oi_down,3.5995097452252507,0.0006262935299254924,3850.815738239263,,,0,0.8,12.006859221066,-0.0074110665707003,-0.7383672332125002,11.93165553647575,0.0140919719413385,3.5995097452252507,0,1.0,1.0,1.0,position,1.0,0.0006262935299254924,0.0006262935299254924,0.9655080382930643,0.9655080382930643,1.0,1.0,-0.03449196170693569,-0.03449196170693569
2018-01-10,3799.157857221187,3799.708462046998,3816.6885966252494,3782.75554566184,51490.0,1936350960.0,166390.0,-1.172946816369366,13,price_up_oi_down,2.1340530390616483,-0.00013705669714814128,3831.754116240394,,,0,1.0,12.022089709409553,0.0152304883435512,1.5347063310449327,11.931974507361566,0.0284818933530441,2.1340530390616483,0,1.0,1.0,1.0,position,1.0,-0.00013705669714814128,-0.00013705669714814128,0.9653757089502659,0.9653757089502659,1.0,1.0,-0.03462429104973408,-0.03462429104973408
2018-01-11,3806.581727243216,3801.120774504377,3808.714679042477,3787.398806726588,35442.0,1330665940.0,164389.0,-1.534338012854685,13,price_up_oi_down,1.2223918944892442,0.00037168968921852397,3814.387808358703,,,0,0.7142857142857143,12.009990849389975,-0.0120988600195772,-1.2025963098743486,11.932293478247384,0.0428718147647515,1.2223918944892442,0,1.0,1.0,1.0,position,1.0,0.00037168968921852397,0.00037168968921852397,0.9657345291475048,0.9657345291475048,1.0,1.0,-0.034265470852495206,-0.034265470852495206
2018-01-12,3798.975281157873,3800.343543616794,3813.8826832239088,3761.1406243381753,88440.0,3310382150.0,163985.0,-0.6174506042372856,13,price_up_oi_down,0.6015748491315301,-0.00020447413636437428,3799.850565734263,,,0,0.625,12.007530239208668,-0.0024606101813073,-0.2457585361551273,11.969576349656691,0.0425542188566456,0.6015748491315301,0,1.0,1.0,1.0,position,1.0,-0.00020447413636437428,-0.00020447413636437428,0.9655370614137001,0.9655370614137001,1.0,1.0,-0.034462938586299896,-0.034462938586299896
2018-01-15,3794.343866227576,3780.729048908599,3805.243245848698,3777.2567195933498,55531.0,2082831090.0,165063.0,-1.0893857958332067,13,price_up_oi_down,0.3198868981424361,-0.005161242525334342,3796.4262276002505,3837.1969821452767,,0,0.7777777777777778,12.014082498190524,0.0065522589818556,0.6573771991341459,12.006859221066,0.0152304883435512,0.3198868981424361,0,1.0,1.0,1.0,position,1.0,-0.005161242525334342,-0.005161242525334342,0.9605536904725454,0.9605536904725454,1.0,1.0,-0.03944630952745465,-0.03944630952745465
2018-01-16,3775.343442841234,3749.658201788607,3794.786903106584,3748.627851999784,62722.0,2336578270.0,166610.0,-0.9769434886521264,13,price_up_oi_down,0.9956739014566096,-0.008218215777446747,3786.312006173074,3818.563872206169,,0,1.0,12.023411030923114,0.0093285327325904,0.9372179107370204,12.007194730137336,0.0109852683857916,0.9956739014566096,0,1.0,1.0,1.0,position,1.0,-0.008218215777446747,-0.008218215777446747,0.9526596529784191,0.9526596529784191,1.0,1.0,-0.04734034702158085,-0.04734034702158085
2018-01-17,3751.528450010511,3743.9429067084766,3763.11097230281,3737.481073012977,52828.0,1958590080.0,167743.0,-1.1553916930365238,13,price_up_oi_down,1.5343606826160594,-0.001524217614662704,3775.158895105371,3803.4565056728825,,0,1.0,12.03018832520022,0.0067772942771053,0.6800312106116868,12.00876054429932,0.0094194542238064,1.5343606826160594,0,1.0,1.0,1.0,position,1.0,-0.001524217614662704,-0.001524217614662704,0.951207592354571,0.951207592354571,1.0,1.0,-0.048792407645429026,-0.048792407645429026
2018-01-18,3736.474846384448,3763.179022802085,3771.933066825775,3727.451394310712,50242.0,1875778040.0,166476.0,-1.197999824601802,13,price_up_oi_down,0.9361755633008856,0.00513792987044237,3767.570544764913,3790.979176561807,,0,0.8,12.022606433868726,-0.007581891331494,-0.7553221296865753,12.012036673790249,0.0076152441717756,0.9361755633008856,0,1.0,1.0,1.0,position,1.0,0.00513792987044237,0.00513792987044237,0.9560948302563211,0.9560948302563211,1.0,1.0,-0.04390516974367886,-0.04390516974367886
2018-01-19,3760.131580211335,3771.182426267581,3787.40670584903,3750.338506915094,56857.0,2123427360.0,168786.0,-1.088092296670499,13,price_up_oi_down,1.967211356869759,0.002126766602651875,3761.73832129507,3780.7944435146665,,0,1.0,12.03638691931579,0.0137804854470644,1.3875873999856347,12.014176392913612,0.0076152441717756,1.967211356869759,0,1.0,1.0,1.0,position,1.0,0.002126766602651875,0.002126766602651875,0.9581282208102784,0.9581282208102784,1.0,1.0,-0.041871779189721625,-0.041871779189721625
2018-01-22,3782.681810089021,3766.020217555929,3797.252606469147,3739.3455020172846,73929.0,2751982900.0,170347.0,-0.8347323599817551,13,price_up_oi_down,2.755505120914941,-0.0013688568009055935,3758.7965550245353,3777.611391312393,,0,1.0,12.04559281213275,0.0092058928169596,0.9248397378929908,12.018179998523127,0.0067100907665693,2.755505120914941,0,1.0,1.0,1.0,position,1.0,-0.0013688568009055935,-0.0013688568009055935,0.9568166804790826,0.9568166804790826,1.0,1.0,-0.04318331952091736,-0.04318331952091736
2018-01-23,3765.974886767799,3756.9600905796033,3778.627127681391,3751.92845889388,44264.0,1646157880.0,169133.0,-1.3405136820676302,13,price_up_oi_down,1.05265132683228,-0.0024057563297430473,3760.2569327827346,3773.284469477905,,0,0.9,12.038440666645576,-0.0071521454871739,-0.7126629761604719,12.02234807163914,0.0103113978488904,1.05265132683228,0,1.0,1.0,1.0,position,1.0,-0.0024057563297430473,-0.0024057563297430473,0.9545148126936164,0.9545148126936164,1.0,1.0,-0.04548518730638362,-0.04548518730638362
2018-01-24,3764.331046696972,3783.405337311839,3803.273404419015,3756.484596267466,76434.0,2854655410.0,172259.0,-0.8125715348102537,13,price_up_oi_down,2.074466318855437,0.007039001238939413,3768.149418903407,3771.654157004389,,0,1.0,12.056754437148095,0.0183137705025195,1.8482496023839,12.02300873239592,0.0109720586056694,2.074466318855437,0,1.0,1.0,1.0,position,1.0,0.007039001238939413,0.007039001238939413,0.9612336436427528,0.9612336436427528,1.0,1.0,-0.038766356357247234,-0.038766356357247234
2018-01-25,3776.048427843842,3754.751290055058,3793.2919201144177,3743.3386637521935,69750.0,2592617930.0,173636.0,-0.9120437332977994,13,price_up_oi_down,2.099870593183718,-0.007573612844015365,3766.463872354002,3767.0172085594577,,0,1.0,12.064716432981411,0.0079619958333161,0.7993776812822873,12.026799678061668,0.012179084227526,2.099870593183718,0,1.0,1.0,1.0,position,1.0,-0.007573612844015365,-0.007573612844015365,0.9539536321731603,0.9539536321731603,1.0,1.0,-0.046046367826839685,-0.046046367826839685
2018-01-26,3749.9181971395255,3750.435630748788,3766.821999100336,3736.364524334408,54214.0,2002012480.0,174602.0,-1.1695699204193617,13,price_up_oi_down,2.170022537006304,-0.0011493861970832686,3762.314513250243,3762.026417272657,,0,1.0,12.070264377075755,0.0055479440943457,0.5563362436361796,12.033287622258005,0.011493189132012,2.170022537006304,0,1.0,1.0,1.0,position,1.0,-0.0011493861970832686,-0.0011493861970832686,0.952857171035683,0.952857171035683,1.0,1.0,-0.047142828964316985,-0.047142828964316985
2018-01-29,3756.255808904607,3711.0213327724296,3757.3456034005017,3697.548560001312,92627.0,3398308640.0,180661.0,-0.6680416711401992,13,price_up_oi_down,3.135459673201961,-0.01050925861870855,3751.314736293544,3755.0556456590393,3796.1263139021585,0,1.0,12.10437762594812,0.0341132488723623,3.470177890287629,12.037413792980685,0.0144050605847629,3.135459673201961,0,1.0,1.0,1.0,position,1.0,-0.01050925861870855,-0.01050925861870855,0.942843348598578,0.942843348598578,1.0,1.0,-0.05715665140142201,-0.05715665140142201
2018-01-30,3715.139539265508,3719.250097025318,3726.802616313285,3705.34783813133,43986.0,1615575300.0,175212.0,-1.3821252678379228,13,price_up_oi_down,1.2839183260453944,0.0022173853273812494,3743.772737582686,3752.014835182711,3785.28935369444,0,0.9,12.073751948289564,-0.0306256776585556,-3.0161462628902846,12.042016739389162,0.0166717031124905,1.2839183260453944,0,1.0,1.0,1.0,position,1.0,0.0022173853273812494,0.0022173853273812494,0.9449339956057795,0.9449339956057795,1.0,1.0,-0.05506600439422049,-0.05506600439422049
2018-01-31,3719.768302287358,3718.947389725375,3726.792311555495,3686.0488308499353,70579.0,2572392940.0,175403.0,-0.9103535337275276,13,price_up_oi_down,0.94244013646803,-8.138933710999385e-05,3730.881148065394,3749.5152834844,3776.485894578642,0,0.9,12.07484146253678,0.0010895142472158,0.1090107983471755,12.051173624640423,0.0169387288799836,0.94244013646803,0,1.0,1.0,1.0,position,1.0,-8.138933710999385e-05,-8.138933710999385e-05,0.9448570880542645,0.9448570880542645,1.0,1.0,-0.05514291194573551,-0.05514291194573551
2018-02-01,3727.292730519721,3717.5921356977647,3731.689511404357,3706.195928840232,44677.0,1642704320.0,173798.0,-1.3584348774745656,13,price_up_oi_down,0.2266185610245452,-0.0003644187146488731,3723.449317193935,3744.9565947739698,3767.967885667888,0,0.6,12.065648984267357,-0.0091924782694245,-0.9150356607355636,12.060735435064752,0.014624325202015,0.2266185610245452,0,1.0,1.0,1.0,position,1.0,-0.0003644187146488731,-0.0003644187146488731,0.9445127644487089,0.9445127644487089,1.0,1.0,-0.05548723555129109,-0.05548723555129109
2018-02-02,3721.624442185426,3720.728670708265,3727.7991186697423,3689.472826989243,55878.0,2040637800.0,175838.0,-1.146392373846709,13,price_up_oi_down,0.8981140669265789,0.000843700679367787,3717.5079251858306,3739.911219218037,3760.352831366352,0,0.9,12.07731839559642,0.0116694113290662,1.1737764531236872,12.065182708624384,0.0091139967887876,0.8981140669265789,0,1.0,1.0,1.0,position,1.0,0.000843700679367787,0.000843700679367787,0.9453096505097458,0.9453096505097458,1.0,1.0,-0.0546903494902542,-0.0546903494902542
2018-02-05,3736.791607826166,3768.035754235275,3801.160457678015,3732.915753689869,117779.0,4378494940.0,172539.0,-0.3818133107995921,13,price_up_oi_down,-0.7952905293558243,0.012714467437370258,3728.9108094784,3740.112772885972,3758.8620820991823,0,0.3,12.058378576856269,-0.0189398187401526,-1.87615873701924,12.067956680671555,0.0081232483950435,-0.7952905293558243,0,1.0,1.0,1.0,position,1.0,0.012714467437370258,0.012714467437370258,0.9573287592793839,0.9573287592793839,1.0,1.0,-0.04267124072061612,-0.04267124072061612
2018-02-06,3771.4485202844585,3777.800283634744,3785.29443858101,3756.0203477876,53166.0,1972760250.0,170642.0,-1.1661487003825302,13,price_up_oi_down,-1.7132527022967536,0.00259141102588889,3740.620846800285,3742.196792191486,3757.7406308346954,0,0.1,12.047323073657887,-0.0110555031983814,-1.0994615710071542,12.067956680671555,0.0081232483950435,-1.7132527022967536,0,1.0,1.0,1.0,position,1.0,0.00259141102588889,0.00259141102588889,0.959809591581581,0.959809591581581,1.0,1.0,-0.04019040841841903,-0.04019040841841903
2018-02-07,3784.130637745253,3762.095033071627,3788.356218309532,3749.0870079939978,70836.0,2638802900.0,169783.0,-0.8741538050329442,13,price_up_oi_down,-2.1322863580740616,-0.004157247441362033,3749.2503754695354,3740.0657617674647,3755.8599593859262,0,0.0,12.042276430061634,-0.0050466435962537,-0.5033930685294341,12.067956680671555,0.0081232483950435,-2.1322863580740616,0,1.0,1.0,1.0,position,1.0,-0.004157247441362033,-0.004157247441362033,0.9558194256127837,0.9558194256127837,1.0,1.0,-0.04418057438721634,-0.04418057438721634
2018-02-08,3755.493261519061,3772.841737735121,3782.168345700567,3752.732745000944,51035.0,1896593100.0,168265.0,-1.1930284457415412,13,price_up_oi_down,-2.878000855452347,0.0028565744801827275,3760.300295877006,3741.8748065354703,3754.446007547463,0,0.0,12.03329539657914,-0.0089810334824935,-0.8940824464168773,12.067956680671555,0.0081232483950435,-2.878000855452347,0,1.0,1.0,1.0,position,1.0,0.0028565744801827275,0.0028565744801827275,0.958549794991652,0.958549794991652,1.0,1.0,-0.04145020500834795,-0.04145020500834795
2018-02-09,3774.6516969448458,3791.0213498408993,3815.958394753467,3767.5976220236817,73232.0,2723882390.0,161219.0,-0.7891312052205527,13,price_up_oi_down,-5.515472166651992,0.004818546170105575,3774.3588317035337,3745.9333784446817,3753.9798978586687,0,0.0,11.990518968113976,-0.0427764284651637,-4.187442427123845,12.067956680671555,0.0094699093700763,-5.515472166651992,0,1.0,1.0,1.0,position,1.0,0.004818546170105575,0.004818546170105575,0.9631686114351645,0.9631686114351645,1.0,1.0,-0.03683138856483548,-0.03683138856483548
2018-02-12,3791.72138378807,3839.5362849803137,3845.191361518701,3777.0618309327824,68932.0,2585945490.0,160769.0,-0.8468480406702606,13,price_up_oi_down,-3.341046617434023,0.01279732575007797,3788.658937852541,3758.7848736654696,3756.9202596622554,1,0.0,11.987723831071728,-0.0027951370422485,-0.2791234283801125,12.062013780561813,0.014997660969267,-3.341046617434023,0,1.0,1.0,1.0,position,1.0,0.01279732575007797,0.01279732575007797,0.9754945939079506,0.9754945939079506,1.0,1.0,-0.02450540609204943,-0.02450540609204943
2018-02-13,3850.91807658612,3857.932117733205,3869.0997598328186,3832.5536742942622,68574.0,2599971160.0,152956.0,-0.8022368441900266,13,price_up_oi_down,-3.8327293999037426,0.004791160022332042,3804.685304672233,3772.653075736259,3762.333955459485,1,0.0,11.93790557731568,-0.0498182537560474,-4.859767741293286,12.052850825257078,0.0202282758552119,-3.8327293999037426,0,1.0,1.0,1.0,position,1.0,0.004791160022332042,0.004791160022332042,0.9801683446082834,0.9801683446082834,1.0,1.0,-0.019831655391716607,-0.019831655391716607
2018-02-14,3854.273550783882,3817.072889035114,3859.863093797624,3809.129619531879,45207.0,1700907620.0,145893.0,-1.171621534206459,13,price_up_oi_down,-4.086656927858836,-0.010590966209664376,3815.6808758649304,3782.465625667233,3765.990454575817,1,0.0,11.890628755292724,-0.0472768220229564,-4.617667826041516,12.04479975185976,0.0254454715423078,-4.086656927858836,0,1.0,1.0,1.0,position,1.0,-0.010590966209664376,-0.010590966209664376,0.9697874147907544,0.9697874147907544,1.0,1.0,-0.030212585209245635,-0.030212585209245635
2018-02-22,3793.0538030610087,3810.959051104169,3821.791940772655,3779.094854823773,59071.0,2200994210.0,149479.0,-0.9284158044936738,13,price_up_oi_down,-2.459446031064214,-0.0016017084579410534,3823.30433853874,3791.802317207873,3768.3794559909206,1,0.1,11.914911193718869,0.0242824384261446,2.457965769433778,12.037785913320388,0.0336977766115005,-2.459446031064214,0,1.0,1.0,1.0,position,1.0,-0.0016017084579410534,-0.0016017084579410534,0.9682340980860792,0.9682340980860792,1.0,1.0,-0.03176590191392081,-0.03176590191392081
2018-02-23,3804.7356998811374,3888.035445017405,3890.175636514821,3801.613833353366,103132.0,3908981660.0,161151.0,-0.4463320925018271,13,price_up_oi_down,-0.359291526984634,0.02022493363997291,3842.707157574041,3808.5329946387874,3774.222106928412,1,0.4,11.990097092623028,0.0751858989041593,7.80845469932232,12.011907182346558,0.0409436429105198,-0.359291526984634,0,1.0,1.0,1.0,position,1.0,0.02022493363997291,0.02022493363997291,0.9878165684678292,0.9878165684678292,1.0,1.0,-0.01218343153217083,-0.01218343153217083
2018-02-26,3899.275073131264,3902.533092842225,3917.721867346367,3884.193780644021,65765.0,2533973780.0,158010.0,-0.8765705402426657,13,price_up_oi_down,-0.2571332574705518,0.003728784891454451,3855.306519146424,3821.9827284994817,3781.0477506927273,1,0.3,11.970413601145545,-0.0196834914774832,-1.9491036357205949,11.990308030368505,0.0521854263729766,-0.2571332574705518,0,1.0,1.0,1.0,position,1.0,0.003728784891454451,0.003728784891454451,0.9914999239638604,0.9914999239638604,1.0,1.0,-0.008500076036139559,-0.008500076036139559
2018-02-27,3904.999253117286,3883.083794495962,3906.912386859928,3865.876712672208,50330.0,1920430900.0,160464.0,-1.1594682975575838,13,price_up_oi_down,-0.0436353642796999,-0.004983762567429717,3860.3368544989753,3832.511079585604,3787.353935888544,1,0.4,11.985824897327989,0.0154112961824441,1.5530662616289437,11.98891046184738,0.0476949096317298,-0.0436353642796999,0,1.0,1.0,1.0,position,1.0,-0.004983762567429717,-0.004983762567429717,0.9865585237572,0.9865585237572,1.0,1.0,-0.01344147624280001,-0.01344147624280001
2018-02-28,3878.377164374183,3882.1817859629127,3892.839514325407,3867.922410677567,44109.0,1681237820.0,158010.0,-1.275994478899778,13,price_up_oi_down,-0.3509818198348777,-0.0002322918022855669,3873.3586338845344,3844.519754874733,3792.2927583210985,1,0.4,11.970413601145545,-0.0154112961824441,-1.5293149865389766,11.986774364199858,0.0314408977167977,-0.3509818198348777,0,1.0,1.0,1.0,position,1.0,-0.0002322918022855669,-0.0002322918022855669,0.9863293542996563,0.9863293542996563,1.0,1.0,-0.013670645700343709,-0.013670645700343709
2018-03-01,3883.711367032188,3867.758684497748,3904.046534028008,3866.386080421177,71838.0,2771190020.0,159422.0,-0.7971411904356772,13,price_up_oi_down,0.065895546291406,-0.0037152050729090114,3884.7185605632503,3854.011449550995,3797.9431280432336,1,0.5,11.979310053380576,0.0088964522350316,0.8936143282071374,11.978119249236766,0.0121887811317362,0.065895546291406,0,1.0,1.0,1.0,position,1.0,-0.0037152050729090114,-0.0037152050729090114,0.9826649384790032,0.9826649384790032,1.0,1.0,-0.01733506152099684,-0.01733506152099684
2018-03-02,3861.91251802169,3884.721416283507,3898.9857389612566,3858.512022817026,81612.0,3151227030.0,159855.0,-0.6722908443595274,13,price_up_oi_down,0.3437887568769985,0.004385674797589223,3884.055754816471,3863.381456195256,3804.6574173199688,1,0.6,11.982022433323166,0.0027123799425901,0.2716061773155198,11.97486182726306,0.0140486345843173,0.3437887568769985,0,1.0,1.0,1.0,position,1.0,0.004385674797589223,0.004385674797589223,0.9869745873341651,0.9869745873341651,1.0,1.0,-0.013025412665834901,-0.013025412665834901
2018-03-05,3848.174812018086,3804.170400582856,3850.417973558168,3803.493995810729,100584.0,3787977980.0,153726.0,-0.4241785976502792,13,price_up_oi_down,-1.8081534435454747,-0.020735339054946622,3864.3832163645975,3859.84486775551,3809.3148707104906,1,0.3,11.942927075923295,-0.0390953573998693,-3.834099652810319,11.97486182726306,0.0119125369367978,-1.8081534435454747,0,1.0,1.0,1.0,position,1.0,-0.020735339054946622,-0.020735339054946622,0.9665093346271751,0.9665093346271751,1.0,1.0,-0.03349066537282486,-0.03349066537282486
2018-03-06,3782.893705147951,3818.6230168875736,3830.374111235309,3766.784657731756,87723.0,3275922000.0,148630.0,-0.5272758734695112,13,price_up_oi_down,-2.352355328807884,0.003799150611787372,3851.49106084292,3855.9139576709463,3814.283516703603,0,0.1,11.90921527514294,-0.033711800780356,-3.3149890064140375,11.970413601145545,0.0175473938299637,-2.352355328807884,0,1.0,1.0,1.0,position,1.0,0.003799150611787372,0.003799150611787372,0.9701812491571222,0.9701812491571222,1.0,1.0,-0.029818750842877773,-0.029818750842877773
