date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,ret_5,close_rank_20,close_rank_60,oi_ret_5,open_interest_mad_score,volume_mad_score,range_pct,range_mad_score,close_location,crowded_chase_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2018-01-02,55613.82794012001,55412.23288912307,55883.62496629107,55112.64680123779,187723.0,51834403750.0,371971.0,-0.6838484221979089,14,uptrend_crowded_chase,0.0,-0.00362490874057438,,,,,,,0.0139135011324298,,0.3885792120514583,0.0,0,1.0,1.0,1.0,position,1.0,-0.00362490874057438,-0.00362490874057438,0.9963750912594256,0.9963750912594256,0.9963750912594256,0.9963750912594256,0.0,0.0
2018-01-03,55406.77803436197,54882.88638636866,55409.530804718845,54835.60689642022,171685.0,47141035350.0,366919.0,-0.7594797128381782,14,uptrend_crowded_chase,0.0,-0.009455371104026394,,,,,,,0.0104572471691498,,0.0823793699213443,0.0,0,1.0,1.0,1.0,position,1.0,-0.009455371104026394,-0.009455371104026394,0.9869197201553992,0.9869197201553992,0.9963750912594256,0.9963750912594256,-0.009489770656625596,-0.009489770656625596
2018-01-04,54891.55082706235,55166.48867502227,55610.05543633282,54877.277490479166,188367.0,51900862150.0,369493.0,-0.6737396081247622,14,uptrend_crowded_chase,0.0,0.005008746224462235,,,,,,,0.0132830267695727,,0.3946777958856121,0.0,0,1.0,1.0,1.0,position,1.0,0.005008746224462235,0.005008746224462235,0.9919284663798614,0.9919284663798614,0.9963750912594256,0.9963750912594256,-0.004462802130012711,-0.004462802130012711
2018-01-05,55174.92919894123,54645.80407039207,55298.81875644295,54597.02321839718,168345.0,46114851200.0,360211.0,-0.760674525728906,14,uptrend_crowded_chase,0.0,-0.009589955732273298,,,,,,,0.0128426244244069,,0.0695086379869616,0.0,0,1.0,1.0,1.0,position,1.0,-0.009589955732273298,-0.009589955732273298,0.9823385106475881,0.9823385106475881,0.9963750912594256,0.9963750912594256,-0.014087647046751361,-0.014087647046751361
2018-01-06,54656.80081080706,54687.526645506194,54716.70565909636,54628.23908472514,5614.0,1529662950.0,359160.0,-4.158504493712917,14,uptrend_crowded_chase,0.0,0.0005621594063928697,,,,,,,0.0016176737146055,,0.6701690576632154,0.0,0,1.0,1.0,1.0,position,1.0,0.0005621594063928697,0.0005621594063928697,0.9829006700539811,0.9829006700539811,0.9963750912594256,0.9963750912594256,-0.013523442450184886,-0.013523442450184886
2018-01-08,54701.67187800185,54862.0709737602,55062.82202809421,54577.0763925403,155421.0,42427049050.0,356977.0,-0.8315337899951496,14,uptrend_crowded_chase,0.0,0.0029322521643594594,-0.0099285281728984,,,-0.041144540311194,-1.3549103919287446,-0.7516612215548586,0.0088539427501057,-2.5122676681259417,0.5867156807181854,0.0,0,1.0,1.0,1.0,position,1.0,0.0029322521643594594,0.0029322521643594594,0.9858329222183405,0.9858329222183405,0.9963750912594256,0.9963750912594256,-0.010580522469464504,-0.010580522469464504
2018-01-09,54860.96386352365,54906.74394376454,55304.116396188496,54783.51836386973,170768.0,46819791300.0,357070.0,-0.7376259308185393,14,uptrend_crowded_chase,0.0159576325808675,0.0008344745884300405,0.0004346993929569,,,-0.0272092742578617,-0.8553036324578854,0.0319152651617351,0.0094814952577039,-0.7506913567941083,0.236700049260573,0.0159576325808675,0,1.0,1.0,1.0,position,1.0,0.0008344745884300405,0.0008344745884300405,0.9866673968067705,0.9866673968067705,0.9963750912594256,0.9963750912594256,-0.009743011981947935,-0.009743011981947935
2018-01-10,54900.15683638606,55153.09291151541,55461.1973248712,54887.044257157024,139882.0,38429115600.0,351937.0,-0.922652972244378,14,uptrend_crowded_chase,0.0,0.004607201321539976,-0.0002428242911339,,,-0.0486796133821592,-1.7379243149306995,-1.4289878824403537,0.010410169899906,-0.0133115979903653,0.4633758301032467,0.0,0,1.0,1.0,1.0,position,1.0,0.004607201321539976,0.004607201321539976,0.9912745981283105,0.9912745981283105,0.9963750912594256,0.9963750912594256,-0.0051190492173665,-0.0051190492173665
2018-01-11,55163.61422710174,54633.15827746393,55365.11253000942,54437.51128644182,182352.0,50031199450.0,350669.0,-0.6539038734864236,14,uptrend_crowded_chase,1.366729614038184,-0.009616047771162798,-0.000231413795501,0.0,,-0.0268472122654319,-1.246662878504711,0.5199200583638942,0.0169787226807686,2.2135391697124738,0.2109171288620147,1.366729614038184,0,1.0,1.0,1.0,position,1.0,-0.009616047771162798,-0.009616047771162798,0.9816585503571477,0.9816585503571477,0.9963750912594256,0.9963750912594256,-0.014770081098350318,-0.014770081098350318
2018-01-12,54636.395335576206,54634.50639626128,54969.8892355198,54557.69164744847,150686.0,41136756400.0,345358.0,-0.8293833586557814,14,uptrend_crowded_chase,0.1111111111111111,-3.457291249408853e-05,-0.0009695126566722,0.1111111111111111,,-0.0391864114807596,-1.3010015013613818,-0.8960972216522418,0.0075446382746039,-0.8235711061868369,0.1863541928331623,0.1111111111111111,0,1.0,1.0,1.0,position,1.0,-3.457291249408853e-05,-3.457291249408853e-05,0.9816239774446536,0.9816239774446536,0.9963750912594256,0.9963750912594256,-0.014804779790436595,-0.014804779790436595
2018-01-13,54634.52603444232,54590.18632693384,54637.84800669503,54563.79346311304,5295.0,1440622750.0,344663.0,-4.175804148992436,14,uptrend_crowded_chase,0.0,-0.000811569363309332,-0.0049557853358542,0.0,,-0.0351042258880962,-1.3446929530507117,-24.76359004546823,0.0013565541458035,-2.328712115326374,0.3563976299655605,0.0,0,1.0,1.0,1.0,position,1.0,-0.000811569363309332,-0.000811569363309332,0.9808124080813443,0.9808124080813443,0.9963750912594256,0.9963750912594256,-0.015619301721412904,-0.015619301721412904
2018-01-15,54623.22888895981,54999.72333152296,55270.43542175897,54574.44242021623,166220.0,45555451650.0,344311.0,-0.7282331065910324,14,uptrend_crowded_chase,1.168422974749579,0.00689257025300536,0.0016934056015716,0.7272727272727273,,-0.0363865222742365,-1.5138252270275283,0.1926199775410236,0.0126544818661629,0.6896805174126791,0.6110419362896599,1.168422974749579,0,1.0,1.0,1.0,position,1.0,0.00689257025300536,0.00689257025300536,0.9877049783343497,0.9877049783343497,0.9963750912594256,0.9963750912594256,-0.00870165563263614,-0.00870165563263614
2018-01-16,54998.01535208732,53955.17105539709,55034.4060764218,53818.55292817944,234822.0,63700116200.0,333050.0,-0.3494648485313118,14,uptrend_crowded_chase,2.8553390718875837,-0.018961489610381927,-0.0217199397691113,0.0,,-0.0551595534478384,-2.863528829176269,2.681141672770422,0.0225345064144828,3.0295364710047457,0.1123640033462507,2.8553390718875837,0,1.0,1.0,1.0,position,1.0,-0.018961489610381927,-0.018961489610381927,0.9687434887239678,0.9687434887239678,0.9963750912594256,0.9963750912594256,-0.027732128972163705,-0.027732128972163705
2018-01-17,53956.853744355845,53689.39564960002,54217.35515332096,53652.99758954214,181215.0,48720316200.0,329395.0,-0.5975734668751594,14,uptrend_crowded_chase,0.4922648375439412,-0.004956888257848158,-0.0172745390824899,0.0,,-0.0625851200850071,-2.4030345285685044,0.8483919296121859,0.0105115275921908,0.1361377454756965,0.0644946792493853,0.4922648375439412,0,1.0,1.0,1.0,position,1.0,-0.004956888257848158,-0.004956888257848158,0.9637866004661195,0.9637866004661195,0.9963750912594256,0.9963750912594256,-0.0327070508678754,-0.0327070508678754
2018-01-18,53689.40032424752,53927.03794868054,54122.203546344346,53667.42689064406,163205.0,43876700450.0,329076.0,-0.7012816478121943,14,uptrend_crowded_chase,0.1133002838115843,0.004426155311809163,-0.0129491139253552,0.0714285714285714,,-0.0482928330440568,-2.055620849488051,0.0837434247660258,0.0084331844098885,-0.399334028027529,0.5708539670681141,0.1133002838115843,0,1.0,1.0,1.0,position,1.0,0.004426155311809163,0.004426155311809163,0.9682127557779288,0.9682127557779288,0.9963750912594256,0.9963750912594256,-0.028264792775880676,-0.028264792775880676
2018-01-19,53928.392329666334,53640.59542508879,54042.58200795228,53516.346368376384,197778.0,53036436600.0,329143.0,-0.5093471172433663,14,uptrend_crowded_chase,0.6690051191637238,-0.005336649066381076,-0.0173949012769084,0.0,,-0.0460748212576529,-1.176711015309921,1.3380102383274477,0.0098103989227861,-0.0466798294018226,0.2361091635916915,0.6690051191637238,0,1.0,1.0,1.0,position,1.0,-0.005336649066381076,-0.005336649066381076,0.9628761067115477,0.9628761067115477,0.9963750912594256,0.9963750912594256,-0.03362085708659668,-0.03362085708659668
