date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_change,speculation_change_rate,speculation_change_rate_rank,speculation_fast_rise_signal,speculation_fast_drop_signal,signal_type,signal,position_scale,is_effective_signal,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2023-07-21,214134.19913419912,no_trend,,0,,21,speculation_change_rate,,2.091107917975069,,,,0,0,none,0,1.0,0,no_trend,0.0,,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0
2023-07-24,201296.54778235024,up_trend,1.0,0,,21,speculation_change_rate,-0.4917231231509593,1.4143789712621873,-0.6767289467128816,-0.4917231231509593,,0,0,none,0,1.0,0,down_trend,-1.0,1.0,-1.0,-1.0,-0.05995142954163735,-0.0,-0.0,1.0,1.0,1.0,0.0
2023-07-25,216694.29427430092,up_trend,1.0,0,,21,speculation_change_rate,0.2016751759868773,1.598095534571003,0.1837165633088158,0.2016751759868773,,0,0,none,0,1.0,0,up_trend,1.0,2.0,1.0,1.0,0.07649284928919564,-0.07649284928919564,-0.07649284928919564,0.9235071507108044,0.9235071507108044,1.0,0.07649284928919564
2023-07-26,219563.98194099808,up_trend,1.0,0,,21,speculation_change_rate,0.5328378396276596,2.025216349105437,0.4271208145344338,0.5328378396276596,,0,0,none,0,1.0,0,up_trend,1.0,2.0,1.0,1.0,0.013243023662933062,0.013243023662933062,0.013243023662933062,0.9357371777605554,0.9357371777605554,1.0,0.06426282223944457
2023-07-27,217538.3747103608,up_trend,1.0,0,,21,speculation_change_rate,-0.5720061192565645,1.176569968274467,-0.8486463808309699,-0.5720061192565645,,0,0,none,0,1.0,0,up_trend,1.0,2.0,1.0,1.0,-0.00922558979269017,-0.00922558979269017,-0.00922558979269017,0.927104450404767,0.927104450404767,1.0,0.07289554959523303
2023-07-28,220461.82341001357,up_trend,1.0,0,,21,speculation_change_rate,-0.0385512035771969,1.137255999052689,-0.0393139692217781,-0.0385512035771969,,0,0,none,0,1.0,0,up_trend,1.0,2.0,1.0,1.0,0.013438772370829577,0.013438772370829577,0.013438772370829577,0.9395635960777396,0.9395635960777396,1.0,0.06043640392226035
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,21,speculation_change_rate,-0.2535735187883758,0.8447978475536825,-0.2924581514990064,-0.2535735187883758,,0,0,none,0,1.0,0,up_trend,1.0,2.0,1.0,1.0,0.0010966917087824601,0.0010966917087824601,0.0010966917087824601,0.9405940076834319,0.9405940076834319,1.0,0.05940599231656807
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,21,speculation_change_rate,-0.393000117048236,0.3455711668003232,-0.4992266807533593,-0.393000117048236,,0,0,none,0,1.0,0,up_trend,1.0,2.0,1.0,1.0,0.0033078503221499744,0.0033078503221499744,0.0033078503221499744,0.9437053518747599,0.9437053518747599,1.0,0.0562946481252401
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,21,speculation_change_rate,-0.234926586303249,0.0777876826569847,-0.2677834841433384,-0.234926586303249,,0,0,none,0,1.0,0,up_trend,1.0,2.0,1.0,1.0,0.002166002039153403,0.002166002039153403,0.002166002039153403,0.9457494195912806,0.9457494195912806,1.0,0.05425058040871944
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,21,speculation_change_rate,0.2224891702231348,0.278676766271454,0.2008890836144692,0.2224891702231348,,0,0,none,0,1.0,0,up_trend,1.0,2.0,1.0,1.0,0.006023215147393124,0.006023215147393124,0.006023215147393124,0.951445871821001,0.951445871821001,1.0,0.048554128178998956
