date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2018-01-02,3917.31118326928,3935.989301179684,3944.1479647656174,3915.6471933122,59048.0,2294692290.0,145717.0,-0.903315712032744,12,price_up_speculation_up,,0.0047680965428985615,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,0.0047680965428985615,0.0047680965428985615,1.0047680965428987,1.0047680965428987,1.0047680965428987,1.0047680965428987,0.0,0.0
2018-01-03,3940.3175974782425,3895.016572041342,3948.631727540601,3892.5993833141297,67196.0,2594582890.0,152003.0,-0.816286535545645,12,price_up_speculation_up,,-0.011496795452704796,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,-0.011496795452704796,-0.011496795452704796,0.9932713010901938,0.9932713010901938,1.0047680965428987,1.0047680965428987,-0.011442237758406026,-0.011442237758406026
2018-01-04,3899.895359657864,3887.952313912835,3903.548822259914,3860.6339553277294,64829.0,2479841590.0,149876.0,-0.8380552514419177,12,price_up_speculation_up,,-0.0030624015886612653,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,-0.0030624015886612653,-0.0030624015886612653,0.9902088995015325,0.9902088995015325,1.0047680965428987,1.0047680965428987,-0.014490106813164094,-0.014490106813164094
2018-01-05,3888.7156204360094,3873.029756738988,3893.984273513355,3871.241328073636,40576.0,1552717600.0,152100.0,-1.3213614404504863,12,price_up_speculation_up,,-0.004033687527724824,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,-0.004033687527724824,-0.004033687527724824,0.9861752119738076,0.9861752119738076,1.0047680965428987,1.0047680965428987,-0.018504652599006133,-0.018504652599006133
2018-01-08,3866.34181607485,3797.850739578664,3886.155121584457,3795.29514700716,113466.0,4287520340.0,165094.0,-0.3750117760813744,12,price_up_speculation_up,,-0.017714697705056726,3877.9677366903024,,,0,152958.0,,0,,,,0,1.0,1.0,1.0,position,1.0,-0.017714697705056726,-0.017714697705056726,0.9684605142687509,0.9684605142687509,1.0047680965428987,1.0047680965428987,-0.036135285743119305,-0.036135285743119305
2018-01-09,3797.808592517056,3800.229308924485,3811.4158838184367,3795.16261198922,43229.0,1631729380.0,163875.0,-1.3325923757560751,12,price_up_speculation_up,-5.111222285971255,0.0006373982122739859,3850.815738239263,,,0,156589.6,,0,-0.8380552514419177,0.0652604605908262,-5.111222285971255,0,1.0,1.0,1.0,position,1.0,0.0006373982122739859,0.0006373982122739859,0.969097912481025,0.969097912481025,1.0047680965428987,1.0047680965428987,-0.03550091228473906,-0.03550091228473906
2018-01-10,3799.157857221187,3799.708462046998,3816.6885966252494,3782.75554566184,51490.0,1936350960.0,166390.0,-1.172946816369366,12,price_up_speculation_up,-0.8072960076851838,0.0001449281252593,3831.754116240394,,,0,159467.0,,0,-0.8706854817373308,0.2525374524524206,-0.8072960076851838,0,1.0,1.0,1.0,position,1.0,0.0001449281252593,0.0001449281252593,0.9692428406062842,0.9692428406062842,1.0047680965428987,1.0047680965428987,-0.03535667191150482,-0.03535667191150482
2018-01-11,3806.581727243216,3801.120774504377,3808.714679042477,3787.398806726588,35442.0,1330665940.0,164389.0,-1.534338012854685,12,price_up_speculation_up,-1.5785222998442705,-0.0014346080368524614,3814.387808358703,,,0,162369.6,,0,-0.903315712032744,0.2696311043366219,-1.5785222998442705,0,1.0,1.0,1.0,position,1.0,-0.0014346080368524614,-0.0014346080368524614,0.9678082325694317,0.9678082325694317,1.0047680965428987,1.0047680965428987,-0.03678447205940816,-0.03678447205940816
2018-01-12,3798.975281157873,3800.343543616794,3813.8826832239088,3761.1406243381753,88440.0,3310382150.0,163985.0,-0.6174506042372856,12,price_up_speculation_up,1.1235767807104942,0.00036016619157994476,3799.850565734263,,,0,164746.6,,0,-1.038131264201055,0.2525374524524206,1.1235767807104942,0,1.0,1.0,1.0,position,1.0,0.00036016619157994476,0.00036016619157994476,0.9681683987610117,0.9681683987610117,1.0047680965428987,1.0047680965428987,-0.03642601502557197,-0.03642601502557197
2018-01-15,3794.343866227576,3780.729048908599,3805.243245848698,3777.2567195933498,55531.0,2082831090.0,165063.0,-1.0893857958332067,12,price_up_speculation_up,-0.4390271800081003,-0.0035881875230547745,3796.4262276002505,3837.1969821452767,,0,164740.4,158849.2,1,-0.903315712032744,0.2858651077954584,-0.4390271800081003,0,1.0,1.0,1.0,position,1.0,-0.0035881875230547745,-0.0035881875230547745,0.9645802112379569,0.9645802112379569,1.0047680965428987,1.0047680965428987,-0.03999717491351096,-0.03999717491351096
