date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,is_up_day,price_up_ratio,open_interest,log_open_interest,delta_log_open_interest,oi_change_rate,log_open_interest_median_past,log_open_interest_mad_past,log_open_interest_mad_score,signal,position_scale,is_effective_signal,open,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,214134.19913419912,no_trend,,0,,42,price_up_oi_down,,-0.0904190260152219,0,,8085.0,8.997765772011208,,,,,,0,1.0,0,235420.71047957373,1.0,0.0,1.0,-0.0904190260152219,-0.0904190260152219,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.0,0.0
2023-07-24,201296.54778235024,up_trend,1.0,0,,42,price_up_oi_down,,-0.04396360588005914,0,,13122.0,9.482045489904824,0.4842797178936155,62.30055658627087,,,,0,1.0,0,210553.2268650186,1.0,0.0,1.0,-0.04396360588005914,-0.04396360588005914,0.865617368104719,0.865617368104719,0.9095809739847781,0.9095809739847781,-0.04833391103978257,-0.04833391103978257
2023-07-25,216694.29427430092,up_trend,1.0,0,,42,price_up_oi_down,,0.07528039201736908,1,,15020.0,9.617137925318126,0.135092435413302,14.464258497180204,,,,0,1.0,0,201523.5243597752,1.0,0.0,1.0,0.07528039201736908,0.07528039201736908,0.940897760122088,0.940897760122088,0.940897760122088,0.940897760122088,0.0,0.0
2023-07-26,219563.98194099808,up_trend,1.0,0,,42,price_up_oi_down,,0.0076485657643723445,1,,14508.0,9.582455500402792,-0.0346824249153332,-3.4087882822903315,,,,0,1.0,0,217897.3795039775,1.0,0.0,1.0,0.0076485657643723445,0.0076485657643723445,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.0,0.0
2023-07-27,217538.3747103608,up_trend,1.0,0,,42,price_up_oi_down,,-0.02976886491747775,0,0.4,15105.0,9.622781093820771,0.0403255934179807,4.114971050455063,,,,0,1.0,0,224212.93941660432,1.0,0.0,1.0,-0.02976886491747775,-0.02976886491747775,0.9187774609689826,0.9187774609689826,0.9485463258864604,0.9485463258864604,-0.03138367004864773,-0.03138367004864773
2023-07-28,220461.82341001357,up_trend,1.0,0,,42,price_up_oi_down,0.3106825831446952,0.01700559061495918,1,0.5,14780.0,9.601030194502194,-0.0217508993185795,-2.1516054286660036,9.582455500402792,0.0403255934179807,0.3106825831446952,0,1.0,0,216775.42920556173,1.0,0.0,1.0,0.01700559061495918,0.01700559061495918,0.9357830515839418,0.9357830515839418,0.9485463258864604,0.9485463258864604,-0.01345561513887128,-0.01345561513887128
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,42,price_up_oi_down,1.3667101472102288,-0.003551572546723737,1,0.5714285714285714,15505.0,9.648917831534549,0.0478876370323551,4.9052774018943035,9.591742847452494,0.0282166621169555,1.3667101472102288,0,1.0,0,221490.2407221665,1.0,0.0,1.0,-0.003551572546723737,-0.003551572546723737,0.932231479037218,0.932231479037218,0.9485463258864604,0.9485463258864604,-0.017199841909666724,-0.017199841909666724
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,42,price_up_oi_down,1.8251109449174072,9.14621932092303e-06,1,0.625,15676.0,9.65988615931952,0.0109683277849725,1.1028700419219328,9.601030194502194,0.0217508993185795,1.8251109449174072,0,1.0,0,221431.6312827727,1.0,0.0,1.0,9.14621932092303e-06,9.14621932092303e-06,0.932240625256539,0.932240625256539,0.9485463258864604,0.9485463258864604,-0.017190199555812913,-0.017190199555812913
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,42,price_up_oi_down,1.0298320172990951,0.0017238405618070754,1,0.6666666666666666,15675.0,9.65982236550112,-6.379381840027065e-05,-0.0063791783617928,9.60908405991016,0.0332311655658781,1.0298320172990951,0,1.0,0,221531.3974879472,1.0,0.0,1.0,0.0017238405618070754,0.0017238405618070754,0.9339644658183461,0.9339644658183461,0.9485463258864604,0.9485463258864604,-0.0153728496649721,-0.0153728496649721
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,42,price_up_oi_down,1.5067773106549212,0.014994200799303957,1,0.7,16230.0,9.694616660508636,0.034794295007515,3.5406698564592887,9.617137925318126,0.0346824249153332,1.5067773106549212,0,1.0,0,219951.91062587276,1.0,0.0,1.0,0.014994200799303957,0.014994200799303957,0.94895866661765,0.94895866661765,0.94895866661765,0.94895866661765,0.0,0.0
2023-08-04,222707.8457608564,down_trend,2.0,1,1.0,42,price_up_oi_down,1.528015045603101,-0.008159551920313908,0,0.7,16442.0,9.70759431571208,0.0129776552034428,1.3062230437462574,9.61995950956945,0.0386834325491642,1.528015045603101,0,1.0,0,224539.9914795204,1.0,0.0,1.0,-0.008159551920313908,-0.008159551920313908,0.9407991146973361,0.9407991146973361,0.94895866661765,0.94895866661765,-0.008598427104730244,-0.008598427104730244
2023-08-07,213933.16142895515,down_trend,2.0,1,1.0,42,price_up_oi_down,4.4894304976905826,-0.034321883527300374,0,0.7,18615.0,9.831722986306817,0.1241286705947377,13.21615375258476,9.635849462677662,0.0294279824086638,4.4894304976905826,0,1.0,0,221536.71889177908,1.0,0.0,1.0,-0.034321883527300374,-0.034321883527300374,0.9064772311700358,0.9064772311700358,0.94895866661765,0.94895866661765,-0.04476637069876799,-0.04476637069876799
2023-08-08,211639.1597789407,down_trend,2.0,0,,42,price_up_oi_down,4.722232387191124,-0.009716301683327938,0,0.6,20447.0,9.925591451443054,0.0938684651362375,9.841525651356498,9.654370098517834,0.0387393675952552,4.722232387191124,0,1.0,0,213715.68585718848,1.0,0.0,1.0,-0.009716301683327938,-0.009716301683327938,0.8967609294867078,0.8967609294867078,0.94895866661765,0.94895866661765,-0.05500527996334059,-0.05500527996334059
2023-08-09,212657.0317916213,down_trend,2.0,0,,42,price_up_oi_down,4.02860383658801,0.0030608207497487333,1,0.6,20194.0,9.913140809564268,-0.0124506418787877,-1.237345331833506,9.65985426241032,0.0424066109456529,4.02860383658801,0,1.0,0,212008.11296035716,1.0,0.0,1.0,0.0030608207497487333,0.0030608207497487333,0.8998217502364565,0.8998217502364565,0.94895866661765,0.94895866661765,-0.051779827836265,-0.051779827836265
2023-08-10,206395.3513174404,down_trend,2.0,0,,42,price_up_oi_down,6.438484286418536,-0.0284445964346449,0,0.6,23910.0,10.082052060452371,0.1689112508881045,18.40150539764291,9.677251409914078,0.0424066109456529,6.438484286418536,0,1.0,0,212438.06638306292,1.0,0.0,1.0,-0.0284445964346449,-0.0284445964346449,0.8713771538018117,0.8713771538018117,0.94895866661765,0.94895866661765,-0.08175436459457208,-0.08175436459457208
2023-08-11,204917.29295378117,down_trend,2.0,0,,42,price_up_oi_down,3.9710815485915822,-0.005203783776833985,0,0.5,25574.0,10.149331489371114,0.0672794289187432,6.959431200334598,9.701105488110358,0.0761314750919863,3.9710815485915822,0,1.0,0,205989.2162957437,1.0,0.0,1.0,-0.005203783776833985,-0.005203783776833985,0.8661733700249776,0.8661733700249776,0.94895866661765,0.94895866661765,-0.0872380426091075,-0.0872380426091075
