factor_id,factor_name,strategy,total_return,annual_return,max_drawdown,annual_volatility,sharpe,signal_days,signal_ratio
11,high_speculation,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,66,0.09924812030075188
11,high_speculation,factor_position_simple,-1.1223514664670318,-0.4253121346611906,-1.6603520995579353,0.4120751990911317,-1.0321226213061454,66,0.09924812030075188
12,speculation_mad,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,39,0.058646616541353384
12,speculation_mad,factor_position_simple,-0.9268056151178423,-0.3512105488867606,-1.4402193447752398,0.41696148100524216,-0.8423093376396202,39,0.058646616541353384
21,speculation_change_rate,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,61,0.09172932330827067
21,speculation_change_rate,factor_position_simple,-0.8332898309600056,-0.3157729885743174,-1.4363518912457955,0.40351914045478066,-0.7825477329735334,61,0.09172932330827067
22,speculation_first_difference,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,64,0.0962406015037594
22,speculation_first_difference,factor_position_simple,-0.8267970807260725,-0.3133125779593533,-1.4488019678931743,0.4045603685193057,-0.774451978838362,64,0.0962406015037594
23,speculation_continuous_drop,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,87,0.13082706766917293
23,speculation_continuous_drop,factor_position_simple,-1.0450126792689747,-0.3960048047756106,-1.4943556777259497,0.4130700581912222,-0.9586867818734235,87,0.13082706766917293
31,price_up_speculation_up,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,36,0.05413533834586466
31,price_up_speculation_up,factor_position_simple,-1.3271370602503914,-0.5029150965159369,-1.7985692160609976,0.4137397318015447,-1.215534931407473,36,0.05413533834586466
32,price_down_speculation_up,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,12,0.01804511278195489
32,price_down_speculation_up,factor_position_simple,-1.1029093690677163,-0.41794460301513425,-1.753944336781446,0.4323115499634489,-0.966767145246225,12,0.01804511278195489
41,oi_change_rate,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,324,0.48721804511278194
41,oi_change_rate,factor_position_simple,-1.0148780579128065,-0.3845853693143262,-1.094022615029094,0.31427830742922536,-1.2237095600399777,324,0.48721804511278194
42,price_up_oi_down,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,27,0.0406015037593985
42,price_up_oi_down,factor_position_simple,-0.917796369169003,-0.3477965188429906,-1.7224436669200682,0.41446782886263167,-0.8391399636430211,27,0.0406015037593985
43,uptrend_crowded_chase,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,35,0.05263157894736842
43,uptrend_crowded_chase,factor_position_simple,-1.2234579745354461,-0.463626179823958,-1.7504817241308612,0.4130889469651858,-1.1223398331764887,35,0.05263157894736842
44,uptrend_range_climax,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,18,0.02706766917293233
44,uptrend_range_climax,factor_position_simple,-1.1470303573962675,-0.4346641354343746,-1.8170848495093077,0.4260861024391067,-1.0201321586087022,18,0.02706766917293233
45,uptrend_push_failure,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,14,0.021052631578947368
45,uptrend_push_failure,factor_position_simple,-1.2322033126462208,-0.46694020268698816,-1.8387750900995488,0.4255752555512427,-1.097197726127582,14,0.021052631578947368
46,uptrend_oi_unwind_divergence,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,7,0.010526315789473684
46,uptrend_oi_unwind_divergence,factor_position_simple,-1.3047728868508228,-0.49444025185925855,-1.7893223361205859,0.4263661180361355,-1.1596612182428474,7,0.010526315789473684
47,downtrend_crowded_exhaustion,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,3,0.004511278195488722
47,downtrend_crowded_exhaustion,factor_position_simple,-1.128387618324064,-0.4275995185228028,-1.7582194176868557,0.43256404962090894,-0.9885230150252733,3,0.004511278195488722
51,price_volume_up_oi_down,base_long_only_simple,-1.136481628148187,-0.4306667222456283,-1.7893223361205859,0.4330352209865258,-0.9945304709037254,40,0.06015037593984962
51,price_volume_up_oi_down,factor_position_simple,-0.9302994786172576,-0.3525345392654871,-1.5499032981360295,0.3805611659281802,-0.926354475516868,40,0.06015037593984962
