date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,ret_3,ret_5,close_rank_20,close_rank_60,oi_ret_3,volume_mad_score,close_location,volume_to_open_interest,price_efficiency_5,price_efficiency_low_rank_20,push_failure_score,signal,position,position_scale,daily_return,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,45,uptrend_push_failure,0.9724391334298464,,,,,,,0.0275608665701535,8.093877551020409,,,0.9724391334298464,0,1.0,1.0,-0.0904190260152219,1.0,position,1.0,-0.0904190260152219,-0.0904190260152219,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.0,0.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,45,uptrend_push_failure,0.9349247258394844,,,,,,,0.0650752741605154,4.113930803231215,,,0.9349247258394844,0,1.0,1.0,-0.04396360588005914,1.0,position,1.0,-0.04396360588005914,-0.04396360588005914,0.865617368104719,0.865617368104719,0.9095809739847781,0.9095809739847781,-0.04833391103978257,-0.04833391103978257
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,45,uptrend_push_failure,0.0309400941729087,,,,,,,0.9690599058270912,4.943608521970706,,,0.0309400941729087,0,1.0,1.0,0.07528039201736908,1.0,position,1.0,0.07528039201736908,0.07528039201736908,0.940897760122088,0.940897760122088,0.940897760122088,0.940897760122088,0.0,0.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,45,uptrend_push_failure,0.7700268546374986,0.0253569155639454,,,,0.5846897283915844,,0.2299731453625013,7.577750206782465,,,0.7700268546374986,0,1.0,1.0,0.0076485657643723445,1.0,position,1.0,0.0076485657643723445,0.0076485657643723445,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.0,0.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,45,uptrend_push_failure,0.8375075348261823,0.0806860679278607,,,,0.1407356039159495,,0.1624924651738176,3.243230718305197,,,0.8375075348261823,0,1.0,1.0,-0.02976886491747775,1.0,position,1.0,-0.02976886491747775,-0.02976886491747775,0.9187774609689826,0.9187774609689826,0.9485463258864604,0.9485463258864604,-0.03138367004864773,-0.03138367004864773
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,45,uptrend_push_failure,0.4803847108893619,0.017386379038405,0.0295498070901272,,,-0.016107730815932,-1.2287294066127663,0.6749565806829857,3.118200270635995,0.0094765584393013,,0.4803847108893619,0,1.0,1.0,0.01700559061495918,1.0,position,1.0,0.01700559061495918,0.01700559061495918,0.9357830515839418,0.9357830515839418,0.9485463258864604,0.9485463258864604,-0.01345561513887128,-0.01345561513887128
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,45,uptrend_push_failure,1.65157734565283,0.0051903782796149,0.096410268806417,,,0.0664623311317562,-1.618370805351541,0.0317777279522843,2.32750725572396,0.0414221131080551,,1.65157734565283,0,1.0,1.0,-0.003551572546723737,1.0,position,1.0,-0.003551572546723737,-0.003551572546723737,0.932231479037218,0.932231479037218,0.9485463258864604,0.9485463258864604,-0.017199841909666724,-0.017199841909666724
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,45,uptrend_push_failure,1.1921997235318962,0.0179061824832631,0.0218711908710285,,,0.0371050654987481,-3.1226370886053787,0.7203557489268073,1.412796631793825,0.0154807778974237,,1.1921997235318962,0,1.0,1.0,9.14621932092303e-06,1.0,position,1.0,9.14621932092303e-06,9.14621932092303e-06,0.932240625256539,0.932240625256539,0.9485463258864604,0.9485463258864604,-0.017190199555812913,-0.017190199555812913
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,45,uptrend_push_failure,2.235099070007243,0.0065837198667169,0.0106998440039403,1.0,,0.0587921709989274,-2.5165486962316828,0.2798169386423046,1.0808931419457737,0.0098990765957483,,2.235099070007243,0,1.0,1.0,0.0017238405618070754,1.0,position,1.0,0.0017238405618070754,0.0017238405618070754,0.9339644658183461,0.9339644658183461,0.9485463258864604,0.9485463258864604,-0.0153728496649721,-0.0153728496649721
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,45,uptrend_push_failure,1.829474558882915,0.0115372456648921,0.0262553171928006,1.0,,0.0456988289740873,-1.8229834397189315,0.9239140964445453,1.3213801601971658,0.0198696166203093,,1.829474558882915,0,1.0,1.0,0.014994200799303957,1.0,position,1.0,0.014994200799303957,0.014994200799303957,0.94895866661765,0.94895866661765,0.94895866661765,0.94895866661765,0.0,0.0
2023-08-04,224539.9914795204,222707.8457608564,226063.2341306068,222392.58829134653,13859.0,3167882600.0,16442.0,-0.1709041956432761,45,uptrend_push_failure,2.5781214190162274,0.0057542707630817,0.0101878062881921,0.9,,0.0477081563925576,-2.1685373404204373,0.0858861037853233,0.8429023233183311,0.0120865799112818,,2.5781214190162274,0,1.0,1.0,-0.008159551920313908,1.0,position,1.0,-0.008159551920313908,-0.008159551920313908,0.9407991146973361,0.9407991146973361,0.94895866661765,0.94895866661765,-0.008598427104730244,-0.008598427104730244
2023-08-07,221536.71889177908,213933.16142895515,222592.38278895983,213691.6035455278,33521.0,7419631950.0,18615.0,0.5882044007797698,45,uptrend_push_failure,3.3084853807013745,-0.0359605373103708,-0.0306766204610314,0.0909090909090909,,0.1719006208056956,-0.2186351564476156,0.0271389590530075,1.8007520816545797,0.017035449117929,,3.3084853807013745,0,1.0,1.0,-0.034321883527300374,1.0,position,1.0,-0.034321883527300374,-0.034321883527300374,0.9064772311700358,0.9064772311700358,0.94895866661765,0.94895866661765,-0.04476637069876799,-0.04476637069876799
